,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:FD,78:A5:04:41:E7:80
1526460383510,-92,-83
1526460383621,-92,-83
1526460383730,-200,-83
1526460388441,-200,-79
1526460388555,-200,-78
1526460388665,-200,-78
1526460388771,-93,-78
1526460398410,-93,-82
1526460398733,-200,-82
1526460398835,-200,-82
1526460403406,-200,-80
1526460403937,-200,-82
1526460408372,-200,-87
1526460408462,-200,-86
1526460408562,-200,-87
1526460408669,-200,-87
1526460408777,-200,-87
1526460413557,-200,-80
1526460413661,-200,-80
1526460413771,-200,-80
1526460418824,-200,-80
1526460418944,-200,-79
1526460419047,-200,-80
1526460419150,-200,-80
1526460423460,-200,-80
1526460423568,-200,-80
1526460423670,-200,-80
1526460423773,-200,-80
1526460428807,-200,-79
1526460428921,-200,-79
1526460429030,-200,-80
1526460429135,-200,-79
1526460438459,-200,-83
1526460438556,-200,-83
1526460438660,-200,-83
1526460438764,-200,-82
1526460443482,-200,-80
1526460443702,-200,-80
1526460443811,-200,-80
