,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:06,78:A5:04:41:E9:AB,78:A5:04:41:E9:CC,78:A5:04:41:EB:A5,BC:6A:29:BE:31:17,78:A5:04:41:E5:68,78:A5:04:41:EB:AD,78:A5:04:41:EE:17
1526451175646,-80,-79,-83,-200,-200,-200,-200,-200
1526451175766,-81,-79,-84,-200,-200,-200,-200,-200
1526451175881,-81,-79,-83,-200,-200,-200,-200,-200
1526451175997,-79,-78,-200,-200,-200,-200,-200,-200
1526451180594,-200,-78,-79,-91,-200,-200,-200,-200
1526451180710,-79,-78,-79,-90,-200,-200,-200,-200
1526451180804,-79,-79,-79,-92,-200,-200,-200,-200
1526451180953,-200,-200,-78,-200,-99,-200,-200,-200
1526451185572,-76,-86,-79,-200,-100,-92,-200,-200
1526451185684,-76,-200,-79,-200,-100,-92,-200,-200
1526451185786,-76,-85,-79,-200,-200,-92,-200,-200
1526451185886,-76,-85,-79,-200,-200,-92,-200,-200
1526451185972,-200,-80,-79,-200,-98,-200,-200,-200
1526451190776,-79,-80,-85,-200,-200,-200,-200,-200
1526451190881,-79,-80,-200,-200,-200,-200,-200,-200
1526451190985,-79,-80,-78,-92,-200,-200,-200,-200
1526451195682,-200,-79,-79,-200,-200,-200,-200,-200
1526451195791,-80,-79,-78,-200,-200,-200,-200,-200
1526451195889,-80,-79,-78,-200,-200,-200,-91,-200
1526451195999,-80,-200,-78,-200,-200,-200,-200,-200
1526451205681,-80,-80,-85,-200,-200,-200,-200,-200
1526451205783,-200,-79,-85,-200,-200,-200,-200,-200
1526451205905,-80,-79,-85,-200,-200,-200,-200,-200
1526451206004,-200,-79,-85,-200,-200,-200,-90,-200
1526451210610,-80,-80,-79,-200,-200,-200,-90,-200
1526451210819,-81,-79,-79,-200,-200,-200,-200,-200
1526451210928,-81,-80,-79,-200,-200,-200,-200,-200
1526451211037,-200,-84,-79,-200,-101,-200,-200,-200
1526451215649,-78,-200,-79,-200,-99,-200,-200,-200
1526451215769,-78,-84,-200,-200,-100,-200,-200,-200
1526451215861,-78,-84,-79,-200,-200,-93,-200,-200
1526451215968,-78,-84,-79,-200,-99,-92,-200,-200
1526451220610,-80,-80,-85,-200,-100,-200,-200,-200
1526451220794,-80,-80,-200,-200,-101,-200,-200,-200
1526451220909,-80,-200,-200,-200,-200,-200,-200,-200
1526451221011,-80,-80,-85,-200,-200,-200,-200,-200
1526451225608,-80,-200,-79,-92,-200,-200,-89,-200
1526451225928,-80,-85,-200,-200,-200,-200,-90,-200
1526451230638,-77,-85,-79,-200,-100,-93,-92,-200
1526451230747,-78,-84,-79,-200,-99,-200,-92,-200
1526451230863,-77,-200,-200,-200,-99,-200,-200,-90
1526451235592,-81,-80,-84,-200,-200,-200,-200,-200
1526451235699,-81,-80,-84,-200,-101,-200,-200,-90
1526451235972,-200,-200,-84,-200,-200,-200,-200,-200
1526451240588,-81,-200,-79,-200,-200,-200,-89,-200
1526451240688,-80,-200,-200,-200,-200,-200,-89,-200
