,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:EB:A5,78:A5:04:41:E9:98,78:A5:04:41:E5:68,78:A5:04:41:EE:06,78:A5:04:41:EE:17,78:A5:04:41:EB:F1,BC:6A:29:BE:31:17,78:A5:04:41:E9:AB,78:A5:04:41:E9:CC,78:A5:04:41:EB:AD,78:A5:04:41:EB:C3,BC:6A:29:BE:2F:54
1526452235701,-85,-80,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452235812,-84,-80,-76,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526452235915,-84,-80,-76,-200,-61,-200,-200,-200,-200,-200,-200,-200
1526452236016,-84,-77,-81,-68,-65,-84,-96,-200,-200,-200,-200,-200
1526452240660,-200,-77,-200,-68,-66,-84,-200,-86,-200,-200,-200,-200
1526452240769,-83,-77,-82,-200,-66,-84,-200,-87,-200,-200,-200,-200
1526452240871,-83,-77,-84,-68,-66,-200,-94,-87,-200,-200,-200,-200
1526452240978,-200,-77,-200,-82,-200,-84,-200,-200,-200,-200,-200,-200
1526452245592,-200,-200,-69,-200,-200,-86,-200,-85,-85,-200,-200,-200
1526452245690,-87,-200,-69,-82,-65,-86,-200,-200,-84,-200,-200,-200
1526452245800,-200,-200,-69,-200,-66,-200,-101,-200,-84,-200,-200,-200
1526452245903,-86,-73,-200,-82,-63,-200,-200,-200,-84,-200,-200,-200
1526452250668,-84,-81,-200,-200,-63,-92,-99,-200,-200,-84,-200,-200
1526452250764,-85,-81,-77,-200,-63,-200,-200,-200,-73,-84,-200,-200
1526452250881,-85,-81,-77,-76,-63,-85,-95,-90,-73,-84,-200,-200
1526452255589,-200,-81,-86,-66,-200,-85,-95,-200,-200,-200,-200,-200
1526452255707,-200,-81,-88,-66,-200,-200,-200,-200,-200,-200,-200,-200
1526452255804,-83,-81,-87,-66,-66,-85,-200,-200,-86,-200,-200,-200
1526452255911,-200,-74,-200,-66,-66,-200,-200,-88,-200,-200,-200,-200
1526452260584,-84,-75,-200,-200,-73,-85,-200,-200,-200,-200,-200,-200
1526452260788,-83,-75,-75,-200,-200,-86,-200,-200,-200,-200,-200,-200
1526452260886,-200,-200,-75,-80,-64,-86,-99,-88,-76,-200,-89,-200
1526452265618,-87,-200,-200,-81,-64,-91,-200,-200,-75,-83,-200,-200
1526452265752,-200,-200,-200,-200,-64,-90,-98,-200,-76,-83,-200,-200
1526452265849,-87,-78,-77,-81,-64,-90,-97,-88,-76,-83,-200,-200
1526452270609,-83,-78,-86,-200,-66,-200,-97,-88,-84,-200,-200,-200
1526452270701,-83,-200,-85,-66,-66,-86,-200,-200,-200,-200,-200,-200
1526452270814,-82,-78,-84,-66,-66,-200,-200,-200,-200,-200,-200,-102
1526452270920,-83,-78,-84,-65,-66,-85,-96,-200,-200,-200,-200,-200
1526452275563,-84,-200,-74,-200,-68,-86,-200,-89,-200,-200,-200,-200
1526452275748,-82,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526452275851,-84,-200,-74,-200,-68,-200,-100,-88,-200,-200,-200,-200
1526452275968,-200,-200,-75,-200,-68,-200,-100,-200,-86,-200,-200,-200
1526452280581,-200,-77,-200,-80,-63,-200,-200,-90,-75,-200,-91,-200
1526452280668,-200,-77,-200,-200,-64,-200,-200,-91,-75,-84,-200,-200
1526452280829,-200,-77,-200,-200,-200,-200,-200,-200,-75,-84,-200,-200
1526452280924,-200,-77,-75,-80,-200,-92,-200,-90,-75,-84,-91,-200
1526452281028,-88,-76,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200
1526452286079,-87,-79,-200,-79,-64,-90,-200,-200,-74,-84,-200,-200
1526452286184,-87,-78,-76,-79,-64,-200,-200,-200,-200,-84,-92,-200
1526452286292,-88,-200,-76,-80,-64,-90,-200,-200,-86,-200,-200,-200
1526452290586,-85,-200,-200,-65,-67,-200,-96,-200,-200,-200,-200,-200
1526452290688,-84,-78,-200,-66,-68,-85,-96,-200,-86,-200,-200,-200
1526452290835,-84,-78,-200,-200,-68,-86,-200,-90,-200,-200,-200,-200
1526452290974,-84,-200,-200,-85,-200,-85,-102,-200,-200,-200,-200,-200
1526452295799,-89,-77,-200,-81,-68,-200,-100,-200,-79,-84,-200,-200
