,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:E9:AB,BC:6A:29:BE:31:17,78:A5:04:41:E9:CC,78:A5:04:41:EE:06,78:A5:04:41:EB:BA,78:A5:04:41:E9:98,78:A5:04:41:EE:17,78:A5:04:41:EB:F1,78:A5:04:41:E5:68,78:A5:04:41:EB:A5,78:A5:04:41:E7:D4,78:A5:04:41:EB:AD,78:A5:04:41:EB:C3,BC:6A:29:BE:2F:54
1526451410588,-83,-99,-81,-65,-88,-68,-77,-80,-200,-200,-200,-200,-200,-200
1526451410688,-83,-200,-81,-66,-89,-200,-76,-80,-79,-84,-200,-200,-200,-200
1526451410789,-83,-96,-81,-66,-200,-200,-77,-200,-200,-84,-200,-200,-200,-200
1526451410903,-82,-97,-81,-66,-90,-68,-76,-80,-200,-83,-87,-200,-200,-200
1526451415649,-200,-98,-78,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200
1526451415957,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451416078,-200,-96,-200,-66,-200,-200,-200,-200,-82,-200,-86,-200,-200,-200
1526451420597,-81,-95,-81,-66,-200,-67,-81,-80,-200,-200,-86,-200,-200,-200
1526451420754,-81,-97,-80,-66,-200,-67,-81,-200,-200,-200,-87,-200,-200,-200
1526451420858,-81,-200,-80,-200,-200,-67,-79,-80,-200,-83,-87,-200,-200,-200
1526451420983,-81,-96,-81,-66,-200,-67,-80,-200,-70,-80,-86,-200,-200,-200
1526451425578,-77,-200,-68,-62,-200,-200,-77,-200,-73,-200,-200,-87,-88,-200
1526451425720,-200,-200,-69,-200,-200,-200,-75,-200,-200,-200,-200,-87,-200,-200
1526451425817,-200,-99,-69,-62,-200,-200,-76,-84,-73,-200,-200,-200,-200,-200
1526451425915,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526451426024,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451430565,-74,-200,-73,-68,-200,-75,-200,-88,-68,-200,-200,-90,-91,-200
1526451430648,-74,-200,-73,-200,-200,-75,-200,-87,-68,-82,-200,-200,-92,-200
1526451430758,-74,-200,-74,-68,-200,-75,-68,-87,-68,-200,-200,-89,-200,-200
1526451430948,-75,-95,-74,-68,-200,-75,-200,-80,-68,-200,-200,-200,-200,-200
1526451435572,-82,-200,-76,-66,-87,-67,-200,-200,-80,-85,-200,-200,-200,-200
1526451435661,-200,-96,-77,-66,-89,-67,-79,-79,-81,-84,-200,-200,-200,-200
1526451435782,-200,-200,-77,-66,-90,-67,-78,-80,-80,-200,-85,-200,-200,-200
1526451435880,-200,-200,-78,-66,-91,-67,-200,-200,-81,-84,-84,-200,-200,-200
1526451436027,-200,-96,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451440678,-74,-95,-73,-68,-200,-76,-200,-86,-68,-200,-200,-200,-200,-200
1526451440799,-74,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200
1526451440908,-74,-200,-74,-68,-200,-76,-68,-86,-68,-200,-200,-200,-200,-200
1526451441013,-74,-200,-200,-69,-90,-200,-200,-200,-68,-82,-200,-200,-200,-200
1526451445592,-200,-96,-200,-66,-200,-68,-69,-80,-82,-83,-200,-200,-200,-200
1526451445689,-84,-200,-81,-66,-90,-68,-70,-200,-82,-83,-86,-200,-200,-200
1526451445847,-200,-200,-81,-200,-200,-68,-69,-80,-200,-83,-86,-200,-200,-200
1526451445954,-76,-200,-80,-200,-200,-74,-200,-200,-200,-78,-200,-200,-200,-200
1526451450587,-200,-97,-68,-63,-200,-75,-83,-81,-74,-200,-200,-200,-200,-200
1526451450748,-75,-200,-69,-63,-88,-75,-83,-200,-74,-200,-88,-200,-87,-200
1526451450898,-200,-96,-200,-63,-200,-200,-200,-81,-200,-200,-200,-200,-87,-200
1526451455563,-200,-96,-72,-69,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200
1526451455656,-74,-96,-73,-69,-200,-76,-67,-200,-68,-83,-200,-200,-200,-200
1526451455768,-74,-200,-72,-69,-200,-200,-67,-84,-68,-200,-200,-200,-200,-200
1526451455861,-200,-200,-72,-69,-200,-200,-200,-200,-68,-83,-200,-200,-200,-200
1526451455967,-81,-94,-72,-200,-93,-68,-68,-79,-83,-83,-86,-200,-200,-200
1526451460681,-81,-95,-84,-65,-200,-68,-200,-78,-84,-82,-86,-200,-200,-200
1526451460798,-81,-96,-82,-65,-92,-68,-68,-79,-84,-83,-87,-200,-200,-200
1526451460900,-200,-95,-200,-65,-200,-68,-68,-80,-83,-200,-86,-200,-200,-103
1526451465562,-200,-200,-200,-63,-87,-75,-200,-200,-200,-200,-87,-200,-200,-200
1526451465657,-75,-98,-200,-63,-88,-75,-200,-200,-200,-79,-87,-87,-87,-200
1526451465868,-75,-200,-72,-63,-200,-200,-200,-200,-200,-79,-200,-200,-86,-200
1526451465983,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
