,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:74:80,74:da:da:98:74:34,74:da:da:98:74:74,0c:73:eb:d0:13:98,0c:73:eb:d0:11:c0,74:da:da:98:85:1c,0c:73:eb:d0:11:c8,74:da:da:c1:3c:11,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:90,74:da:da:c1:3d:2d,74:da:da:98:90:2c,0c:73:eb:d0:76:18,74:da:da:c1:02:91,74:da:da:c1:03:2d,0c:73:eb:d0:7e:d0,74:da:da:98:85:4c,0c:73:eb:d0:13:c8,0c:73:eb:d0:13:b0,0c:73:eb:d0:13:b8,74:da:da:98:90:94,74:da:da:98:85:60,74:da:da:98:66:cc,74:da:da:c1:3b:29,74:da:da:c1:03:1d,0c:73:eb:d0:7f:08,74:da:da:c1:02:8d,74:da:da:c0:d6:f5,0c:73:eb:d0:13:d8,74:da:da:c1:56:a1,0c:73:eb:d0:7f:10,74:da:da:c1:03:21,74:da:da:c1:3c:85,74:da:da:c0:d6:ed,0c:73:eb:d0:7e:f8,0c:73:eb:d0:19:80,74:da:da:c0:f3:01,0c:73:eb:d0:19:c0,0c:73:eb:d0:11:d8,74:da:da:c1:3a:8d,74:da:da:98:91:d4
1526462492257,-44,-47,-48,-53,-54,-54,-56,-60,-62,-63,-63,-66,-69,-71,-72,-75,-75,-76,-76,-77,-77,-83,-83,-84,-86,-87,-87,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462495290,-32,-53,-48,-50,-50,-50,-48,-59,-62,-61,-53,-62,-67,-71,-81,-75,-67,-74,-71,-70,-78,-200,-83,-200,-76,-86,-87,-89,-90,-78,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462498328,-32,-53,-48,-50,-50,-50,-48,-59,-62,-61,-53,-62,-67,-71,-81,-75,-67,-74,-71,-70,-78,-200,-83,-200,-76,-86,-87,-89,-90,-78,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462501363,-32,-53,-48,-50,-50,-50,-48,-59,-62,-61,-53,-62,-67,-71,-81,-75,-67,-74,-71,-70,-78,-200,-83,-200,-76,-86,-87,-89,-90,-78,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462504403,-31,-58,-49,-49,-51,-48,-43,-52,-64,-62,-51,-61,-65,-70,-81,-76,-67,-78,-76,-70,-78,-200,-200,-88,-71,-86,-87,-83,-200,-79,-85,-69,-79,-84,-200,-200,-200,-200,-200,-200,-200
1526462507437,-31,-56,-49,-53,-51,-48,-45,-53,-71,-62,-49,-61,-65,-74,-81,-76,-67,-75,-75,-70,-78,-200,-200,-86,-75,-86,-87,-83,-200,-79,-85,-69,-81,-84,-200,-200,-200,-200,-200,-200,-200
1526462510475,-31,-56,-49,-53,-51,-48,-45,-53,-71,-62,-49,-61,-65,-74,-81,-76,-67,-75,-75,-70,-78,-200,-200,-86,-75,-86,-87,-83,-200,-79,-85,-69,-81,-84,-200,-200,-200,-200,-200,-200,-200
1526462513507,-31,-56,-49,-53,-51,-48,-45,-53,-71,-62,-49,-61,-65,-74,-81,-76,-67,-75,-75,-70,-78,-200,-200,-86,-75,-86,-87,-83,-200,-79,-85,-69,-81,-84,-200,-200,-200,-200,-200,-200,-200
1526462516561,-33,-51,-46,-49,-51,-53,-43,-59,-71,-61,-51,-60,-71,-77,-200,-72,-69,-83,-74,-200,-200,-200,-200,-90,-78,-86,-90,-200,-200,-200,-200,-69,-88,-200,-85,-88,-94,-200,-200,-200,-200
1526462519603,-32,-50,-48,-51,-50,-52,-46,-59,-75,-56,-51,-60,-75,-80,-200,-72,-68,-80,-74,-81,-200,-200,-200,-90,-78,-86,-90,-200,-86,-200,-200,-69,-88,-200,-85,-88,-94,-89,-200,-200,-200
1526462522641,-32,-50,-48,-51,-50,-52,-46,-59,-75,-56,-51,-60,-75,-80,-200,-72,-68,-80,-74,-81,-200,-200,-200,-90,-78,-86,-90,-200,-86,-200,-200,-69,-88,-200,-85,-88,-94,-89,-200,-200,-200
1526462525679,-32,-50,-48,-51,-50,-52,-46,-59,-75,-56,-51,-60,-75,-80,-200,-72,-68,-80,-74,-81,-200,-200,-200,-90,-78,-86,-90,-200,-86,-200,-200,-69,-88,-200,-85,-88,-94,-89,-200,-200,-200
1526462528719,-34,-52,-48,-51,-49,-50,-50,-57,-70,-58,-51,-60,-71,-81,-84,-73,-68,-78,-70,-80,-78,-200,-200,-85,-79,-200,-200,-83,-86,-81,-200,-200,-200,-87,-78,-89,-200,-89,-88,-200,-200
1526462531761,-33,-53,-48,-47,-48,-50,-50,-59,-70,-58,-52,-60,-73,-81,-80,-76,-67,-78,-75,-72,-77,-200,-200,-86,-78,-200,-200,-86,-86,-81,-200,-200,-200,-87,-78,-86,-200,-89,-88,-90,-92
1526462534782,-33,-53,-48,-47,-48,-50,-50,-59,-70,-58,-52,-60,-73,-81,-80,-76,-67,-78,-75,-72,-77,-200,-200,-86,-78,-200,-200,-86,-86,-81,-200,-200,-200,-87,-78,-86,-200,-89,-88,-90,-92
1526462537818,-33,-53,-48,-47,-48,-50,-50,-59,-70,-58,-52,-60,-73,-81,-80,-76,-67,-78,-75,-72,-77,-200,-200,-86,-78,-200,-200,-86,-86,-81,-200,-200,-200,-87,-78,-86,-200,-89,-88,-90,-92
1526462540860,-33,-54,-48,-47,-47,-46,-56,-56,-76,-59,-51,-61,-72,-81,-76,-73,-68,-200,-71,-77,-200,-200,-200,-86,-80,-200,-86,-200,-200,-80,-200,-69,-200,-200,-200,-200,-200,-200,-91,-90,-200
