,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:3d:2d,74:da:da:98:74:80,0c:73:eb:d0:11:c0,74:da:da:98:85:4c,74:da:da:98:85:1c,0c:73:eb:d0:13:98,74:da:da:98:74:74,0c:73:eb:d0:13:b8,0c:73:eb:d0:13:90,0c:73:eb:d0:76:18,74:da:da:c1:3c:11,74:da:da:c1:03:2d,0c:73:eb:d0:11:c8,0c:73:eb:d0:11:d8,74:da:da:98:74:34,74:da:da:c1:3c:85,74:da:da:c1:56:a1,0c:73:eb:d0:13:c8,74:da:da:c1:3b:29,0c:73:eb:d0:7f:10,0c:73:eb:d0:13:b0,0c:73:eb:d0:7e:d0,74:da:da:c1:3c:45,50:3a:a0:ea:01:66,74:da:da:c0:d8:3d,0c:73:eb:d0:11:e0,74:da:da:98:66:cc,74:da:da:c0:d6:f5,74:da:da:c1:03:1d,0c:73:eb:d0:13:a8,0c:73:eb:d0:7f:08,74:da:da:98:85:60,74:da:da:c0:d7:b9,74:da:da:c0:f3:01,0c:73:eb:d0:7e:f8,74:da:da:98:91:d4,74:da:da:c1:02:8d,74:da:da:98:90:94,0c:73:eb:d0:19:90,74:da:da:98:85:00,74:da:da:98:90:2c,0c:73:eb:d0:7c:38
1526462791708,-43,-47,-50,-53,-54,-58,-58,-59,-60,-60,-61,-67,-69,-73,-74,-74,-75,-76,-77,-77,-79,-79,-83,-83,-83,-84,-86,-86,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462794739,-42,-49,-48,-52,-56,-55,-61,-58,-62,-60,-61,-88,-74,-86,-74,-73,-75,-83,-77,-200,-79,-200,-79,-81,-83,-84,-86,-86,-81,-200,-73,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462797777,-42,-49,-48,-52,-56,-55,-61,-58,-62,-60,-61,-88,-74,-86,-74,-73,-75,-83,-77,-200,-79,-200,-79,-81,-83,-84,-86,-86,-81,-200,-73,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462800802,-42,-49,-48,-52,-56,-55,-61,-58,-62,-60,-61,-88,-74,-86,-74,-73,-75,-83,-77,-200,-79,-200,-79,-81,-83,-84,-86,-86,-81,-200,-73,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462803843,-40,-48,-47,-51,-56,-57,-61,-57,-57,-61,-79,-88,-74,-82,-80,-72,-74,-83,-82,-200,-79,-200,-80,-80,-84,-85,-200,-200,-83,-200,-71,-76,-83,-85,-85,-85,-86,-87,-87,-200,-200,-200
1526462806886,-39,-48,-47,-51,-57,-57,-61,-56,-61,-60,-79,-88,-74,-81,-79,-72,-74,-83,-82,-200,-79,-200,-80,-80,-84,-86,-200,-200,-83,-200,-71,-76,-83,-85,-82,-85,-86,-87,-87,-81,-200,-200
1526462809927,-39,-48,-47,-51,-57,-57,-61,-56,-61,-60,-79,-88,-74,-81,-79,-72,-74,-83,-82,-200,-79,-200,-80,-80,-84,-86,-200,-200,-83,-200,-71,-76,-83,-85,-82,-85,-86,-87,-87,-81,-200,-200
1526462812969,-39,-48,-47,-51,-57,-57,-61,-56,-61,-60,-79,-88,-74,-81,-79,-72,-74,-83,-82,-200,-79,-200,-80,-80,-84,-86,-200,-200,-83,-200,-71,-76,-83,-85,-82,-85,-86,-87,-87,-81,-200,-200
1526462816018,-40,-69,-48,-48,-56,-57,-61,-56,-54,-56,-80,-87,-72,-81,-78,-73,-200,-81,-200,-200,-200,-200,-85,-83,-84,-86,-83,-200,-83,-200,-75,-78,-200,-84,-81,-200,-200,-200,-200,-81,-200,-200
1526462819047,-39,-55,-46,-48,-52,-57,-61,-56,-56,-60,-80,-87,-74,-81,-80,-72,-76,-81,-85,-79,-80,-200,-85,-83,-85,-86,-83,-89,-81,-200,-72,-78,-84,-84,-85,-84,-200,-200,-200,-81,-89,-200
1526462822084,-39,-55,-46,-48,-52,-57,-61,-56,-56,-60,-80,-87,-74,-81,-80,-72,-76,-81,-85,-79,-80,-200,-85,-83,-85,-86,-83,-89,-81,-200,-72,-78,-84,-84,-85,-84,-200,-200,-200,-81,-89,-200
1526462825120,-39,-55,-46,-48,-52,-57,-61,-56,-56,-60,-80,-87,-74,-81,-80,-72,-76,-81,-85,-79,-80,-200,-85,-83,-85,-86,-83,-89,-81,-200,-72,-78,-84,-84,-85,-84,-200,-200,-200,-81,-89,-200
1526462828165,-41,-52,-47,-48,-54,-57,-59,-56,-53,-62,-84,-81,-70,-81,-75,-72,-75,-200,-85,-79,-80,-200,-84,-200,-85,-200,-83,-89,-82,-200,-72,-78,-86,-84,-85,-84,-200,-200,-200,-84,-89,-200
1526462831202,-41,-50,-47,-48,-55,-57,-60,-56,-58,-60,-84,-81,-70,-85,-75,-72,-75,-78,-85,-79,-80,-89,-82,-81,-85,-200,-83,-89,-83,-200,-79,-78,-86,-84,-85,-84,-85,-200,-200,-84,-89,-200
