,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:11:c0,74:da:da:98:85:1c,0c:73:eb:d0:13:b8,74:da:da:98:74:80,74:da:da:98:85:4c,0c:73:eb:d0:7f:08,74:da:da:c1:3c:85,74:da:da:98:85:60,74:da:da:c1:3b:29,74:da:da:98:85:00,74:da:da:c0:d8:3d,0c:73:eb:d0:13:90,74:da:da:c1:56:a1,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7f:10,0c:73:eb:d0:13:98,0c:73:eb:d0:11:e0,74:da:da:c0:d7:b9,74:da:da:c0:f3:01,74:da:da:c1:3d:2d,74:da:da:98:91:d4,0c:73:eb:d0:13:d8,74:da:da:c1:3a:8d,0c:73:eb:d0:11:c8,74:da:da:98:74:74,74:da:da:98:74:34,0c:73:eb:d0:76:18,0c:73:eb:d0:11:f8,0c:73:eb:d0:7c:40,74:da:da:c0:f4:69,74:da:da:c1:03:2d,74:da:da:c1:3c:11,0c:73:eb:d0:13:c8,0c:73:eb:d0:11:d8,74:da:da:98:ea:5c,0c:73:eb:d0:13:a8,74:da:da:c0:e0:69,0c:73:eb:d0:7f:00,0c:73:eb:d0:7c:08,74:da:da:c1:3a:81,0c:73:eb:d0:19:88,0c:73:eb:d0:7c:38,74:da:da:c1:3b:19,0c:73:eb:d0:19:80,74:da:da:c1:3c:55
1526463094218,-32,-44,-59,-59,-59,-63,-63,-66,-66,-67,-67,-70,-70,-70,-73,-74,-75,-76,-77,-78,-78,-78,-79,-80,-81,-81,-82,-83,-85,-86,-86,-89,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463097247,-32,-40,-58,-55,-57,-63,-69,-71,-64,-66,-60,-72,-70,-70,-73,-79,-75,-76,-77,-78,-65,-78,-79,-85,-85,-200,-82,-83,-200,-200,-88,-89,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463100282,-32,-40,-58,-55,-57,-63,-69,-71,-64,-66,-60,-72,-70,-70,-73,-79,-75,-76,-77,-78,-65,-78,-79,-85,-85,-200,-82,-83,-200,-200,-88,-89,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463103302,-32,-40,-58,-55,-57,-63,-69,-71,-64,-66,-60,-72,-70,-70,-73,-79,-75,-76,-77,-78,-65,-78,-79,-85,-85,-200,-82,-83,-200,-200,-88,-89,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463106340,-33,-37,-60,-52,-58,-63,-73,-72,-66,-63,-63,-72,-67,-68,-73,-79,-200,-79,-77,-77,-70,-79,-81,-85,-81,-200,-74,-82,-200,-200,-88,-79,-200,-200,-82,-81,-87,-91,-92,-200,-200,-200,-200,-200,-200
1526463109392,-35,-38,-56,-54,-58,-63,-73,-72,-76,-64,-64,-76,-65,-68,-73,-79,-75,-77,-77,-77,-70,-79,-81,-85,-78,-200,-74,-82,-200,-200,-88,-79,-200,-200,-80,-81,-87,-91,-92,-76,-84,-200,-200,-200,-200
1526463112423,-35,-38,-56,-54,-58,-63,-73,-72,-76,-64,-64,-76,-65,-68,-73,-79,-75,-77,-77,-77,-70,-79,-81,-85,-78,-200,-74,-82,-200,-200,-88,-79,-200,-200,-80,-81,-87,-91,-92,-76,-84,-200,-200,-200,-200
1526463115470,-35,-38,-56,-54,-58,-63,-73,-72,-76,-64,-64,-76,-65,-68,-73,-79,-75,-77,-77,-77,-70,-79,-81,-85,-78,-200,-74,-82,-200,-200,-88,-79,-200,-200,-80,-81,-87,-91,-92,-76,-84,-200,-200,-200,-200
1526463118513,-28,-40,-64,-54,-58,-63,-61,-200,-76,-73,-73,-76,-65,-200,-79,-200,-75,-77,-200,-200,-200,-82,-89,-200,-78,-200,-200,-200,-200,-200,-200,-82,-200,-200,-82,-200,-200,-200,-200,-72,-84,-77,-200,-200,-200
1526463121556,-28,-37,-67,-51,-56,-68,-61,-63,-76,-69,-75,-77,-79,-70,-79,-78,-75,-78,-200,-83,-76,-82,-85,-78,-78,-87,-82,-200,-200,-200,-200,-82,-200,-200,-82,-200,-200,-200,-200,-71,-84,-77,-200,-200,-200
1526463124593,-28,-37,-67,-51,-56,-68,-61,-63,-76,-69,-75,-77,-79,-70,-79,-78,-75,-78,-200,-83,-76,-82,-85,-78,-78,-87,-82,-200,-200,-200,-200,-82,-200,-200,-82,-200,-200,-200,-200,-71,-84,-77,-200,-200,-200
1526463127631,-28,-37,-67,-51,-56,-68,-61,-63,-76,-69,-75,-77,-79,-70,-79,-78,-75,-78,-200,-83,-76,-82,-85,-78,-78,-87,-82,-200,-200,-200,-200,-82,-200,-200,-82,-200,-200,-200,-200,-71,-84,-77,-200,-200,-200
1526463130673,-29,-38,-63,-53,-56,-72,-62,-65,-62,-68,-65,-73,-70,-67,-75,-79,-76,-79,-83,-82,-72,-77,-80,-81,-85,-87,-82,-77,-200,-200,-200,-86,-200,-200,-84,-200,-89,-200,-200,-70,-200,-200,-200,-200,-200
1526463133715,-28,-38,-69,-53,-56,-71,-62,-65,-63,-68,-64,-77,-71,-69,-75,-79,-76,-79,-85,-79,-71,-76,-84,-82,-85,-84,-74,-77,-200,-200,-200,-86,-200,-200,-84,-200,-89,-200,-200,-72,-200,-80,-89,-200,-200
1526463136765,-28,-38,-69,-53,-56,-71,-62,-65,-63,-68,-64,-77,-71,-69,-75,-79,-76,-79,-85,-79,-71,-76,-84,-82,-85,-84,-74,-77,-200,-200,-200,-86,-200,-200,-84,-200,-89,-200,-200,-72,-200,-80,-89,-200,-200
1526463139796,-28,-38,-69,-53,-56,-71,-62,-65,-63,-68,-64,-77,-71,-69,-75,-79,-76,-79,-85,-79,-71,-76,-84,-82,-85,-84,-74,-77,-200,-200,-200,-86,-200,-200,-84,-200,-89,-200,-200,-72,-200,-80,-89,-200,-200
1526463142822,-28,-38,-64,-50,-62,-73,-61,-68,-65,-69,-64,-78,-71,-70,-75,-81,-200,-79,-85,-77,-72,-77,-81,-79,-87,-83,-76,-81,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-72,-200,-80,-89,-93,-94
1526463145863,-28,-38,-64,-51,-62,-74,-61,-68,-65,-71,-64,-76,-70,-70,-74,-81,-77,-77,-85,-78,-72,-79,-81,-79,-87,-83,-76,-82,-200,-200,-200,-87,-200,-200,-200,-200,-87,-200,-200,-72,-200,-82,-89,-93,-94
1526463148912,-28,-38,-64,-51,-62,-74,-61,-68,-65,-71,-64,-76,-70,-70,-74,-81,-77,-77,-85,-78,-72,-79,-81,-79,-87,-83,-76,-82,-200,-200,-200,-87,-200,-200,-200,-200,-87,-200,-200,-72,-200,-82,-89,-93,-94
1526463151945,-28,-38,-64,-51,-62,-74,-61,-68,-65,-71,-64,-76,-70,-70,-74,-81,-77,-77,-85,-78,-72,-79,-81,-79,-87,-83,-76,-82,-200,-200,-200,-87,-200,-200,-200,-200,-87,-200,-200,-72,-200,-82,-89,-93,-94
1526463154986,-26,-38,-65,-52,-65,-74,-61,-66,-66,-70,-63,-74,-70,-67,-75,-200,-80,-77,-84,-79,-74,-78,-78,-200,-200,-200,-76,-80,-91,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-72,-83,-82,-200,-200,-200
