,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:B4,78:A5:04:41:E5:6B,78:A5:04:41:EB:C3,78:A5:04:41:EB:BA,78:A5:04:41:E9:AB,78:A5:04:41:E7:85,78:A5:04:41:E7:D4,78:A5:04:41:E9:CD,78:A5:04:41:E9:CC,78:A5:04:41:E9:DA,78:A5:04:41:E9:FD,BC:6A:29:BE:31:17,78:A5:04:41:EB:8B
1526456175981,-77,-88,-70,-76,-87,-85,-200,-200,-200,-200,-200,-200,-200
1526456176166,-76,-90,-73,-200,-88,-85,-81,-200,-200,-200,-200,-200,-200
1526456185877,-82,-200,-200,-56,-86,-88,-77,-84,-86,-200,-200,-200,-200
1526456185962,-200,-200,-69,-56,-200,-89,-77,-200,-200,-83,-200,-200,-200
1526456186106,-81,-200,-81,-56,-85,-89,-200,-200,-86,-81,-200,-200,-200
1526456186190,-82,-200,-200,-56,-86,-88,-200,-200,-87,-200,-200,-200,-200
1526456186333,-200,-200,-69,-200,-86,-200,-200,-89,-200,-82,-200,-200,-200
1526456190925,-200,-200,-200,-64,-85,-200,-90,-89,-200,-200,-200,-200,-200
1526456191035,-79,-200,-69,-64,-86,-85,-200,-200,-200,-200,-200,-200,-200
1526456191230,-78,-200,-200,-64,-87,-200,-200,-200,-200,-82,-200,-200,-200
1526456191333,-78,-200,-76,-200,-86,-200,-74,-90,-200,-77,-200,-200,-200
1526456195955,-200,-200,-76,-66,-87,-200,-74,-90,-200,-77,-200,-200,-200
1526456196046,-79,-200,-76,-66,-86,-200,-74,-90,-200,-77,-200,-200,-200
1526456196154,-79,-200,-200,-66,-86,-200,-200,-89,-200,-77,-200,-200,-200
1526456196319,-78,-200,-76,-66,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526456200885,-82,-200,-69,-57,-88,-89,-200,-200,-87,-200,-93,-200,-200
1526456200987,-82,-200,-68,-57,-88,-89,-200,-200,-200,-84,-200,-103,-200
1526456201101,-200,-200,-69,-200,-200,-89,-200,-200,-86,-85,-200,-200,-200
1526456201205,-200,-200,-69,-57,-200,-200,-200,-200,-200,-85,-93,-200,-200
1526456201301,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456210928,-73,-200,-70,-62,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526456211048,-200,-200,-200,-62,-85,-90,-77,-200,-200,-200,-200,-200,-200
1526456211155,-200,-200,-200,-60,-87,-200,-200,-200,-200,-200,-200,-104,-200
1526456211268,-200,-200,-200,-61,-200,-90,-200,-84,-200,-77,-200,-200,-200
1526456215931,-200,-200,-77,-71,-200,-200,-200,-85,-200,-80,-200,-200,-200
1526456216039,-200,-200,-200,-200,-200,-200,-72,-200,-200,-79,-200,-200,-200
1526456216145,-200,-200,-77,-72,-90,-200,-200,-84,-200,-79,-200,-200,-200
1526456216248,-80,-200,-67,-60,-200,-200,-79,-200,-200,-79,-200,-200,-200
1526456220935,-200,-200,-68,-200,-200,-200,-79,-86,-86,-77,-200,-200,-200
1526456221045,-80,-200,-200,-60,-200,-200,-200,-200,-87,-77,-200,-200,-94
1526456221147,-80,-200,-67,-59,-200,-200,-79,-84,-85,-77,-200,-200,-200
1526456221260,-77,-200,-200,-60,-89,-200,-80,-86,-86,-200,-200,-200,-200
1526456225903,-77,-200,-66,-65,-90,-200,-80,-200,-200,-200,-200,-200,-200
1526456226013,-200,-200,-65,-65,-89,-200,-80,-200,-200,-77,-200,-200,-200
1526456226115,-76,-200,-65,-64,-200,-200,-79,-200,-88,-200,-200,-200,-200
1526456226224,-77,-200,-65,-65,-89,-200,-80,-200,-200,-200,-200,-200,-200
1526456230887,-80,-200,-80,-200,-200,-200,-200,-83,-200,-84,-200,-200,-200
1526456230995,-79,-200,-200,-200,-200,-200,-200,-84,-200,-84,-200,-200,-200
1526456231137,-200,-200,-200,-200,-200,-200,-72,-84,-200,-84,-200,-200,-200
1526456231274,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200
