,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:18,74:da:da:c1:3c:f9,74:da:da:c1:3c:dd,0c:73:eb:d0:11:e8,74:da:da:c1:3c:99,74:da:da:c1:4b:05,74:da:da:c1:4b:01,74:da:da:c1:4b:59,0c:73:eb:d0:7c:00,0c:73:eb:d0:7c:10,74:da:da:c0:e2:d9,0c:73:eb:d0:7e:f0,0c:73:eb:d0:13:d0,bc:d1:77:5f:6a:b4,74:da:da:c1:3a:81,74:da:da:c0:e0:71,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:48,74:da:da:c1:3b:49,74:da:da:c1:3c:e1,0c:73:eb:d0:13:c0,74:da:da:c0:e0:81,74:da:da:98:74:94,74:da:da:c1:4a:f5,74:da:da:98:7a:68,74:da:da:c0:f3:01,74:da:da:98:7a:50,74:da:da:c1:56:a1,0c:73:eb:d0:11:f8,74:da:da:98:8d:78,74:da:da:c0:e0:69,74:da:da:c1:4a:ed,0c:73:eb:d0:7a:68,0c:73:eb:d0:7c:08,74:da:da:c0:d7:b9,74:da:da:98:7a:60,0c:73:eb:d0:11:e0,74:da:da:c1:02:8d,74:da:da:c0:f2:fd,0c:73:eb:d0:7c:40,74:da:da:98:85:60,74:da:da:c1:56:ed,0c:73:eb:d0:76:58,0c:73:eb:d0:7f:10,74:da:da:98:ea:4c,74:da:da:98:91:d4,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7c:28
1526451707620,-23,-38,-45,-48,-48,-48,-50,-50,-56,-58,-59,-63,-66,-66,-66,-67,-70,-72,-74,-74,-75,-76,-78,-78,-78,-79,-82,-82,-82,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451710648,-27,-55,-47,-54,-43,-48,-54,-45,-66,-58,-56,-59,-61,-60,-60,-65,-67,-75,-200,-74,-75,-73,-74,-200,-78,-79,-71,-82,-78,-86,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451713669,-27,-55,-47,-54,-43,-48,-54,-45,-66,-58,-56,-59,-61,-60,-60,-65,-67,-75,-200,-74,-75,-73,-74,-200,-78,-79,-71,-82,-78,-86,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451716699,-27,-55,-47,-54,-43,-48,-54,-45,-66,-58,-56,-59,-61,-60,-60,-65,-67,-75,-200,-74,-75,-73,-74,-200,-78,-79,-71,-82,-78,-86,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451719744,-31,-54,-47,-52,-43,-47,-52,-45,-67,-57,-56,-60,-55,-61,-60,-63,-69,-75,-85,-68,-70,-74,-75,-76,-69,-66,-71,-200,-78,-200,-200,-69,-75,-76,-79,-82,-82,-83,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451722777,-33,-51,-47,-53,-46,-47,-52,-45,-67,-57,-56,-60,-55,-63,-60,-62,-69,-75,-85,-68,-65,-74,-80,-76,-71,-68,-71,-89,-78,-200,-200,-69,-75,-76,-79,-86,-82,-83,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451725819,-33,-51,-47,-53,-46,-47,-52,-45,-67,-57,-56,-60,-55,-63,-60,-62,-69,-75,-85,-68,-65,-74,-80,-76,-71,-68,-71,-89,-78,-200,-200,-69,-75,-76,-79,-86,-82,-83,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451728861,-33,-51,-47,-53,-46,-47,-52,-45,-67,-57,-56,-60,-55,-63,-60,-62,-69,-75,-85,-68,-65,-74,-80,-76,-71,-68,-71,-89,-78,-200,-200,-69,-75,-76,-79,-86,-82,-83,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451731898,-33,-54,-43,-51,-42,-51,-51,-48,-65,-57,-56,-61,-57,-62,-200,-63,-73,-66,-200,-67,-65,-200,-80,-200,-70,-67,-74,-88,-200,-200,-200,-72,-200,-200,-200,-82,-79,-86,-80,-200,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
