,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,74:da:da:c1:4a:ed,74:da:da:c1:3c:dd,74:da:da:c1:4b:01,74:da:da:c1:4a:f6,0c:73:eb:d0:7c:18,74:da:da:c1:4b:05,74:da:da:98:74:94,0c:73:eb:d0:7c:30,74:da:da:c1:4b:02,74:da:da:98:7a:6c,0c:73:eb:d0:11:b8,0c:73:eb:d0:11:b0,bc:d1:77:5f:6a:b4,74:da:da:98:7a:4c,74:da:da:c1:3c:de,0c:73:eb:d0:11:f0,74:da:da:98:74:95,74:da:da:c1:4a:ee,74:da:da:c1:4b:59,74:da:da:c1:3b:49,0c:73:eb:d0:11:e8,74:da:da:98:7a:50,74:da:da:98:8d:79,74:da:da:98:7a:60,74:da:da:c1:4b:06,74:da:da:c1:3c:91,74:da:da:c1:3c:fa,74:da:da:c1:3c:f6,74:da:da:c0:f2:fd,74:da:da:98:91:d4,74:da:da:c1:3c:d1,74:da:da:c0:e0:81,0c:73:eb:d0:7c:00,74:da:da:c0:e0:71,74:da:da:98:8d:78,0c:73:eb:d0:13:c0,74:da:da:c1:3c:f9,74:da:da:98:7a:68,0c:73:eb:d0:76:20,0c:73:eb:d0:7c:10
1526455712766,-28,-35,-36,-37,-37,-47,-48,-50,-51,-62,-62,-63,-63,-64,-68,-69,-70,-71,-74,-74,-74,-75,-78,-82,-83,-84,-86,-87,-88,-89,-89,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455715785,-26,-46,-37,-37,-43,-68,-48,-64,-35,-50,-62,-63,-63,-58,-63,-73,-84,-71,-60,-71,-72,-75,-78,-82,-65,-84,-85,-87,-89,-89,-89,-91,-90,-73,-81,-86,-200,-200,-200,-200,-200,-200
1526455718794,-26,-46,-37,-200,-43,-68,-200,-64,-35,-50,-62,-200,-200,-58,-63,-73,-84,-200,-60,-71,-72,-200,-200,-200,-65,-200,-85,-200,-89,-200,-200,-200,-90,-73,-81,-86,-200,-200,-200,-200,-200,-200
1526455721807,-21,-43,-37,-200,-39,-63,-200,-56,-35,-51,-70,-200,-200,-58,-63,-73,-80,-67,-58,-72,-72,-200,-78,-71,-64,-200,-81,-200,-89,-200,-200,-200,-90,-73,-81,-86,-51,-200,-200,-200,-200,-200
1526455724813,-21,-43,-37,-200,-39,-63,-200,-56,-35,-51,-70,-200,-200,-58,-63,-73,-80,-67,-58,-72,-72,-200,-78,-71,-64,-200,-81,-200,-89,-200,-200,-200,-90,-73,-81,-86,-51,-200,-200,-200,-200,-200
1526455727834,-21,-44,-36,-200,-40,-61,-62,-56,-34,-54,-71,-69,-200,-61,-63,-73,-77,-67,-59,-72,-72,-200,-78,-69,-67,-200,-81,-200,-89,-200,-200,-200,-90,-73,-81,-86,-51,-78,-200,-200,-200,-200
1526455730854,-21,-44,-36,-200,-40,-61,-62,-56,-34,-54,-71,-69,-200,-61,-63,-73,-77,-67,-59,-72,-72,-200,-78,-69,-67,-200,-81,-200,-89,-200,-200,-200,-90,-73,-81,-86,-51,-78,-200,-200,-200,-200
1526455733883,-19,-44,-36,-200,-46,-62,-62,-53,-33,-54,-65,-71,-67,-62,-62,-73,-78,-67,-59,-72,-72,-200,-78,-69,-68,-73,-85,-71,-90,-200,-200,-200,-90,-73,-81,-86,-51,-78,-200,-200,-200,-200
1526455736908,-19,-44,-36,-200,-46,-62,-62,-53,-33,-54,-65,-71,-67,-62,-62,-73,-78,-67,-59,-72,-72,-200,-78,-69,-68,-73,-85,-71,-90,-200,-200,-200,-90,-73,-81,-86,-51,-78,-200,-200,-200,-200
1526455739931,-17,-44,-43,-200,-50,-66,-58,-55,-32,-54,-68,-71,-65,-62,-63,-73,-83,-67,-59,-72,-72,-200,-78,-69,-72,-73,-85,-71,-89,-200,-200,-200,-90,-73,-81,-86,-48,-78,-50,-200,-200,-200
