wifi_change
3
18
29
-1
47
-1
-1
19
23
23
38
47
-1
38
5
10
27
-1
-1
-1
29
18
24
-1
-1
-1
-1
-1
-1
39
-1
25
26
22
-1
26
11
-1
-1
3
26
-1
-1
-1
16
14
注释:-1表示无法判断;其他数值为wifi相差大于10的个数的累加值
