['time'],['wifi_change']
1
MAC,-1,cc:d5:39:e9:5c:a1,cc:d5:39:a0:cd:b4,cc:d5:39:a0:cd:b2,cc:d5:39:a0:cd:b1
Samsung,-1,,,,
Samsung,-1,,,,
LG,-1,,,,
LG,-1,,,,
Oneplus,-1,,,,
Oneplus,-1,,,,
Nexus,,-72,-72,-95,-95
Nexus,,-95,-95,-70,-70
2
MAC,24:01:c7:33:7f:a4,58:97:1e:f7:73:bd,58:97:1e:f7:73:bf,34:a8:4e:a2:a3:99,34:a8:4e:a2:a3:9b,24:01:c7:33:7f:aa,24:01:c7:33:7f:ab,24:01:c7:33:7f:a1,34:a8:4e:a2:a3:9c,34:a8:4e:a2:a3:9d
Samsung,-59,-73,-73,-84,-87,,,,,
Samsung,-71,-84,-85,-72,-74,,,,,
LG,,,,,,,,,,
LG,,,,,,,,,,
Oneplus,,,,,,-49,-52,-55,,
Oneplus,,,,,,-61,-95,-68,,
Nexus,,,,,,,,,-86,-87
Nexus,,,,,,,,,-74,-74
3
MAC,58:97:1e:f7:73:b1,34:a8:4e:a2:a3:9b,34:a8:4e:a2:a3:93,24:01:c7:ca:81:05,34:a8:4e:a2:a3:96
Samsung,-52,-74,-85,,
Samsung,-65,-86,-74,,
LG,,,,,
LG,,,,,
Oneplus,,,,,
Oneplus,,,,,
Nexus,,,,-81,-95
Nexus,,,,-69,-74
4
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
5
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
6
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
7
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
8
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
9
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
10
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
11
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
12
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
13
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
14
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
15
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
16
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
17
MAC,-1
Samsung,-1
Samsung,-1
LG,-1
LG,-1
Oneplus,-1
Oneplus,-1
Nexus,-1
Nexus,-1
"注释:-1表示无法判断;-95的值是对空值的标准化;每9行为一组数据,同一组内去除了相差不大于10的值,去除了信号一直微弱(-75为标准)的值"
