start_tamp,end_tamp,time,distance
1454507658512,1454507665342,6830,0.598746
1454507681432,1454507681972,540,0.271604
1454507683992,1454507690532,6540,0.972874
1454507779752,1454507780562,810,0.407470
1454507886772,1454507888432,1660,0.491341
1454508039962,1454508041442,1480,0.662895
1454508045502,1454508066042,20540,1.113969
1454508117002,1454508117842,840,0.424073
1454508130882,1454508131852,970,0.489499
1454508142522,1454508143072,550,0.275554
1454508179412,1454508185602,6190,0.918014
1454508191972,1454508194662,2690,0.832854
1454508233482,1454508235172,1690,0.578325
1454508270782,1454508271612,830,0.415795
1454508330762,1454508335932,5170,1.355429
1454508357222,1454508357762,540,0.270455
1454508390552,1454508391992,1440,0.627265
1454508598612,1454508600262,1650,0.683234
1454508702732,1454508704412,1680,0.633583
1454508734542,1454508736272,1730,0.750397
1454508808142,1454508809582,1440,0.500866
1454508872792,1454508874992,2200,0.587079
1454508878462,1454508879472,1010,0.505773
1454508957952,1454508959452,1500,0.516227
1454509045922,1454509047682,1760,0.709610
1454509161392,1454509167512,6120,2.557712
1454509183402,1454509186552,3150,0.920341
1454509203832,1454509207062,3230,0.619572
1454509246052,1454509248712,2660,1.221706
1454509269272,1454509269972,700,0.353415
1454509286132,1454509301352,15220,0.932306
1454509313182,1454509314632,1450,0.712108
1454509383042,1454509385302,2260,0.939794
1454509477882,1454509481312,3430,0.679044
1454509597702,1454509598442,740,0.371190
1454509604442,1454509605322,880,0.441262
1454509609192,1454509612342,3150,0.840000
1454509762972,1454509764932,1960,0.654189
1454509771792,1454509773812,2020,0.580048
1454509783462,1454509785952,2490,0.880491
1454509788792,1454509792832,4040,0.614526
1454509811892,1454509813702,1810,0.627580
