start_tamp,end_tamp,time,distance
1454081776433,1454081782923,6490,0.630075
1454081833453,1454081834043,590,0.296204
1454081880603,1454081882493,1890,0.562017
1454081922133,1454081924843,2710,0.189532
1454081945503,1454081948783,3280,0.762577
1454081951203,1454081960483,9280,0.698344
1454081975693,1454081976963,1270,0.531794
1454082002173,1454082002813,640,0.320316
1454082038973,1454082039483,510,0.255333
1454082109803,1454082111553,1750,0.815250
1454082123513,1454082124763,1250,0.498212
1454082153763,1454082155873,2110,0.569657
1454082160783,1454082162043,1260,0.630716
1454082247393,1454082248473,1080,0.545929
1454082318773,1454082320643,1870,0.368921
1454082342933,1454082346783,3850,1.436800
1454082414813,1454082415613,800,0.401292
1454082420933,1454082422283,1350,0.676364
1454082425943,1454082432713,6770,0.819147
1454082465383,1454082469363,3980,0.654903
1454082555933,1454082558823,2890,0.876802
1454082571563,1454082575113,3550,0.414059
1454082580073,1454082584083,4010,1.380680
1454082594913,1454082596753,1840,0.528916
1454082620563,1454082623623,3060,0.897101
1454082653743,1454082659593,5850,1.260188
1454082666193,1454082668693,2500,0.831117
1454082701293,1454082702843,1550,0.776351
1454082704783,1454082706813,2030,0.738830
1454082746703,1454082747493,790,0.395675
1454082793593,1454082794103,510,0.256434
1454082825943,1454082827143,1200,0.600245
1454082829463,1454082830063,600,0.301792
1454082852503,1454082855593,3090,1.056569
1454082856803,1454082858813,2010,0.787607
1454082867823,1454082869733,1910,0.669106
1454082886623,1454082888463,1840,0.449491
