,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,74:da:da:98:7a:6c,0c:73:eb:d0:11:b0,74:da:da:98:7a:60,0c:73:eb:d0:13:c0,74:da:da:c1:3c:e1,74:da:da:c1:3c:91,0c:73:eb:d0:11:d0,74:da:da:98:7a:68,74:da:da:98:7a:50,74:da:da:c0:e0:71,0c:73:eb:d0:11:b8,74:da:da:c1:3c:d1,74:da:da:98:7a:4c,0c:73:eb:d0:7e:d8,74:da:da:98:7a:6d,0c:73:eb:d0:7e:e0,0c:73:eb:d0:7e:f0,74:da:da:c1:3c:ad,74:da:da:c1:61:69,0c:73:eb:d0:76:40,74:da:da:c0:e0:69,74:da:da:c0:f3:01,74:da:da:c1:3b:49,0c:73:eb:d0:7c:48,0c:73:eb:d0:13:a8,74:da:da:c1:4b:01,74:da:da:c1:56:ed,74:da:da:c1:4a:f5,74:da:da:c1:3c:d2,74:da:da:c1:3c:e2,74:da:da:c1:3c:51,74:da:da:98:7a:61,74:da:da:98:7a:51,74:da:da:98:7a:69,0c:73:eb:d0:2a:48,74:da:da:c1:3b:4a,74:da:da:c1:3c:92,74:da:da:c1:3c:ae,74:da:da:98:8f:34,74:da:da:c0:f2:fd,74:da:da:98:7a:4d,74:da:da:c1:3c:6d,0c:73:eb:d0:19:b0,74:da:da:98:ea:4c,74:da:da:c1:48:bd,74:da:da:c0:e0:72,0c:73:eb:d0:7c:38,0c:73:eb:d0:76:58,0c:73:eb:d0:11:e0,0c:73:eb:d0:76:20,0c:73:eb:d0:7c:18,74:da:da:c1:3b:9d
1526466294428,-33,-34,-37,-38,-38,-41,-45,-47,-47,-51,-52,-52,-53,-55,-57,-57,-59,-61,-62,-63,-64,-65,-65,-68,-69,-69,-69,-70,-71,-73,-73,-76,-77,-77,-82,-83,-85,-86,-86,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466297447,-28,-33,-37,-38,-43,-41,-47,-52,-47,-51,-53,-52,-44,-55,-61,-57,-59,-61,-53,-63,-64,-65,-65,-68,-69,-69,-69,-70,-76,-71,-73,-76,-75,-74,-82,-82,-85,-83,-86,-87,-90,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466300457,-28,-33,-37,-38,-43,-41,-47,-52,-47,-200,-53,-200,-44,-55,-61,-57,-59,-61,-53,-63,-64,-65,-65,-68,-200,-69,-69,-70,-76,-71,-73,-76,-75,-74,-82,-82,-85,-83,-86,-87,-90,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466303481,-28,-34,-36,-38,-42,-41,-45,-52,-47,-200,-53,-58,-44,-50,-65,-57,-54,-57,-51,-63,-64,-65,-65,-68,-200,-69,-69,-71,-76,-68,-73,-77,-74,-71,-82,-82,-85,-87,-86,-87,-86,-75,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466306496,-28,-34,-36,-38,-42,-200,-45,-52,-47,-200,-53,-58,-44,-50,-65,-200,-54,-57,-51,-200,-64,-65,-65,-200,-200,-200,-69,-71,-76,-68,-73,-77,-74,-71,-200,-82,-85,-87,-200,-87,-86,-75,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466309511,-28,-33,-36,-38,-42,-200,-48,-52,-47,-200,-53,-58,-44,-50,-63,-200,-54,-57,-48,-200,-64,-65,-65,-200,-200,-200,-69,-71,-76,-68,-73,-75,-72,-71,-200,-82,-84,-86,-200,-87,-85,-75,-69,-81,-89,-90,-200,-200,-200,-200,-200,-200
1526466312522,-28,-33,-36,-38,-42,-200,-48,-52,-47,-200,-53,-58,-44,-50,-63,-200,-54,-57,-48,-200,-64,-200,-65,-200,-200,-200,-69,-71,-76,-68,-73,-75,-72,-71,-200,-82,-84,-86,-200,-87,-85,-75,-69,-81,-89,-90,-200,-200,-200,-200,-200,-200
1526466315539,-33,-34,-36,-40,-54,-64,-44,-52,-47,-51,-51,-53,-44,-52,-67,-57,-54,-57,-50,-68,-64,-200,-65,-200,-67,-200,-69,-70,-78,-67,-70,-75,-72,-71,-200,-84,-86,-86,-200,-87,-84,-75,-69,-81,-89,-90,-70,-75,-76,-81,-200,-200
1526466318559,-33,-34,-36,-40,-54,-64,-44,-52,-47,-51,-51,-53,-44,-52,-67,-57,-54,-57,-50,-68,-200,-200,-200,-200,-67,-200,-200,-70,-78,-67,-70,-75,-72,-71,-200,-84,-86,-86,-200,-200,-84,-75,-69,-81,-89,-90,-70,-75,-76,-81,-200,-200
