,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:06,78:A5:04:41:E9:CC,78:A5:04:41:E9:AB,78:A5:04:41:EB:C3,78:A5:04:41:EB:9C,78:A5:04:41:E5:68,BC:6A:29:BE:31:17,78:A5:04:41:E9:98,78:A5:04:41:EE:17,78:A5:04:41:EB:A5,78:A5:04:41:EB:F1,78:A5:04:41:EB:AD,78:A5:04:41:E5:6B,78:A5:04:41:E5:4E,78:A5:04:41:EB:BA,78:A5:04:41:E7:D4,78:A5:04:41:E9:FD
1526451480659,-80,-68,-82,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451480771,-80,-200,-81,-200,-90,-66,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451480867,-79,-200,-80,-81,-89,-66,-200,-85,-68,-92,-90,-200,-200,-200,-200,-200,-200
1526451481023,-200,-72,-86,-200,-200,-77,-99,-81,-68,-84,-200,-200,-200,-200,-200,-200,-200
1526451485647,-65,-81,-86,-84,-200,-76,-96,-200,-75,-83,-200,-87,-200,-200,-200,-200,-200
1526451485779,-65,-200,-85,-83,-88,-76,-200,-200,-74,-200,-200,-87,-90,-200,-200,-200,-200
1526451485882,-65,-200,-86,-83,-200,-200,-200,-200,-74,-83,-200,-87,-200,-200,-200,-200,-200
1526451485981,-86,-81,-85,-200,-200,-76,-93,-86,-66,-82,-200,-200,-200,-200,-200,-200,-200
1526451490595,-87,-76,-77,-83,-200,-66,-94,-87,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526451490704,-200,-76,-200,-200,-200,-66,-200,-200,-200,-83,-200,-200,-200,-89,-200,-200,-200
1526451490834,-86,-76,-76,-200,-200,-66,-200,-88,-200,-83,-87,-83,-200,-90,-200,-200,-200
1526451490968,-200,-200,-200,-200,-200,-65,-200,-88,-200,-200,-200,-83,-200,-200,-200,-200,-200
1526451495607,-87,-68,-78,-200,-200,-200,-200,-88,-66,-200,-90,-200,-200,-200,-90,-200,-200
1526451495755,-87,-68,-200,-79,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526451495855,-200,-68,-77,-200,-200,-65,-200,-87,-66,-88,-90,-200,-200,-200,-89,-200,-200
1526451495964,-66,-68,-86,-83,-87,-76,-200,-82,-66,-84,-200,-200,-200,-200,-200,-200,-200
1526451500660,-66,-200,-87,-200,-200,-76,-200,-84,-74,-200,-200,-86,-200,-200,-200,-200,-200
1526451500768,-66,-200,-85,-84,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526451500876,-66,-200,-200,-200,-88,-76,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451500975,-66,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200
1526451506019,-85,-66,-200,-200,-200,-65,-200,-200,-65,-84,-200,-200,-200,-200,-200,-92,-200
1526451506136,-85,-200,-200,-78,-200,-65,-200,-200,-66,-200,-200,-200,-200,-200,-89,-200,-200
1526451506262,-200,-200,-80,-81,-200,-65,-200,-86,-67,-200,-200,-200,-200,-200,-200,-200,-200
1526451506366,-66,-72,-83,-83,-200,-200,-97,-200,-67,-200,-200,-84,-200,-200,-89,-200,-200
1526451510648,-66,-72,-84,-200,-88,-77,-200,-200,-200,-82,-200,-84,-200,-200,-200,-200,-200
1526451510760,-66,-71,-200,-200,-88,-200,-200,-200,-74,-84,-90,-84,-200,-200,-200,-200,-200
1526451510898,-200,-72,-200,-83,-200,-200,-96,-200,-200,-83,-90,-84,-91,-200,-200,-200,-200
1526451515572,-200,-200,-200,-200,-200,-200,-104,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93
1526451515672,-200,-200,-200,-200,-200,-72,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451515776,-200,-200,-76,-200,-200,-66,-95,-200,-66,-83,-200,-82,-200,-89,-200,-200,-200
1526451516079,-200,-200,-200,-78,-200,-200,-95,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526451520587,-200,-200,-79,-200,-200,-200,-100,-200,-67,-82,-200,-200,-200,-200,-200,-90,-200
1526451520756,-200,-200,-78,-200,-200,-65,-200,-86,-67,-200,-200,-200,-200,-200,-89,-200,-200
1526451520855,-200,-200,-79,-77,-200,-65,-100,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200
1526451520968,-200,-65,-84,-77,-200,-65,-200,-200,-200,-82,-200,-200,-200,-200,-89,-200,-200
1526451525698,-200,-200,-200,-84,-200,-76,-96,-200,-75,-82,-200,-200,-200,-200,-200,-200,-200
1526451525799,-66,-200,-200,-84,-88,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
