,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c0:d6:f5,0c:73:eb:d0:13:b0,0c:73:eb:d0:76:18,74:da:da:c1:3c:11,74:da:da:c1:3c:85,74:da:da:98:90:94,74:da:da:98:90:2c,0c:73:eb:d0:13:c8,74:da:da:98:66:cc,74:da:da:c0:d6:ed,74:da:da:c1:3c:45,0c:73:eb:d0:19:c0,0c:73:eb:d0:2a:50,74:da:da:98:74:74,74:da:da:c1:3c:12,74:da:da:98:74:80,74:da:da:c0:d7:11,74:da:da:98:90:2d,0c:73:eb:d0:19:90,0c:73:eb:d0:19:80,0c:73:eb:d0:11:c8,0c:73:eb:d0:19:c8,74:da:da:98:66:cd,74:da:da:c1:3c:55,74:da:da:c0:d7:01,74:da:da:98:90:95,74:da:da:98:74:34,0c:73:eb:d0:11:c0,0c:73:eb:d0:13:98,74:da:da:c1:3c:46,74:da:da:c1:3c:86,74:da:da:c1:3d:2d,74:da:da:c0:d6:ee,74:da:da:c1:02:91,c0:61:18:93:3e:54,74:da:da:c1:3c:56,0c:73:eb:d0:13:90,50:3a:a0:ea:01:66,0c:73:eb:d0:0e:c8,74:da:da:98:85:1c,74:da:da:98:ea:5c,74:da:da:c1:4a:69,74:da:da:98:ea:5d,0c:73:eb:d0:19:88,74:da:da:c1:03:2d,74:da:da:c0:d9:39,0c:73:eb:d0:76:10
1526460993957,-39,-40,-42,-43,-43,-44,-44,-50,-51,-53,-54,-57,-58,-58,-60,-60,-60,-63,-67,-67,-67,-68,-68,-68,-68,-69,-69,-71,-72,-73,-73,-74,-85,-86,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460996983,-39,-40,-42,-43,-43,-44,-44,-47,-51,-53,-48,-57,-58,-58,-55,-60,-60,-75,-67,-55,-67,-68,-70,-68,-68,-77,-67,-71,-200,-75,-70,-74,-85,-86,-88,-91,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461000004,-39,-40,-49,-43,-43,-44,-44,-47,-51,-53,-48,-57,-58,-58,-55,-60,-60,-75,-67,-55,-67,-68,-70,-68,-68,-77,-67,-200,-200,-75,-70,-74,-85,-200,-88,-91,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461003022,-39,-41,-44,-33,-44,-45,-48,-47,-51,-61,-49,-62,-63,-58,-56,-55,-65,-71,-64,-58,-71,-68,-71,-70,-68,-81,-76,-76,-200,-76,-66,-74,-85,-200,-88,-91,-80,-61,-80,-81,-200,-200,-200,-200,-200,-200,-200
1526461006031,-39,-41,-43,-33,-44,-45,-48,-47,-51,-61,-49,-62,-63,-58,-56,-55,-65,-71,-64,-58,-71,-68,-71,-70,-200,-81,-76,-76,-200,-76,-66,-200,-85,-200,-88,-91,-80,-61,-80,-81,-200,-200,-200,-200,-200,-200,-200
1526461009053,-39,-53,-41,-32,-44,-44,-46,-50,-53,-61,-48,-62,-63,-78,-55,-57,-65,-71,-63,-60,-71,-68,-73,-70,-200,-81,-75,-76,-200,-79,-63,-81,-85,-200,-88,-91,-77,-61,-80,-81,-75,-200,-200,-200,-200,-200,-200
1526461012067,-200,-53,-41,-32,-44,-44,-46,-50,-53,-61,-48,-62,-63,-78,-55,-57,-65,-71,-63,-60,-71,-68,-73,-70,-200,-81,-75,-76,-200,-79,-63,-81,-85,-200,-200,-91,-77,-61,-80,-81,-75,-200,-200,-200,-200,-200,-200
1526461015088,-200,-45,-40,-35,-38,-49,-49,-48,-49,-61,-52,-61,-63,-78,-63,-61,-71,-70,-67,-58,-71,-68,-75,-70,-200,-79,-72,-76,-200,-74,-65,-81,-85,-200,-200,-91,-77,-61,-80,-81,-75,-200,-200,-200,-200,-200,-200
1526461018107,-200,-45,-41,-35,-38,-49,-49,-48,-49,-61,-52,-61,-63,-78,-63,-61,-71,-70,-67,-58,-71,-68,-75,-70,-200,-79,-72,-76,-200,-74,-65,-81,-200,-200,-200,-91,-77,-61,-80,-81,-75,-200,-200,-200,-200,-200,-200
