,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018
,0c:73:eb:d0:76:18,74:da:da:c1:3c:85,74:da:da:c1:3c:11,74:da:da:98:66:cc,0c:73:eb:d0:19:90,74:da:da:c1:3c:45,0c:73:eb:d0:13:b0,74:da:da:c1:3c:55,0c:73:eb:d0:13:c8,74:da:da:c1:3c:86,74:da:da:98:90:94,74:da:da:c1:3c:12,0c:73:eb:d0:2a:50,74:da:da:c0:d7:01,74:da:da:98:ea:5c,0c:73:eb:d0:19:c8,74:da:da:98:ea:64,74:da:da:c1:3c:4d,0c:73:eb:d0:19:80,74:da:da:98:74:80,0c:73:eb:d0:76:10,0c:73:eb:d0:13:b8,74:da:da:98:ea:50,0c:73:eb:d0:19:c0,50:3a:a0:ea:01:66,74:da:da:c1:3c:56,0c:73:eb:d0:11:c0,74:da:da:c0:d9:39,74:da:da:c1:3c:46,74:da:da:98:90:95,74:da:da:98:66:cd,74:da:da:98:90:2d,74:da:da:98:ea:5d,c0:61:18:93:35:28,74:da:da:c0:d8:3e,74:da:da:c0:d6:f5,74:da:da:98:85:1c,74:da:da:98:90:2c,0c:73:eb:d0:19:88,0c:73:eb:d0:19:a0,74:da:da:98:85:4c,74:da:da:c0:d7:c5,74:da:da:c1:3b:19,74:da:da:c0:d8:3d,74:da:da:c0:d7:c6,74:da:da:98:74:34,74:da:da:c0:d7:11,0c:73:eb:d0:76:28,74:da:da:c0:f3:59,0c:73:eb:d0:13:90,74:da:da:c0:d6:ed,74:da:da:98:ea:54,c0:61:18:93:3e:54,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7f:08
1526461497604,-26,-31,-36,-47,-49,-49,-50,-52,-58,-58,-59,-60,-62,-62,-63,-64,-64,-64,-65,-66,-67,-68,-69,-74,-74,-76,-76,-77,-78,-78,-81,-84,-86,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461500627,-32,-40,-13,-47,-46,-52,-54,-45,-56,-63,-59,-59,-57,-62,-57,-74,-64,-64,-65,-66,-67,-68,-69,-74,-71,-80,-76,-77,-79,-79,-82,-84,-89,-87,-84,-55,-63,-67,-74,-74,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461503648,-34,-40,-13,-47,-46,-52,-54,-45,-56,-63,-59,-59,-57,-62,-57,-74,-64,-64,-65,-66,-67,-200,-69,-74,-71,-80,-200,-77,-79,-79,-82,-84,-89,-200,-84,-55,-63,-67,-74,-74,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461506662,-35,-37,-32,-59,-46,-56,-55,-45,-61,-63,-57,-57,-56,-65,-57,-74,-64,-68,-72,-66,-68,-200,-69,-77,-71,-82,-69,-78,-79,-79,-82,-86,-85,-200,-84,-54,-64,-67,-74,-65,-77,-70,-75,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461509690,-33,-37,-32,-59,-46,-56,-55,-45,-61,-63,-57,-57,-56,-65,-57,-74,-64,-68,-72,-66,-68,-200,-69,-77,-71,-82,-69,-78,-79,-79,-82,-86,-85,-200,-84,-54,-64,-67,-74,-65,-77,-70,-75,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461512722,-36,-34,-38,-59,-47,-55,-52,-55,-56,-61,-56,-57,-56,-64,-59,-72,-64,-68,-76,-66,-68,-200,-69,-77,-71,-85,-69,-78,-79,-80,-81,-88,-85,-200,-88,-54,-64,-67,-74,-67,-77,-70,-75,-81,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461515731,-35,-34,-38,-59,-47,-55,-52,-55,-56,-61,-56,-57,-56,-64,-59,-72,-64,-68,-76,-66,-68,-200,-69,-77,-71,-85,-69,-78,-79,-80,-81,-88,-85,-200,-88,-54,-64,-67,-74,-67,-77,-70,-75,-81,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461518762,-36,-33,-38,-59,-51,-51,-57,-59,-58,-61,-56,-54,-58,-64,-60,-72,-68,-68,-76,-63,-66,-80,-200,-81,-71,-81,-73,-78,-80,-80,-79,-88,-81,-200,-88,-54,-64,-64,-74,-66,-77,-70,-75,-81,-86,-85,-79,-81,-81,-200,-200,-200,-200,-200,-200
1526461521793,-39,-33,-38,-59,-51,-51,-57,-59,-58,-61,-56,-54,-58,-64,-60,-72,-68,-68,-76,-63,-66,-80,-200,-81,-71,-81,-73,-78,-80,-80,-79,-88,-81,-200,-88,-54,-64,-64,-74,-66,-77,-70,-75,-81,-86,-85,-79,-81,-81,-200,-200,-200,-200,-200,-200
1526461524824,-38,-33,-42,-62,-47,-57,-55,-50,-62,-61,-52,-56,-62,-64,-57,-72,-68,-68,-76,-63,-66,-80,-200,-81,-71,-79,-67,-78,-80,-78,-79,-84,-80,-200,-88,-54,-68,-64,-74,-62,-77,-70,-75,-77,-86,-85,-79,-81,-81,-200,-200,-200,-200,-200,-200
1526461527851,-36,-33,-42,-62,-47,-57,-55,-50,-62,-61,-52,-56,-62,-64,-57,-72,-68,-68,-76,-63,-66,-80,-200,-81,-71,-79,-67,-78,-80,-78,-79,-84,-80,-200,-88,-54,-68,-64,-74,-62,-77,-70,-75,-77,-86,-85,-79,-81,-81,-200,-200,-200,-200,-200,-200
1526461530886,-37,-33,-43,-62,-47,-57,-56,-50,-63,-61,-52,-57,-62,-63,-57,-69,-67,-68,-76,-63,-66,-80,-200,-81,-200,-81,-63,-78,-80,-78,-79,-83,-80,-200,-88,-54,-68,-64,-200,-62,-77,-70,-75,-77,-86,-85,-79,-81,-81,-81,-87,-200,-200,-200,-200
1526461533911,-40,-33,-43,-62,-47,-57,-56,-50,-63,-61,-52,-57,-62,-63,-57,-69,-67,-68,-76,-63,-66,-80,-200,-81,-200,-81,-63,-78,-80,-78,-79,-83,-80,-200,-88,-54,-68,-64,-200,-62,-77,-70,-75,-77,-86,-85,-79,-81,-81,-81,-87,-200,-200,-200,-200
1526461536937,-37,-33,-43,-65,-47,-58,-56,-47,-63,-61,-53,-57,-62,-63,-56,-69,-67,-68,-76,-65,-70,-80,-200,-81,-200,-81,-63,-200,-81,-78,-79,-83,-80,-200,-88,-54,-68,-64,-70,-61,-200,-200,-200,-77,-86,-85,-79,-81,-81,-81,-87,-72,-75,-200,-200
1526461539964,-35,-33,-43,-65,-47,-58,-56,-47,-63,-61,-53,-57,-62,-63,-56,-69,-67,-68,-76,-65,-70,-80,-200,-81,-200,-81,-63,-200,-81,-78,-79,-83,-80,-200,-88,-54,-68,-64,-70,-61,-200,-200,-200,-77,-86,-85,-79,-81,-81,-81,-87,-72,-75,-200,-200
1526461542991,-34,-33,-43,-64,-47,-58,-56,-47,-63,-61,-53,-57,-62,-63,-56,-69,-67,-68,-200,-65,-70,-80,-200,-81,-200,-82,-66,-200,-81,-78,-79,-83,-79,-200,-88,-54,-68,-64,-70,-61,-81,-200,-200,-76,-86,-200,-79,-81,-81,-81,-87,-72,-75,-200,-200
1526461546003,-36,-33,-43,-64,-47,-58,-56,-47,-63,-61,-53,-57,-62,-63,-56,-69,-67,-68,-200,-65,-70,-80,-200,-81,-200,-82,-66,-200,-81,-78,-79,-83,-79,-200,-88,-54,-68,-64,-70,-61,-81,-200,-200,-76,-86,-200,-79,-81,-81,-81,-87,-72,-75,-200,-200
1526461549024,-38,-33,-43,-64,-51,-57,-56,-52,-58,-61,-53,-58,-61,-63,-56,-69,-67,-68,-77,-65,-67,-200,-200,-200,-68,-82,-66,-200,-80,-79,-79,-83,-79,-200,-86,-54,-68,-65,-72,-62,-81,-200,-73,-76,-200,-200,-200,-200,-200,-81,-87,-72,-74,-78,-90
1526461552048,-37,-33,-43,-64,-51,-57,-56,-52,-58,-61,-53,-58,-61,-63,-56,-69,-67,-68,-77,-65,-67,-200,-200,-200,-68,-82,-66,-200,-80,-79,-79,-83,-79,-200,-86,-54,-68,-65,-72,-62,-81,-200,-73,-76,-200,-200,-200,-200,-200,-81,-87,-72,-74,-78,-90
1526461555059,-25,-13,-26,-64,-58,-49,-62,-55,-62,-59,-53,-64,-56,-63,-56,-67,-67,-68,-77,-65,-68,-200,-200,-200,-68,-82,-66,-200,-79,-75,-82,-82,-75,-200,-86,-54,-200,-65,-72,-68,-81,-200,-71,-76,-200,-200,-200,-200,-200,-81,-87,-72,-74,-78,-90
1526461558084,-28,-13,-26,-64,-58,-49,-62,-55,-62,-59,-53,-64,-56,-63,-56,-67,-67,-68,-77,-65,-68,-200,-200,-200,-68,-82,-66,-200,-79,-75,-82,-82,-75,-200,-86,-54,-200,-65,-72,-68,-81,-200,-71,-76,-200,-200,-200,-200,-200,-81,-87,-72,-74,-78,-90
