,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
,0c:73:eb:d0:76:18,74:da:da:c1:3c:11,74:da:da:c1:3c:85,74:da:da:c1:3c:45,0c:73:eb:d0:13:b0,0c:73:eb:d0:13:c8,0c:73:eb:d0:19:90,74:da:da:98:90:94,74:da:da:98:74:80,74:da:da:c1:3c:12,74:da:da:98:90:2c,74:da:da:98:66:cc,74:da:da:c1:3c:55,0c:73:eb:d0:19:80,0c:73:eb:d0:19:c8,74:da:da:c1:3c:46,74:da:da:98:ea:5c,0c:73:eb:d0:19:c0,74:da:da:c1:3c:86,0c:73:eb:d0:2a:50,0c:73:eb:d0:11:c0,74:da:da:c0:d6:ed,0c:73:eb:d0:13:90,74:da:da:c1:3d:2d,74:da:da:98:66:cd,74:da:da:98:74:74,74:da:da:98:90:2d,74:da:da:c1:3c:56,74:da:da:c0:d9:39,74:da:da:98:90:95,74:da:da:98:74:34,74:da:da:98:ea:5d,0c:73:eb:d0:19:a0,74:da:da:c0:d7:11,74:da:da:98:85:4c,0c:73:eb:d0:76:10,0c:73:eb:d0:76:30,0c:73:eb:d0:13:b8,0c:73:eb:d0:13:98,74:da:da:c1:3c:4d,74:da:da:98:ea:64,74:da:da:c0:f6:15,74:da:da:c0:f3:59,74:da:da:98:ea:54,74:da:da:98:85:1c,74:da:da:c1:3b:19,0c:73:eb:d0:7e:d0,74:da:da:c0:d6:f5,74:da:da:c0:d8:3d,74:da:da:c1:3c:4e
1526461343003,-25,-35,-37,-39,-44,-45,-52,-53,-53,-55,-57,-58,-60,-61,-62,-63,-63,-64,-64,-64,-67,-68,-68,-68,-72,-75,-78,-78,-78,-81,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461346012,-28,-29,-38,-47,-43,-49,-48,-53,-58,-58,-49,-42,-64,-61,-68,-61,-63,-68,-54,-59,-67,-68,-67,-68,-65,-200,-82,-70,-70,-81,-83,-80,-57,-75,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461349027,-28,-29,-38,-47,-43,-49,-48,-53,-58,-58,-49,-42,-64,-61,-68,-61,-63,-68,-54,-59,-67,-68,-67,-68,-65,-200,-82,-70,-70,-81,-83,-80,-57,-75,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461352046,-24,-33,-30,-54,-44,-58,-48,-53,-55,-58,-49,-37,-66,-63,-68,-71,-59,-68,-62,-65,-67,-68,-67,-68,-63,-200,-83,-76,-69,-82,-83,-83,-57,-75,-76,-73,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461355060,-24,-33,-30,-54,-44,-58,-48,-53,-55,-58,-49,-37,-66,-63,-68,-71,-59,-68,-62,-65,-67,-68,-67,-68,-63,-200,-83,-76,-69,-82,-83,-83,-57,-75,-76,-73,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461358075,-24,-27,-31,-43,-43,-52,-47,-53,-53,-58,-49,-37,-52,-58,-73,-72,-59,-67,-60,-65,-67,-68,-71,-68,-67,-200,-82,-81,-69,-80,-83,-85,-57,-75,-76,-69,-76,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461361097,-24,-27,-31,-43,-43,-52,-47,-53,-53,-58,-49,-37,-52,-58,-73,-72,-59,-67,-60,-65,-200,-68,-71,-200,-67,-200,-82,-81,-69,-80,-200,-85,-57,-75,-76,-69,-76,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461364118,-26,-29,-31,-40,-43,-52,-43,-53,-53,-62,-49,-37,-50,-57,-73,-72,-59,-67,-57,-65,-200,-68,-71,-200,-59,-200,-75,-76,-62,-80,-200,-86,-57,-75,-75,-69,-76,-77,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461367138,-26,-29,-31,-40,-43,-52,-43,-200,-53,-62,-49,-37,-50,-57,-73,-72,-59,-67,-57,-65,-200,-200,-71,-200,-59,-200,-75,-76,-62,-80,-200,-86,-57,-75,-75,-69,-76,-77,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461370154,-22,-26,-35,-48,-41,-54,-46,-63,-57,-63,-49,-40,-48,-57,-73,-67,-63,-69,-59,-65,-200,-200,-71,-200,-59,-200,-77,-76,-58,-79,-200,-86,-60,-75,-79,-69,-76,-77,-72,-66,-74,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526461373178,-22,-26,-35,-48,-41,-54,-46,-63,-57,-63,-49,-40,-48,-57,-73,-67,-63,-69,-59,-65,-200,-200,-71,-200,-59,-200,-77,-76,-58,-79,-200,-86,-60,-75,-79,-69,-76,-77,-72,-66,-74,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526461376208,-28,-35,-38,-45,-46,-50,-46,-63,-57,-58,-200,-41,-63,-57,-70,-71,-63,-69,-57,-65,-200,-200,-72,-200,-60,-200,-74,-88,-67,-78,-200,-88,-60,-200,-79,-69,-76,-77,-72,-66,-72,-90,-85,-200,-200,-200,-200,-200,-200,-200
1526461379225,-28,-35,-38,-45,-46,-50,-46,-63,-57,-58,-200,-41,-63,-57,-70,-71,-63,-69,-57,-65,-200,-200,-72,-200,-60,-200,-74,-88,-67,-78,-200,-88,-60,-200,-79,-69,-76,-77,-72,-66,-72,-90,-85,-200,-200,-200,-200,-200,-200,-200
1526461382255,-25,-34,-30,-45,-46,-46,-45,-51,-58,-58,-200,-39,-57,-59,-66,-67,-65,-69,-56,-65,-200,-72,-72,-200,-59,-200,-75,-74,-68,-75,-80,-81,-60,-79,-79,-69,-200,-77,-72,-66,-72,-90,-85,-66,-68,-77,-200,-200,-200,-200
1526461385279,-25,-34,-30,-45,-46,-46,-45,-51,-58,-58,-200,-39,-57,-59,-66,-67,-65,-69,-56,-65,-200,-72,-72,-200,-59,-200,-75,-74,-68,-75,-80,-81,-60,-79,-79,-69,-200,-77,-72,-66,-72,-90,-85,-66,-68,-77,-200,-200,-200,-200
1526461388294,-27,-31,-30,-37,-49,-50,-45,-51,-57,-58,-57,-39,-56,-61,-69,-67,-65,-69,-53,-60,-200,-69,-72,-200,-63,-200,-76,-72,-68,-74,-84,-81,-60,-79,-79,-69,-200,-200,-72,-66,-72,-87,-85,-66,-68,-79,-83,-200,-200,-200
1526461391322,-27,-31,-30,-37,-49,-50,-45,-51,-57,-58,-57,-39,-56,-61,-69,-67,-65,-69,-53,-60,-200,-69,-72,-200,-63,-200,-76,-72,-68,-74,-84,-81,-60,-79,-79,-69,-200,-200,-200,-66,-72,-87,-85,-66,-68,-79,-83,-200,-200,-200
1526461394348,-27,-27,-30,-37,-45,-48,-45,-52,-55,-59,-57,-39,-56,-61,-69,-71,-65,-69,-53,-60,-200,-69,-72,-200,-64,-200,-77,-71,-68,-72,-84,-81,-70,-79,-79,-69,-200,-200,-200,-66,-72,-87,-85,-66,-68,-79,-84,-51,-200,-200
1526461397368,-27,-27,-30,-37,-45,-48,-45,-52,-55,-59,-57,-39,-56,-61,-69,-71,-65,-69,-53,-60,-200,-69,-72,-200,-64,-200,-77,-71,-68,-72,-84,-81,-70,-79,-79,-69,-200,-200,-200,-66,-72,-87,-85,-66,-68,-79,-84,-51,-200,-200
1526461400388,-26,-29,-30,-39,-47,-48,-45,-52,-56,-59,-47,-38,-59,-62,-71,-70,-65,-68,-52,-60,-200,-69,-75,-200,-64,-200,-77,-71,-68,-71,-84,-81,-70,-79,-200,-67,-200,-200,-200,-200,-72,-87,-85,-66,-68,-79,-84,-51,-70,-92
1526461403415,-26,-29,-30,-39,-47,-48,-45,-52,-56,-59,-47,-38,-59,-62,-71,-70,-65,-68,-52,-60,-200,-69,-75,-200,-64,-200,-77,-71,-68,-71,-84,-81,-70,-79,-200,-67,-200,-200,-200,-200,-72,-87,-85,-66,-68,-79,-84,-51,-70,-92
