,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3c:11,74:da:da:c1:3c:85,74:da:da:c0:d6:f5,0c:73:eb:d0:76:18,74:da:da:98:66:cc,0c:73:eb:d0:13:b0,0c:73:eb:d0:13:c8,74:da:da:98:90:2c,74:da:da:98:74:80,74:da:da:c1:3c:45,74:da:da:c1:3c:12,74:da:da:c1:3c:86,0c:73:eb:d0:19:c8,0c:73:eb:d0:19:80,0c:73:eb:d0:19:90,74:da:da:98:90:94,50:3a:a0:ea:01:66,74:da:da:c0:d7:11,74:da:da:98:ea:5c,0c:73:eb:d0:19:c0,0c:73:eb:d0:13:90,0c:73:eb:d0:13:98,74:da:da:98:74:74,74:da:da:c1:3c:46,0c:73:eb:d0:2a:50,74:da:da:c0:d6:ed,74:da:da:c1:3d:2d,74:da:da:98:66:cd,74:da:da:c1:3c:55,74:da:da:98:90:95,74:da:da:98:90:2d,74:da:da:98:74:34,0c:73:eb:d0:0e:c8,0c:73:eb:d0:11:c8,74:da:da:98:ea:5d,74:da:da:c1:3c:56,74:da:da:c1:3c:4d,74:da:da:98:8f:30,74:da:da:c1:03:2d,74:da:da:c0:d9:39,0c:73:eb:d0:76:10,74:da:da:98:ea:54,74:da:da:c1:3b:69,74:da:da:c0:d8:3d,74:da:da:c1:3b:19,74:da:da:c1:3b:cd,74:da:da:c0:f3:59
1526461151055,-30,-39,-42,-43,-46,-47,-48,-48,-50,-51,-54,-60,-61,-61,-63,-63,-63,-64,-65,-66,-67,-69,-69,-70,-70,-72,-73,-75,-77,-78,-80,-80,-80,-81,-82,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461153962,-33,-41,-42,-36,-56,-48,-51,-51,-53,-57,-58,-60,-60,-58,-57,-63,-66,-65,-65,-66,-68,-67,-69,-65,-66,-63,-73,-76,-70,-78,-85,-80,-80,-81,-80,-83,-71,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526461154064,-33,-41,-42,-38,-56,-48,-51,-51,-53,-57,-58,-60,-60,-58,-57,-63,-66,-65,-65,-66,-68,-67,-69,-65,-66,-63,-73,-76,-70,-78,-85,-80,-80,-81,-80,-83,-71,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526461156969,-33,-41,-42,-38,-56,-48,-51,-51,-53,-57,-58,-60,-60,-58,-57,-63,-66,-65,-200,-66,-68,-67,-69,-65,-66,-63,-73,-76,-70,-78,-85,-80,-80,-81,-80,-83,-71,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526461157084,-33,-41,-42,-38,-56,-48,-51,-51,-53,-57,-58,-60,-60,-58,-57,-63,-66,-65,-200,-66,-68,-67,-69,-65,-66,-63,-73,-76,-70,-78,-85,-80,-80,-81,-80,-83,-71,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526461159992,-31,-44,-42,-35,-54,-48,-52,-51,-53,-57,-53,-60,-58,-58,-57,-63,-66,-67,-200,-69,-72,-71,-69,-64,-66,-64,-73,-74,-70,-77,-81,-80,-80,-73,-80,-82,-71,-82,-87,-74,-79,-200,-200,-200,-200,-200,-200
1526461160112,-31,-44,-42,-29,-54,-48,-52,-51,-53,-57,-53,-60,-58,-58,-57,-63,-66,-67,-200,-69,-72,-71,-200,-64,-66,-64,-73,-74,-70,-77,-81,-200,-200,-73,-80,-82,-71,-82,-87,-74,-79,-200,-200,-200,-200,-200,-200
1526461163000,-31,-44,-42,-29,-54,-48,-52,-51,-53,-57,-53,-60,-58,-58,-57,-63,-66,-67,-200,-69,-72,-71,-200,-64,-66,-64,-73,-74,-70,-77,-81,-200,-200,-73,-80,-82,-71,-82,-87,-74,-79,-200,-200,-200,-200,-200,-200
1526461163121,-31,-44,-42,-29,-54,-48,-52,-51,-53,-57,-53,-60,-58,-58,-57,-63,-66,-67,-200,-69,-72,-71,-200,-64,-66,-64,-73,-74,-70,-77,-81,-200,-200,-73,-80,-82,-71,-82,-87,-74,-79,-200,-200,-200,-200,-200,-200
