,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,0c:73:eb:d0:7c:30,74:da:da:c1:4b:01,74:da:da:c1:3c:f9,74:da:da:98:74:94,74:da:da:c1:3c:dd,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:48,74:da:da:c1:3c:99,74:da:da:c1:4a:f5,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:18,74:da:da:c1:4b:05,74:da:da:c1:3c:f5,bc:d1:77:5f:6a:b4,74:da:da:98:8d:78,74:da:da:98:7a:60,0c:73:eb:d0:13:c0,0c:73:eb:d0:7c:10,0c:73:eb:d0:7c:00,74:da:da:c1:4b:59,0c:73:eb:d0:11:e8,74:da:da:98:7a:50,74:da:da:c0:e0:81,74:da:da:98:7a:68,74:da:da:c1:3a:81,0c:73:eb:d0:7f:18,0c:73:eb:d0:13:d0,74:da:da:c0:e0:71,74:da:da:c1:3c:d1,74:da:da:c1:3c:e1,0c:73:eb:d0:7c:08,74:da:da:c0:e0:69,0c:73:eb:d0:7e:f0,0c:73:eb:d0:11:f8,74:da:da:c0:e2:d9,74:da:da:c0:f3:01,74:da:da:98:ea:4c,74:da:da:c0:d7:19,0c:73:eb:d0:19:a8,0c:73:eb:d0:11:b0
1526455527617,-25,-38,-40,-56,-56,-57,-57,-57,-60,-63,-64,-66,-66,-67,-68,-69,-70,-72,-73,-73,-74,-75,-76,-78,-78,-82,-84,-84,-85,-85,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526455530625,-24,-53,-40,-57,-55,-62,-66,-66,-57,-63,-66,-66,-61,-70,-68,-82,-70,-68,-73,-73,-74,-75,-76,-78,-78,-200,-200,-84,-200,-85,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
1526455533655,-24,-53,-40,-57,-55,-62,-66,-66,-57,-63,-66,-66,-61,-70,-68,-82,-70,-68,-73,-73,-74,-75,-76,-78,-78,-200,-200,-84,-200,-85,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
1526455536687,-24,-53,-40,-57,-55,-62,-66,-66,-57,-63,-66,-66,-61,-70,-68,-82,-70,-68,-73,-73,-74,-75,-76,-78,-78,-200,-200,-84,-200,-85,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
1526455539725,-31,-56,-41,-56,-51,-62,-64,-66,-58,-200,-65,-60,-56,-73,-68,-81,-69,-72,-74,-74,-73,-200,-200,-77,-78,-200,-200,-83,-200,-200,-89,-200,-77,-82,-200,-200,-200,-200,-200,-200
1526455542766,-26,-55,-39,-56,-56,-63,-63,-70,-58,-75,-65,-60,-60,-75,-68,-81,-68,-68,-72,-74,-73,-200,-78,-77,-78,-200,-200,-82,-200,-200,-89,-200,-77,-78,-87,-200,-200,-200,-200,-200
1526455545796,-26,-55,-39,-56,-56,-63,-63,-70,-58,-75,-65,-60,-60,-75,-68,-81,-68,-68,-72,-74,-73,-200,-78,-77,-78,-200,-200,-82,-200,-200,-89,-200,-77,-78,-87,-200,-200,-200,-200,-200
1526455548835,-26,-55,-39,-56,-56,-63,-63,-70,-58,-75,-65,-60,-60,-75,-68,-81,-68,-68,-72,-74,-73,-200,-78,-77,-78,-200,-200,-82,-200,-200,-89,-200,-77,-78,-87,-200,-200,-200,-200,-200
1526455551874,-31,-54,-41,-56,-56,-62,-69,-70,-57,-73,-67,-59,-59,-77,-68,-200,-70,-68,-74,-72,-75,-200,-78,-80,-77,-200,-200,-82,-200,-200,-90,-200,-200,-80,-88,-84,-200,-200,-200,-200
1526455554915,-31,-54,-41,-56,-56,-62,-69,-70,-57,-73,-67,-59,-59,-77,-68,-200,-70,-68,-74,-72,-75,-200,-78,-80,-77,-200,-200,-82,-200,-200,-90,-200,-200,-80,-88,-84,-200,-200,-200,-200
1526455557949,-31,-54,-41,-56,-56,-62,-69,-70,-57,-73,-67,-59,-59,-77,-68,-200,-70,-68,-74,-72,-75,-200,-78,-80,-77,-200,-200,-82,-200,-200,-90,-200,-200,-80,-88,-84,-200,-200,-200,-200
1526455560986,-31,-54,-41,-56,-56,-62,-69,-70,-57,-73,-67,-59,-59,-77,-68,-200,-70,-68,-74,-72,-75,-200,-78,-80,-77,-200,-200,-82,-200,-200,-90,-200,-200,-80,-88,-84,-200,-200,-200,-200
1526455564023,-32,-57,-39,-56,-56,-65,-64,-70,-55,-77,-66,-61,-59,-74,-67,-82,-73,-70,-200,-72,-74,-200,-76,-76,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-85,-92,-200,-200,-200
1526455567066,-26,-55,-40,-56,-56,-63,-65,-70,-58,-76,-67,-60,-59,-74,-67,-82,-73,-74,-200,-72,-74,-200,-76,-77,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-85,-92,-90,-93,-200
1526455570105,-26,-55,-40,-56,-56,-63,-65,-70,-58,-76,-67,-60,-59,-74,-67,-82,-73,-74,-200,-72,-74,-200,-76,-77,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-85,-92,-90,-93,-200
1526455573146,-26,-55,-40,-56,-56,-63,-65,-70,-58,-76,-67,-60,-59,-74,-67,-82,-73,-74,-200,-72,-74,-200,-76,-77,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-85,-92,-90,-93,-200
1526455576192,-26,-55,-40,-56,-57,-63,-67,-69,-57,-77,-63,-59,-58,-74,-200,-79,-72,-70,-70,-73,-74,-92,-200,-77,-200,-81,-89,-82,-200,-200,-200,-200,-200,-79,-200,-84,-200,-90,-93,-200
1526455579225,-25,-55,-40,-57,-56,-62,-68,-69,-61,-77,-63,-59,-58,-74,-68,-79,-68,-70,-70,-73,-74,-92,-200,-77,-200,-81,-89,-82,-200,-200,-200,-200,-200,-79,-200,-84,-200,-90,-93,-200
1526455582258,-25,-55,-40,-57,-56,-62,-68,-69,-61,-77,-63,-59,-58,-74,-68,-79,-68,-70,-70,-73,-74,-92,-200,-77,-200,-81,-89,-82,-200,-200,-200,-200,-200,-79,-200,-84,-200,-90,-93,-200
1526455585291,-25,-55,-40,-57,-56,-62,-68,-69,-61,-77,-63,-59,-58,-74,-68,-79,-68,-70,-70,-73,-74,-92,-200,-77,-200,-81,-89,-82,-200,-200,-200,-200,-200,-79,-200,-84,-200,-90,-93,-200
1526455588331,-31,-58,-40,-57,-56,-61,-65,-67,-59,-200,-66,-61,-61,-77,-68,-200,-72,-69,-71,-69,-72,-200,-80,-75,-78,-200,-200,-82,-200,-200,-200,-200,-200,-200,-87,-84,-200,-200,-200,-88
