,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,NETWORK,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:7c:30,74:da:da:c1:4b:01,74:da:da:c1:3c:f9,74:da:da:98:74:94,0c:73:eb:d0:7c:48,0c:73:eb:d0:11:f0,74:da:da:c1:4a:ed,74:da:da:c1:4b:05,74:da:da:c1:3c:99,74:da:da:c1:3c:f5,74:da:da:98:8d:78,74:da:da:c1:4a:f5,74:da:da:c1:3c:dd,0c:73:eb:d0:13:c0,0c:73:eb:d0:7c:18,74:da:da:c0:e0:81,0c:73:eb:d0:11:e8,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7c:00,74:da:da:98:7a:68,0c:73:eb:d0:7e:f0,74:da:da:98:7a:50,0c:73:eb:d0:7c:10,74:da:da:c0:e0:71,74:da:da:98:7a:60,74:da:da:c0:f3:01,74:da:da:c1:4b:59,0c:73:eb:d0:13:d0,0c:73:eb:d0:7f:18,74:da:da:98:7a:4c,0c:73:eb:d0:11:d0,74:da:da:c1:3c:d1,74:da:da:c1:3a:81,74:da:da:c0:e0:69,0c:73:eb:d0:2a:48,74:da:da:c1:3b:9d,74:da:da:98:ea:4c,0c:73:eb:d0:76:40,0c:73:eb:d0:11:b8,0c:73:eb:d0:11:b0,74:da:da:c0:e2:d9,0c:73:eb:d0:7a:68,74:da:da:c0:d7:b9,0c:73:eb:d0:19:a8
1526456082295,-34,-44,-45,-49,-54,-58,-59,-62,-62,-64,-64,-65,-69,-70,-71,-71,-74,-75,-75,-77,-78,-78,-78,-78,-80,-82,-83,-83,-85,-88,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456085324,-35,-47,-40,-60,-62,-52,-59,-69,-62,-64,-64,-75,-200,-200,-71,-71,-74,-74,-75,-73,-200,-84,-73,-78,-80,-200,-81,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456088352,-35,-47,-40,-60,-62,-52,-59,-69,-62,-64,-64,-75,-200,-200,-71,-71,-74,-74,-75,-73,-200,-84,-73,-78,-80,-200,-81,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456091382,-35,-47,-40,-60,-62,-52,-59,-69,-62,-64,-64,-75,-200,-200,-71,-71,-74,-74,-75,-73,-200,-84,-73,-78,-80,-200,-81,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456094417,-40,-48,-38,-66,-62,-50,-62,-71,-70,-64,-200,-73,-61,-200,-70,-70,-79,-74,-74,-72,-77,-85,-73,-83,-79,-200,-84,-200,-82,-200,-200,-200,-78,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456097451,-39,-48,-38,-66,-63,-50,-62,-71,-70,-64,-200,-73,-61,-200,-70,-70,-79,-74,-74,-72,-77,-85,-73,-83,-79,-200,-84,-200,-82,-200,-200,-200,-78,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456100486,-39,-48,-38,-66,-63,-50,-62,-71,-70,-64,-200,-73,-61,-200,-70,-70,-79,-74,-74,-72,-77,-85,-73,-83,-79,-200,-84,-200,-82,-200,-200,-200,-78,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456103523,-39,-48,-38,-66,-63,-50,-62,-71,-70,-64,-200,-73,-61,-200,-70,-70,-79,-74,-74,-72,-77,-85,-73,-83,-79,-200,-84,-200,-82,-200,-200,-200,-78,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456106567,-41,-48,-37,-66,-63,-51,-62,-71,-200,-64,-200,-74,-61,-77,-69,-69,-75,-75,-70,-72,-77,-86,-72,-83,-81,-200,-79,-80,-200,-89,-200,-200,-80,-89,-90,-81,-85,-89,-200,-200,-200,-200,-200,-200
1526456109613,-39,-49,-37,-68,-65,-50,-62,-69,-65,-64,-200,-72,-60,-81,-69,-69,-78,-74,-70,-72,-77,-86,-73,-83,-81,-200,-80,-80,-200,-89,-200,-200,-80,-86,-90,-81,-85,-89,-82,-200,-200,-200,-200,-200
1526456112654,-39,-49,-37,-68,-65,-50,-62,-69,-65,-64,-200,-72,-60,-81,-69,-69,-78,-74,-70,-72,-77,-86,-73,-83,-81,-200,-80,-80,-200,-89,-200,-200,-80,-86,-90,-81,-85,-89,-82,-200,-200,-200,-200,-200
1526456115693,-39,-49,-37,-68,-65,-50,-62,-69,-65,-64,-200,-72,-60,-81,-69,-69,-78,-74,-70,-72,-77,-86,-73,-83,-81,-200,-80,-80,-200,-89,-200,-200,-80,-86,-90,-81,-85,-89,-82,-200,-200,-200,-200,-200
