,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:90:2c,74:da:da:98:66:cc,0c:73:eb:d0:13:b0,74:da:da:98:90:2d,74:da:da:c0:d6:ed,0c:73:eb:d0:13:98,74:da:da:98:74:74,0c:73:eb:d0:76:18,0c:73:eb:d0:13:c8,74:da:da:98:66:cd,0c:73:eb:d0:19:80,74:da:da:98:90:94,74:da:da:c1:3c:11,74:da:da:c0:d9:39,0c:73:eb:d0:19:c0,74:da:da:c1:3c:45,0c:73:eb:d0:19:90,74:da:da:98:74:80,74:da:da:c1:3d:2d,74:da:da:98:74:34,74:da:da:c1:3c:12,0c:73:eb:d0:7e:d0,74:da:da:c1:02:91,74:da:da:c1:3c:46,74:da:da:c1:3c:55,74:da:da:c0:d7:11,0c:73:eb:d0:19:c8,74:da:da:98:ea:5c,74:da:da:98:90:95,74:da:da:98:ea:54,0c:73:eb:d0:11:c8,74:da:da:c1:03:1d,74:da:da:c1:3c:86,74:da:da:c1:03:21,0c:73:eb:d0:13:90,74:da:da:c1:3c:4d,74:da:da:c1:3c:51,74:da:da:c1:4a:69,74:da:da:c0:f3:59,74:da:da:c0:e0:6d,74:da:da:98:85:1c,0c:73:eb:d0:0e:a8,74:da:da:c0:d6:f5,74:da:da:c1:3c:56,74:da:da:c1:25:69,74:da:da:c1:3b:19,74:da:da:c0:d8:3d,74:da:da:98:85:4c
1526459909797,-30,-35,-43,-52,-53,-54,-55,-55,-56,-56,-57,-59,-61,-61,-63,-64,-67,-73,-73,-73,-74,-74,-74,-75,-75,-75,-75,-77,-79,-80,-81,-82,-84,-85,-86,-87,-87,-88,-90,-90,-92,-200,-200,-200,-200,-200,-200,-200
1526459912821,-33,-36,-35,-49,-53,-57,-44,-51,-56,-55,-50,-58,-49,-64,-70,-64,-67,-71,-66,-73,-73,-74,-74,-75,-75,-75,-75,-77,-83,-200,-200,-82,-85,-85,-86,-87,-87,-88,-200,-90,-92,-200,-200,-200,-200,-200,-200,-200
1526459915841,-33,-36,-35,-49,-53,-57,-44,-51,-56,-55,-50,-58,-49,-64,-70,-64,-67,-71,-66,-73,-73,-74,-74,-75,-75,-75,-75,-77,-83,-200,-200,-82,-85,-85,-86,-87,-87,-88,-200,-90,-92,-200,-200,-200,-200,-200,-200,-200
1526459918864,-33,-37,-33,-49,-52,-55,-44,-51,-57,-59,-50,-58,-49,-64,-72,-63,-67,-71,-66,-73,-73,-74,-70,-75,-75,-75,-79,-77,-79,-200,-200,-82,-87,-85,-86,-87,-87,-88,-200,-90,-92,-88,-200,-200,-200,-200,-200,-200
1526459921891,-33,-37,-33,-49,-52,-55,-44,-51,-57,-59,-50,-58,-49,-64,-72,-63,-67,-71,-66,-73,-73,-74,-70,-75,-200,-75,-79,-77,-79,-200,-200,-82,-87,-85,-200,-87,-87,-200,-200,-90,-92,-88,-200,-200,-200,-200,-200,-200
1526459924905,-32,-34,-32,-47,-57,-53,-44,-51,-61,-56,-49,-58,-49,-65,-72,-61,-200,-69,-66,-73,-73,-74,-71,-74,-200,-75,-79,-77,-77,-200,-200,-200,-83,-85,-200,-87,-87,-200,-200,-90,-92,-88,-67,-200,-200,-200,-200,-200
1526459927929,-32,-34,-32,-47,-57,-53,-44,-51,-61,-56,-49,-58,-49,-65,-72,-61,-200,-69,-66,-73,-73,-74,-71,-74,-200,-75,-79,-77,-77,-200,-200,-200,-83,-85,-200,-87,-87,-200,-200,-90,-92,-88,-67,-200,-200,-200,-200,-200
1526459930958,-33,-38,-39,-43,-56,-52,-47,-55,-67,-56,-50,-58,-49,-61,-73,-65,-79,-77,-66,-72,-73,-74,-73,-75,-200,-72,-76,-77,-72,-200,-200,-200,-82,-85,-200,-200,-87,-200,-200,-200,-92,-88,-67,-200,-200,-200,-200,-200
1526459933976,-33,-38,-39,-43,-56,-52,-47,-55,-67,-56,-50,-58,-49,-61,-73,-65,-79,-77,-66,-72,-73,-74,-73,-75,-200,-72,-76,-77,-72,-200,-200,-200,-82,-85,-200,-200,-87,-200,-200,-200,-92,-88,-67,-200,-200,-200,-200,-200
1526459936987,-33,-38,-38,-47,-54,-52,-50,-51,-65,-54,-50,-58,-48,-59,-70,-65,-79,-75,-66,-72,-73,-200,-74,-71,-200,-72,-74,-200,-68,-200,-200,-79,-81,-200,-200,-200,-200,-200,-200,-200,-200,-88,-67,-91,-200,-200,-200,-200
1526459939994,-33,-38,-38,-47,-54,-52,-50,-51,-65,-54,-50,-58,-48,-59,-70,-65,-79,-75,-66,-72,-73,-200,-74,-71,-200,-72,-74,-200,-68,-200,-200,-79,-81,-200,-200,-200,-200,-200,-200,-200,-200,-88,-67,-91,-200,-200,-200,-200
1526459943014,-37,-38,-37,-49,-60,-55,-51,-51,-65,-55,-53,-56,-48,-59,-73,-57,-71,-75,-66,-70,-74,-74,-74,-69,-200,-72,-73,-200,-66,-200,-200,-79,-81,-200,-200,-200,-200,-200,-200,-200,-200,-88,-67,-90,-200,-200,-200,-200
1526459946029,-37,-38,-37,-49,-60,-55,-51,-51,-65,-55,-53,-56,-48,-59,-73,-57,-71,-75,-66,-70,-74,-74,-74,-69,-200,-72,-73,-200,-66,-200,-200,-79,-81,-200,-200,-200,-200,-200,-200,-200,-200,-88,-67,-90,-200,-200,-200,-200
1526459949054,-40,-40,-36,-49,-60,-54,-51,-50,-61,-55,-54,-56,-48,-59,-73,-60,-76,-73,-65,-67,-76,-76,-70,-69,-200,-72,-73,-200,-66,-200,-82,-79,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-90,-89,-200,-200,-200
1526459952076,-40,-40,-36,-49,-60,-54,-51,-50,-61,-55,-54,-56,-48,-59,-73,-60,-76,-73,-65,-67,-76,-76,-70,-69,-200,-72,-73,-200,-66,-200,-82,-79,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-89,-200,-200,-200
