,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:13:b0,74:da:da:98:66:cc,74:da:da:98:90:2c,0c:73:eb:d0:19:80,74:da:da:c0:d9:39,74:da:da:c1:3c:45,0c:73:eb:d0:76:18,74:da:da:c1:3c:11,74:da:da:c1:3d:2d,74:da:da:98:90:2d,74:da:da:98:66:cd,0c:73:eb:d0:19:90,74:da:da:c1:3c:85,74:da:da:c1:3c:46,0c:73:eb:d0:13:98,74:da:da:c1:3c:55,0c:73:eb:d0:13:c8,74:da:da:98:74:74,74:da:da:98:90:94,74:da:da:c0:d6:f5,74:da:da:98:74:80,50:3a:a0:ea:01:66,74:da:da:c0:d8:3d,0c:73:eb:d0:19:c0,74:da:da:c0:d6:ed,0c:73:eb:d0:19:c8,74:da:da:98:ea:5c,74:da:da:c1:3c:86,74:da:da:c1:3c:56,0c:73:eb:d0:2a:50,74:da:da:c0:d7:11,74:da:da:c1:3c:12,74:da:da:c1:3b:29,74:da:da:98:90:95,0c:73:eb:d0:0e:a8,74:da:da:c0:d7:9d,74:da:da:98:85:4c,74:da:da:98:74:34,74:da:da:c0:f6:15,74:da:da:c1:5e:ed,74:da:da:c1:3c:4d,0c:73:eb:d0:0e:b8,74:da:da:c1:25:69,74:da:da:c1:3b:19,0c:73:eb:d0:7e:d0,0c:73:eb:d0:11:c0,74:da:da:c1:02:91,74:da:da:c0:e0:6d,0c:73:eb:d0:19:a0,74:da:da:c0:f3:59
1526460290365,-30,-34,-44,-48,-48,-52,-52,-53,-53,-59,-60,-60,-62,-65,-65,-68,-68,-69,-69,-69,-71,-72,-73,-76,-77,-77,-77,-79,-81,-81,-81,-82,-83,-85,-86,-88,-88,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460293393,-36,-36,-37,-49,-46,-49,-40,-53,-57,-60,-51,-65,-62,-72,-65,-68,-63,-69,-69,-69,-77,-72,-73,-77,-72,-77,-77,-85,-85,-81,-81,-78,-200,-84,-86,-88,-88,-89,-89,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460296415,-36,-36,-37,-49,-46,-49,-40,-53,-57,-60,-51,-65,-62,-72,-65,-68,-63,-69,-69,-69,-77,-72,-73,-77,-72,-77,-77,-85,-85,-81,-81,-78,-200,-84,-86,-200,-88,-89,-89,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460299441,-38,-34,-41,-49,-46,-49,-44,-57,-61,-58,-52,-60,-62,-74,-61,-68,-64,-69,-69,-69,-78,-72,-73,-77,-72,-77,-77,-85,-88,-81,-81,-79,-200,-84,-86,-200,-88,-88,-78,-88,-80,-92,-92,-200,-200,-200,-200,-200,-200,-200
1526460302453,-38,-34,-41,-49,-46,-49,-44,-57,-61,-58,-52,-60,-62,-74,-61,-68,-64,-69,-69,-69,-78,-72,-73,-77,-72,-77,-77,-85,-88,-81,-81,-79,-200,-84,-86,-200,-88,-88,-78,-88,-80,-92,-92,-200,-200,-200,-200,-200,-200,-200
1526460305481,-40,-33,-43,-49,-49,-57,-44,-57,-61,-60,-52,-59,-62,-73,-65,-200,-64,-69,-200,-69,-75,-72,-73,-77,-63,-68,-77,-87,-91,-75,-81,-77,-200,-82,-86,-200,-88,-88,-78,-88,-80,-92,-92,-79,-82,-92,-200,-200,-200,-200
1526460308501,-40,-33,-43,-49,-49,-57,-44,-57,-61,-60,-52,-59,-62,-73,-65,-200,-64,-69,-200,-69,-75,-72,-73,-77,-63,-68,-77,-87,-91,-75,-81,-77,-200,-82,-86,-200,-88,-88,-78,-88,-80,-92,-92,-79,-82,-92,-200,-200,-200,-200
1526460311524,-42,-33,-43,-50,-46,-51,-44,-62,-55,-60,-52,-57,-61,-75,-65,-200,-61,-69,-64,-200,-75,-200,-200,-77,-63,-68,-200,-86,-91,-81,-81,-77,-200,-82,-86,-200,-88,-88,-78,-88,-80,-92,-92,-79,-82,-92,-83,-90,-200,-200
1526460314559,-39,-36,-42,-57,-51,-56,-42,-62,-56,-60,-55,-62,-61,-76,-64,-200,-59,-200,-64,-66,-79,-66,-200,-74,-75,-68,-200,-81,-89,-81,-81,-77,-200,-85,-200,-200,-84,-84,-78,-88,-80,-92,-92,-79,-82,-92,-88,-90,-84,-200
