,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:98:74:94,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,0c:73:eb:d0:11:b8,74:da:da:c1:4b:01,74:da:da:98:7a:4c,74:da:da:98:7a:50,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:b0,74:da:da:98:8d:78,74:da:da:c1:4b:05,74:da:da:98:7a:6c,74:da:da:c1:3c:f9,74:da:da:c0:e0:81,0c:73:eb:d0:7c:18,0c:73:eb:d0:7c:00,bc:d1:77:5f:6a:b4,74:da:da:c1:3b:9d,74:da:da:c1:4b:59,74:da:da:c1:3c:f5,74:da:da:c1:3c:99,74:da:da:c1:3c:dd,0c:73:eb:d0:13:c0,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:10,74:da:da:98:7a:60,74:da:da:c1:61:69,0c:73:eb:d0:11:d0,74:da:da:c1:3b:4d
1526457166335,-45,-50,-56,-63,-65,-65,-69,-70,-72,-73,-78,-78,-81,-81,-85,-87,-88,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457169362,-50,-42,-45,-52,-65,-57,-62,-70,-68,-73,-66,-78,-80,-69,-80,-87,-88,-72,-88,-81,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457172374,-50,-42,-45,-52,-65,-57,-62,-70,-68,-73,-66,-78,-80,-69,-80,-87,-88,-72,-88,-81,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457175397,-50,-42,-45,-52,-65,-57,-62,-70,-68,-73,-66,-78,-80,-69,-80,-87,-88,-72,-88,-81,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457178428,-54,-36,-53,-61,-63,-59,-65,-86,-71,-200,-64,-200,-77,-69,-86,-83,-200,-75,-200,-81,-86,-79,-80,-87,-200,-200,-200,-200,-200,-200
1526457181454,-54,-36,-52,-60,-65,-58,-64,-86,-71,-200,-64,-78,-77,-71,-84,-83,-200,-75,-200,-81,-86,-81,-78,-87,-200,-200,-200,-200,-200,-200
1526457184481,-54,-36,-52,-60,-65,-58,-64,-86,-71,-200,-64,-78,-77,-71,-84,-83,-200,-75,-200,-81,-86,-81,-78,-87,-200,-200,-200,-200,-200,-200
1526457187513,-54,-36,-52,-60,-65,-58,-64,-86,-71,-200,-64,-78,-77,-71,-84,-83,-200,-75,-200,-81,-86,-81,-78,-87,-200,-200,-200,-200,-200,-200
1526457190542,-55,-36,-51,-55,-63,-56,-62,-88,-72,-200,-64,-78,-78,-70,-84,-84,-200,-75,-200,-85,-200,-80,-78,-87,-87,-88,-90,-200,-200,-200
1526457193573,-55,-36,-49,-55,-62,-56,-62,-88,-70,-200,-64,-78,-78,-70,-87,-84,-200,-74,-200,-85,-200,-80,-79,-87,-87,-88,-90,-200,-200,-200
1526457196604,-55,-36,-49,-55,-62,-56,-62,-88,-70,-200,-64,-78,-78,-70,-87,-84,-200,-74,-200,-85,-200,-80,-79,-87,-87,-88,-90,-200,-200,-200
1526457199635,-55,-36,-49,-55,-62,-56,-62,-88,-70,-200,-64,-78,-78,-70,-87,-84,-200,-74,-200,-85,-200,-80,-79,-87,-87,-88,-90,-200,-200,-200
1526457202666,-55,-35,-49,-54,-65,-56,-64,-200,-68,-200,-64,-77,-77,-69,-87,-83,-200,-76,-200,-85,-200,-85,-77,-200,-200,-200,-200,-200,-200,-200
1526457205693,-55,-36,-47,-51,-65,-55,-63,-77,-72,-200,-66,-77,-80,-69,-87,-83,-93,-75,-200,-83,-200,-85,-77,-87,-200,-200,-200,-200,-200,-200
1526457208725,-55,-36,-47,-51,-65,-55,-63,-77,-72,-200,-66,-77,-80,-69,-87,-83,-93,-75,-200,-83,-200,-85,-77,-87,-200,-200,-200,-200,-200,-200
1526457211750,-55,-36,-47,-51,-65,-55,-63,-77,-72,-200,-66,-77,-80,-69,-87,-83,-93,-75,-200,-83,-200,-85,-77,-87,-200,-200,-200,-200,-200,-200
1526457214791,-56,-35,-48,-55,-65,-55,-63,-77,-73,-83,-62,-80,-77,-70,-87,-80,-93,-75,-200,-85,-200,-79,-200,-87,-200,-200,-89,-88,-90,-200
