,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,WHU-2018,DQKJ,WHU-2018
,0c:73:eb:d0:7c:00,74:da:da:c1:3c:f5,74:da:da:c0:f4:69,0c:73:eb:d0:11:e8,74:da:da:c0:e2:d9,74:da:da:c1:3c:dd,0c:73:eb:d0:7e:e0,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:f0,74:da:da:c1:4b:01,0c:73:eb:d0:7c:18,74:da:da:c0:f3:01,74:da:da:c1:3c:51,74:da:da:c0:d7:b9,74:da:da:c1:3a:81,74:da:da:98:91:d4,74:da:da:c1:3c:99,74:da:da:c1:48:bd,74:da:da:c1:4b:59,0c:73:eb:d0:13:d0,0c:73:eb:d0:7e:f8,74:da:da:c0:d7:19,0c:73:eb:d0:7c:10,0c:73:eb:d0:11:e0,0c:73:eb:d0:7c:38,0c:73:eb:d0:11:f8,0c:73:eb:d0:7c:08,0c:73:eb:d0:7f:10,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:48,74:da:da:c1:56:a1,0c:73:eb:d0:7a:68,74:da:da:c1:4a:f5,74:da:da:c0:f2:fd,74:da:da:c1:4b:05,74:da:da:c1:3c:f9,74:da:da:c1:3a:dd,0c:73:eb:d0:7f:08,74:da:da:c1:56:ed,74:da:da:c1:3b:49,74:da:da:98:92:14,74:da:da:c1:3b:85,74:da:da:c0:e0:69,74:da:da:c1:3c:e1,0c:73:eb:d0:13:a8,74:da:da:98:85:60,74:da:da:98:8d:78,74:da:da:c0:d7:0d,0c:73:eb:d0:7e:e8,0c:73:eb:d0:76:20,bc:d1:77:5f:6a:b4,0c:73:eb:d0:19:98,ec:26:ca:0b:d4:1e,0c:73:eb:d0:7e:d8
1526459945865,-46,-49,-50,-56,-63,-64,-66,-68,-68,-68,-69,-69,-69,-70,-72,-73,-74,-74,-74,-76,-76,-76,-77,-79,-79,-79,-80,-80,-82,-83,-85,-85,-86,-86,-86,-88,-88,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459948901,-50,-63,-57,-60,-64,-54,-67,-71,-68,-60,-60,-68,-67,-70,-67,-73,-78,-200,-68,-60,-80,-76,-76,-200,-200,-200,-200,-80,-81,-69,-200,-85,-76,-86,-200,-84,-88,-200,-200,-75,-78,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459951935,-50,-63,-57,-60,-64,-54,-67,-71,-68,-60,-60,-68,-67,-70,-67,-73,-78,-200,-68,-60,-80,-76,-76,-200,-200,-200,-200,-80,-81,-69,-200,-85,-76,-86,-200,-84,-88,-200,-200,-75,-78,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459954968,-50,-58,-54,-59,-67,-58,-66,-71,-69,-59,-56,-65,-66,-70,-67,-76,-78,-200,-72,-60,-80,-76,-81,-82,-76,-81,-79,-82,-83,-69,-200,-85,-69,-80,-200,-84,-88,-200,-200,-75,-85,-87,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459958018,-51,-55,-60,-63,-63,-69,-62,-71,-76,-61,-52,-61,-69,-72,-62,-71,-77,-78,-69,-67,-73,-76,-76,-77,-76,-81,-75,-82,-83,-70,-85,-85,-72,-80,-200,-84,-200,-200,-95,-79,-78,-87,-87,-81,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526459961039,-51,-56,-59,-63,-64,-70,-60,-71,-73,-61,-51,-65,-70,-69,-62,-71,-78,-78,-69,-65,-75,-75,-76,-77,-76,-81,-75,-81,-83,-70,-85,-85,-72,-89,-200,-84,-200,-200,-95,-82,-78,-87,-87,-80,-82,-87,-87,-200,-200,-200,-200,-200,-200,-200
1526459964082,-51,-56,-59,-63,-64,-70,-60,-71,-73,-61,-51,-65,-70,-69,-62,-71,-78,-78,-69,-65,-75,-75,-76,-77,-76,-81,-75,-81,-83,-70,-85,-85,-72,-89,-200,-84,-200,-200,-95,-82,-78,-87,-87,-80,-82,-87,-87,-200,-200,-200,-200,-200,-200,-200
1526459967129,-51,-56,-59,-63,-64,-70,-60,-71,-73,-61,-51,-65,-70,-69,-62,-71,-78,-78,-69,-65,-75,-75,-76,-77,-76,-81,-75,-81,-83,-70,-85,-85,-72,-89,-200,-84,-200,-200,-95,-82,-78,-87,-87,-80,-82,-87,-87,-200,-200,-200,-200,-200,-200,-200
1526459970168,-51,-58,-60,-61,-64,-63,-69,-72,-77,-60,-50,-67,-68,-69,-63,-72,-77,-77,-67,-64,-72,-74,-79,-75,-76,-200,-77,-82,-200,-68,-84,-200,-65,-89,-200,-200,-200,-200,-200,-82,-82,-200,-200,-81,-82,-90,-87,-78,-83,-85,-86,-200,-200,-200
1526459973204,-52,-54,-56,-66,-62,-61,-69,-71,-76,-58,-50,-67,-70,-68,-64,-72,-77,-77,-69,-60,-70,-74,-79,-76,-76,-80,-78,-82,-88,-81,-84,-200,-66,-89,-82,-200,-200,-200,-200,-82,-81,-200,-200,-81,-82,-90,-87,-78,-83,-85,-86,-91,-200,-200
1526459976230,-52,-54,-56,-66,-62,-61,-69,-71,-76,-58,-50,-67,-70,-68,-64,-72,-77,-77,-69,-60,-70,-74,-79,-76,-76,-80,-78,-82,-88,-81,-84,-200,-66,-89,-82,-200,-200,-200,-200,-82,-81,-200,-200,-81,-82,-90,-87,-78,-83,-85,-86,-91,-200,-200
1526459979265,-52,-54,-56,-66,-62,-61,-69,-71,-76,-58,-50,-67,-70,-68,-64,-72,-77,-77,-69,-60,-70,-74,-79,-76,-76,-80,-78,-82,-88,-81,-84,-200,-66,-89,-82,-200,-200,-200,-200,-82,-81,-200,-200,-81,-82,-90,-87,-78,-83,-85,-86,-91,-200,-200
1526459982297,-66,-71,-68,-78,-77,-77,-81,-84,-70,-67,-54,-81,-82,-84,-77,-200,-200,-200,-85,-73,-84,-200,-200,-76,-200,-80,-78,-200,-86,-79,-200,-200,-66,-200,-82,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200
