,0116.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2B:DE,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:D3,78:A5:04:41:E7:CC,7C:66:9D:7B:2E:16,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:77:73,78:A5:04:41:E7:91
1526464522825,-92,-93,-98,-94,-83,-97,-200,-200
1526464522931,-93,-93,-200,-95,-200,-200,-200,-200
1526464523041,-93,-91,-97,-95,-83,-97,-200,-200
1526464523149,-96,-200,-200,-98,-83,-96,-200,-200
1526464527684,-200,-89,-200,-200,-80,-200,-200,-200
1526464527905,-200,-89,-200,-200,-200,-200,-200,-200
1526464528116,-96,-90,-200,-200,-83,-200,-200,-200
1526464532831,-94,-200,-92,-200,-89,-97,-200,-200
1526464532947,-200,-99,-95,-98,-91,-200,-89,-200
1526464533155,-92,-200,-200,-200,-87,-96,-200,-200
1526464537771,-94,-200,-93,-200,-200,-200,-200,-200
1526464537871,-92,-96,-200,-200,-96,-200,-92,-200
1526464537978,-92,-95,-93,-200,-94,-200,-90,-200
1526464538084,-93,-95,-92,-200,-200,-200,-91,-200
1526464538187,-91,-97,-200,-200,-82,-200,-91,-200
1526464543003,-91,-200,-200,-200,-83,-200,-200,-200
1526464543113,-200,-200,-200,-94,-83,-200,-200,-200
1526464547724,-200,-200,-200,-200,-85,-200,-94,-200
1526464547817,-200,-200,-200,-94,-84,-96,-94,-200
1526464547921,-200,-200,-96,-94,-85,-200,-94,-200
1526464548029,-200,-200,-200,-94,-85,-95,-200,-200
1526464548132,-200,-200,-98,-94,-85,-200,-95,-200
1526464548234,-200,-97,-96,-200,-85,-200,-96,-200
1526464552732,-200,-96,-96,-200,-92,-200,-96,-200
1526464552837,-93,-98,-98,-200,-92,-200,-97,-200
1526464552943,-93,-97,-97,-200,-92,-200,-96,-200
1526464553051,-94,-98,-96,-200,-92,-200,-95,-200
1526464553155,-90,-98,-200,-200,-93,-200,-95,-200
1526464557708,-200,-93,-200,-200,-84,-200,-200,-200
1526464558025,-90,-92,-200,-200,-84,-200,-200,-200
1526464558126,-200,-91,-200,-95,-89,-98,-95,-200
1526464562851,-99,-200,-94,-94,-90,-99,-200,-200
1526464562947,-200,-200,-95,-95,-89,-100,-200,-200
1526464563039,-200,-200,-94,-93,-88,-200,-200,-200
1526464563140,-89,-200,-94,-93,-200,-98,-94,-200
1526464567777,-90,-200,-93,-200,-82,-200,-95,-200
1526464567892,-200,-200,-94,-200,-83,-200,-96,-200
1526464567999,-91,-200,-95,-200,-83,-200,-200,-200
1526464568109,-90,-200,-95,-200,-84,-200,-97,-200
1526464572719,-200,-200,-200,-200,-84,-200,-200,-200
1526464572818,-200,-200,-200,-200,-85,-200,-200,-200
1526464573025,-89,-94,-95,-200,-84,-90,-200,-99
1526464577749,-200,-94,-94,-200,-86,-89,-97,-200
1526464577863,-94,-96,-95,-200,-87,-88,-95,-200
1526464577979,-93,-95,-94,-200,-87,-89,-95,-200
1526464578079,-94,-200,-200,-200,-86,-89,-200,-200
1526464578181,-93,-94,-200,-200,-200,-200,-200,-98
1526464582686,-91,-93,-200,-200,-90,-200,-94,-200
1526464582792,-93,-95,-91,-99,-91,-200,-95,-200
1526464582896,-91,-95,-91,-200,-89,-200,-95,-200
1526464582996,-91,-95,-91,-98,-90,-200,-97,-200
1526464583099,-91,-95,-91,-200,-91,-200,-95,-200
1526464583200,-91,-200,-200,-200,-200,-200,-200,-200
