TimeStamp,cc:d5:39:a0:cd:b0,cc:d5:39:a0:cd:b1,24:01:c7:08:b3:f5,cc:d5:39:e9:5c:a5,cc:d5:39:e9:5c:a1,24:01:c7:08:b3:f1,24:01:c7:33:7f:aa,cc:d5:39:e9:5c:ab,cc:d5:39:e9:5c:ac,cc:d5:39:e9:5c:af,cc:d5:39:e9:5c:aa,cc:d5:39:e9:5c:ae,24:01:c7:33:7f:ae,cc:d5:39:a0:cd:ba,cc:d5:39:a0:cd:bc,24:01:c7:6c:fc:51,24:01:c7:6c:fc:55,24:01:c7:08:b3:fa,cc:d5:39:e9:5c:ad,cc:d5:39:a0:cd:bd,24:01:c7:08:b3:fd,cc:d5:39:a0:cd:b5,24:01:c7:08:b3:f4,24:01:c7:33:7f:ab,24:01:c7:08:b3:fc,cc:d5:39:e9:5c:a2,24:01:c7:08:b3:f2,24:01:c7:33:7f:ad,24:01:c7:6c:fc:52,cc:d5:39:a0:cd:b4,24:01:c7:33:7f:ac,cc:d5:39:a0:cd:bf,24:01:c7:08:b3:fb,cc:d5:39:a0:cd:b2,24:01:c7:6c:fc:5d,24:01:c7:6c:fc:5a,24:01:c7:6c:fc:5c,24:01:c7:6c:fc:5f,24:01:c7:33:7f:a1,24:01:c7:08:b3:f0,cc:d5:39:e9:5c:a0,cc:d5:39:e9:5c:a4,24:01:c7:33:7f:af,cc:d5:39:a0:cd:be,24:01:c7:6c:fc:50,24:01:c7:6c:fc:54,24:01:c7:6c:fc:5e,24:01:c7:08:b3:fe,34:a8:4e:c6:22:05,24:01:c7:33:7f:a2,24:01:c7:6c:fc:5b,cc:d5:39:a0:cd:bb,24:01:c7:08:b3:ff,24:01:c7:33:7f:a4,24:01:c7:33:7f:a0,24:01:c7:33:7f:a5,24:01:c7:77:3e:aa,24:01:c7:77:3e:ac,88:75:56:44:c6:e4,88:75:56:44:c6:e0,88:75:56:44:c6:e5,24:01:c7:77:3e:ab,24:01:c7:77:3e:ae,58:97:1e:f7:73:b0,cc:d5:39:e5:b3:80,58:97:1e:f7:73:b1,e0:d1:73:ff:ee:5a,cc:d5:39:e5:b3:8f,e0:d1:73:ff:ee:5e,e0:d1:73:ff:ee:5b,cc:d5:39:e5:b3:8a,cc:d5:39:e5:b3:8b,e0:d1:73:ff:ee:5c,88:75:56:44:c6:e2,cc:d5:39:e5:b3:82,24:01:c7:77:3e:ad,cc:d5:39:e5:b3:8d,e0:d1:73:ff:ee:5d,cc:d5:39:e5:b3:84,e0:d1:73:ff:ee:50,58:97:1e:f7:73:b5,e0:d1:73:ff:ee:55,e0:d1:73:ff:ee:54,24:01:c7:77:3e:a1,cc:d5:39:e5:b3:8c,e0:d1:73:ff:ee:52,24:01:c7:77:3e:a2,cc:d5:39:e5:b3:81,cc:d5:39:e5:b3:85,88:75:56:44:c6:e1,cc:d5:39:e5:b3:8e,58:97:1e:f7:73:b4,e0:d1:73:ff:ee:5f,58:97:1e:f7:73:b2,e0:d1:73:ff:ee:51,24:01:c7:ca:81:01,24:01:c7:77:3e:af,24:01:c7:ca:81:05,cc:d5:39:25:b4:3c,88:75:56:44:c6:ee,88:75:56:44:c6:ea,58:97:1e:f7:73:bc,58:97:1e:f7:73:bf,58:97:1e:f7:73:bb,24:01:c7:ca:81:02,24:01:c7:ca:81:00,24:01:c7:ca:81:04,88:75:56:44:c6:ef,cc:d5:39:25:b4:3e,cc:d5:39:25:b4:3b,88:75:56:44:c6:ed,cc:d5:39:25:b4:3d,58:97:1e:f7:73:bd,88:75:56:44:c6:ec,58:97:1e:f7:73:ba,58:97:1e:f7:73:be,cc:d5:39:25:b4:3a,88:75:56:44:c6:eb,cc:d5:39:25:b4:3f,24:01:c7:ca:81:0c,24:01:c7:ca:81:0e,cc:d5:39:25:b4:35,cc:d5:39:25:b4:31,24:01:c7:ca:81:0f,24:01:c7:ca:81:0a,cc:d5:39:25:b4:30,24:01:c7:ca:81:0b,24:01:c7:ca:81:0d,34:a8:4e:a2:a3:9a,34:a8:4e:a2:a3:9e,34:a8:4e:a2:a3:96,34:a8:4e:a2:a3:99,34:a8:4e:a2:a3:9d,34:a8:4e:a2:a3:9c,34:a8:4e:a2:a3:9b,34:a8:4e:a2:a3:9f,34:a8:4e:a2:a3:91,34:a8:4e:a2:a3:95,34:a8:4e:b0:4f:cf,34:a8:4e:e9:e0:f5,34:a8:4e:b0:4f:ca,34:a8:4e:a2:a3:93,34:a8:4e:e9:e0:f1,34:a8:4e:e9:e0:f6,34:a8:4e:e9:e0:f0,34:a8:4e:e9:e0:fe,34:a8:4e:e9:e0:ff,34:a8:4e:e9:e0:f9,34:a8:4e:e9:e0:fb,34:a8:4e:a2:a3:92,34:a8:4e:e9:e0:f2,34:a8:4e:e9:e0:f3,34:a8:4e:e9:e0:fc
1453855916503,-61,-62,-67,-65,-66,-67,-84,-85,-85,-84,-84,-84,-83,-87,-87,-80,-80,-86,-84,-87,-86,-61,-68,-84,-86,-66,-68,-85,-80,-61,-85,-85,-86,-61,-87,-85,-84,-85,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855919913,-61,-64,-69,-69,-69,-68,-79,-83,-79,-83,-78,-83,-83,-76,-78,-79,-80,-84,-83,-79,-83,-62,-68,-76,-83,-70,-68,-80,-78,-61,-85,-78,-86,-61,-82,-82,-82,-85,-87,-68,-69,-69,-78,-80,-78,-78,-83,-84,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855923286,-57,-64,-69,-69,-65,-64,-71,-78,-82,-79,-80,-79,-72,-72,-74,-79,-80,-81,-80,-72,-80,-58,-63,-76,-79,-65,-63,-72,-76,-57,-72,-71,-83,-56,-71,-71,-71,-72,-80,-63,-69,-67,-78,-78,-76,-76,-83,-81,-87,-86,-71,-71,-81,-83,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855926626,-51,-53,-55,-55,-54,-54,-71,-78,-63,-67,-63,-67,-63,-71,-74,-69,-66,-73,-67,-68,-73,-58,-63,-64,-79,-65,-63,-63,-76,-49,-63,-68,-75,-49,-71,-71,-80,-80,-73,-54,-56,-67,-63,-69,-67,-76,-80,-72,-87,-72,-80,-69,-74,-83,-86,-70,-84,-84,-83,-83,-83,-88,-89,-85,-85,-85,-90,-90,-91,-91,-92,-92,-93,-82,-83,-89,-91,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855929988,-58,-56,-51,-55,-43,-51,-64,-60,-62,-65,-60,-64,-64,-72,-74,-69,-79,-63,-64,-72,-63,-58,-63,-64,-79,-65,-63,-63,-76,-62,-63,-72,-66,-63,-84,-84,-84,-82,-68,-52,-44,-44,-64,-76,-79,-76,-80,-63,,-69,-85,-72,-63,-83,-86,-70,-84,-90,-83,-85,-83,-88,-91,-79,-72,-81,-90,-86,-91,-91,-88,-86,-93,-84,-72,-91,-86,-93,-72,-80,-80,-81,-81,-86,-91,-80,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855933318,-58,-58,-50,-40,-43,-57,-62,-56,-54,-53,-56,-53,-61,-72,,-78,-80,-63,-53,-77,-66,-61,-49,-63,,-38,,-61,-78,-63,-61,-77,-68,-62,-86,-84,-84,-84,-66,-49,-40,-39,-61,-75,-85,-79,-80,-67,,-69,-88,-78,-66,,-66,-67,-84,-90,-77,-77,-76,-88,-91,-83,-70,-81,-91,-83,-90,-91,-84,-83,-90,-77,-70,-91,-83,-91,-72,-78,-82,-78,-78,-86,-91,-77,-84,-70,-72,-78,-85,-82,-89,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855936641,-67,-60,-50,-44,-44,-66,-62,-56,-68,-67,-62,-69,-64,-77,,-78,-80,-80,-67,-77,-75,-61,-49,-61,,-38,,-62,-78,-67,-61,-78,-74,-61,-86,-89,-91,-89,-62,-58,-44,-43,-62,-79,-85,-79,,-75,,-61,-88,-81,-75,,-66,-62,,-90,-77,-78,-80,,-91,-79,-70,-79,-86,-75,-86,-86,-79,-77,-90,-79,-66,-91,-76,-87,-67,-82,-80,-83,-78,-86,-78,-77,-84,-66,-65,-78,-85,-82,-89,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855939977,-67,-67,-68,-50,-52,-65,-54,-68,-71,-68,-70,-73,-53,-75,-76,-85,-85,-82,-68,-75,-84,-64,-49,-54,-81,-52,-67,-54,-83,-71,-61,-77,-78,-68,-91,-91,-91,-89,-56,-58,-44,-43,-54,-79,-85,-79,-89,-75,,-55,-88,-75,-78,-55,-66,-62,,,-78,-76,-77,,,-75,-57,-75,-86,-76,-91,-89,-82,-74,-89,-77,-57,,-76,-90,-57,-81,-77,-80,-78,,-83,-77,,-58,-65,-77,-76,-82,-88,-75,-80,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855943308,-66,-66,-70,-59,-62,-65,-56,-65,-66,-65,-70,-65,-53,-81,-78,-85,-85,-84,-65,-82,-85,-67,,-57,-83,-56,-71,-57,-84,-65,-57,-84,-86,-67,-91,-91,-91,-89,-61,-58,-44,-43,-57,-79,,,-89,-75,,-59,,-86,-84,-59,-62,-62,-89,,-77,-76,-77,-88,-88,-76,-55,-76,-88,-67,-86,-87,-66,-69,-89,-76,-54,-89,-67,-89,-54,-73,-75,-74,,,-71,,,-56,-57,-77,-73,-77,-88,-76,-75,-86,-89,-85,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855946663,-66,-66,-70,-63,-63,-77,-53,-72,-79,-72,-70,-78,-53,-81,-85,-85,-85,-88,-72,-82,-90,-67,-77,-54,-88,-56,-74,-54,-84,-68,-54,-82,-91,-69,-91,-91,-90,,-60,-77,,-65,-54,-85,,,-89,,,-60,,-85,-89,-59,-58,,-89,,-77,-76,-76,-88,-88,-73,-52,-75,-86,-70,-86,-84,-72,-69,-89,-76,-52,-89,-70,-86,-52,-73,-75,-74,,,-72,-74,,-53,-53,-76,-67,-75,-85,-75,-74,-86,-89,-85,-92,-91,-91,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
