,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:11:f0,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:00,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:30,74:da:da:c1:3c:dd,74:da:da:c1:3a:81,74:da:da:c1:3c:99,74:da:da:c1:4b:01,0c:73:eb:d0:7c:18,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:e8,0c:73:eb:d0:7c:10,0c:73:eb:d0:11:f8,74:da:da:c1:4b:59,74:da:da:c1:4b:05,74:da:da:c0:d7:19,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,74:da:da:c0:e2:d9,0c:73:eb:d0:7c:08,0c:73:eb:d0:13:d0,0c:73:eb:d0:7c:40,0c:73:eb:d0:7a:68,74:da:da:c0:e0:71,74:da:da:98:91:d4,0c:73:eb:d0:13:c0,74:da:da:c1:3c:e1,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7c:28,74:da:da:c0:d7:b9,0c:73:eb:d0:7f:08,0c:73:eb:d0:11:d8,74:da:da:c1:48:bd,74:da:da:98:7a:68,74:da:da:98:85:60,74:da:da:98:74:94,0c:73:eb:d0:7e:f0,74:da:da:98:8d:78,74:da:da:c1:4a:ed,0c:73:eb:d0:11:e0,74:da:da:c0:e0:81,74:da:da:c0:f3:01,74:da:da:c1:02:8d,74:da:da:98:7a:60,0c:73:eb:d0:7e:f8
1526451859074,-35,-41,-45,-45,-48,-50,-50,-54,-54,-56,-56,-58,-58,-59,-60,-60,-63,-64,-66,-68,-68,-69,-70,-71,-71,-74,-75,-76,-79,-80,-80,-81,-81,-81,-81,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451862111,-36,-46,-63,-45,-47,-57,-67,-48,-65,-56,-71,-58,-55,-73,-64,-54,-75,-72,-65,-80,-68,-200,-200,-71,-71,-88,-81,-200,-66,-200,-80,-81,-81,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451865136,-36,-46,-63,-45,-47,-57,-67,-48,-65,-56,-71,-58,-55,-73,-64,-54,-75,-72,-65,-80,-68,-200,-200,-71,-71,-88,-81,-200,-66,-200,-80,-81,-81,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451868180,-36,-46,-63,-45,-47,-57,-67,-48,-65,-56,-71,-58,-55,-73,-64,-54,-75,-72,-65,-80,-68,-200,-200,-71,-71,-88,-81,-200,-66,-200,-80,-81,-81,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451871190,-33,-46,-62,-200,-53,-52,-66,-50,-66,-54,-71,-58,-59,-73,-64,-54,-75,-70,-65,-80,-200,-200,-200,-200,-71,-88,-81,-200,-64,-200,-200,-200,-200,-200,-200,-200,-66,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526451874225,-33,-46,-62,-51,-53,-48,-66,-48,-63,-54,-70,-64,-59,-71,-68,-56,-75,-67,-65,-80,-200,-200,-200,-200,-73,-88,-81,-200,-63,-200,-200,-200,-200,-200,-90,-200,-66,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526451877261,-33,-46,-62,-51,-53,-48,-66,-48,-63,-54,-70,-64,-59,-71,-68,-56,-75,-67,-65,-80,-200,-200,-200,-200,-73,-88,-81,-200,-63,-200,-200,-200,-200,-200,-90,-200,-66,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526451880296,-33,-46,-62,-51,-53,-48,-66,-48,-63,-54,-70,-64,-59,-71,-68,-56,-75,-67,-65,-80,-200,-200,-200,-200,-73,-88,-81,-200,-63,-200,-200,-200,-200,-200,-90,-200,-66,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526451883336,-35,-47,-60,-51,-52,-45,-69,-50,-60,-55,-68,-64,-50,-72,-65,-56,-76,-72,-62,-78,-87,-200,-200,-200,-72,-200,-81,-200,-63,-200,-200,-200,-200,-200,-87,-200,-67,-200,-69,-200,-200,-200,-200,-200,-200,-200
1526451886374,-36,-47,-59,-49,-52,-45,-66,-50,-60,-55,-69,-66,-55,-71,-73,-55,-76,-72,-64,-78,-87,-200,-200,-200,-72,-200,-81,-200,-63,-200,-200,-200,-200,-200,-87,-200,-67,-200,-69,-200,-200,-200,-200,-200,-200,-200
1526451889412,-36,-47,-59,-49,-52,-45,-66,-50,-60,-55,-69,-66,-55,-71,-73,-55,-76,-72,-64,-78,-87,-200,-200,-200,-72,-200,-81,-200,-63,-200,-200,-200,-200,-200,-87,-200,-67,-200,-69,-200,-200,-200,-200,-200,-200,-200
1526451892443,-36,-47,-59,-49,-52,-45,-66,-50,-60,-55,-69,-66,-55,-71,-73,-55,-76,-72,-64,-78,-87,-200,-200,-200,-72,-200,-81,-200,-63,-200,-200,-200,-200,-200,-87,-200,-67,-200,-69,-200,-200,-200,-200,-200,-200,-200
1526451895469,-33,-48,-59,-51,-54,-44,-70,-48,-57,-53,-69,-66,-49,-71,-73,-55,-200,-200,-68,-78,-200,-200,-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-65,-200,-200,-87,-92,-200,-200,-200,-200,-200
1526451898493,-35,-48,-59,-51,-56,-43,-69,-49,-54,-54,-68,-63,-49,-71,-66,-58,-200,-68,-66,-78,-87,-75,-200,-83,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-65,-80,-200,-87,-92,-79,-200,-200,-200,-200
1526451901525,-35,-48,-59,-51,-56,-43,-69,-49,-54,-54,-68,-63,-49,-71,-66,-58,-200,-68,-66,-78,-87,-75,-200,-83,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-65,-80,-200,-87,-92,-79,-200,-200,-200,-200
1526451904561,-35,-48,-59,-51,-56,-43,-69,-49,-54,-54,-68,-63,-49,-71,-66,-58,-200,-68,-66,-78,-87,-75,-200,-83,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-65,-80,-200,-87,-92,-79,-200,-200,-200,-200
1526451907608,-32,-46,-61,-51,-53,-43,-69,-51,-53,-55,-68,-63,-55,-200,-69,-57,-200,-71,-66,-200,-84,-75,-200,-84,-200,-200,-200,-200,-61,-200,-85,-200,-200,-200,-200,-200,-65,-80,-68,-200,-200,-83,-83,-200,-200,-200
1526451910632,-33,-46,-57,-51,-54,-43,-69,-51,-53,-54,-66,-61,-48,-77,-68,-57,-200,-69,-66,-78,-84,-75,-200,-83,-70,-200,-200,-200,-61,-200,-85,-200,-200,-200,-200,-200,-65,-80,-68,-200,-200,-80,-84,-88,-89,-200
1526451913676,-33,-46,-57,-51,-54,-43,-69,-51,-53,-54,-66,-61,-48,-77,-68,-57,-200,-69,-66,-78,-84,-75,-200,-83,-70,-200,-200,-200,-61,-200,-85,-200,-200,-200,-200,-200,-65,-80,-68,-200,-200,-80,-84,-88,-89,-200
1526451916716,-33,-46,-57,-51,-54,-43,-69,-51,-53,-54,-66,-61,-48,-77,-68,-57,-200,-69,-66,-78,-84,-75,-200,-83,-70,-200,-200,-200,-61,-200,-85,-200,-200,-200,-200,-200,-65,-80,-68,-200,-200,-80,-84,-88,-89,-200
1526451919759,-36,-47,-66,-57,-56,-43,-71,-52,-47,-53,-66,-62,-51,-76,-68,-58,-200,-69,-68,-77,-84,-200,-200,-83,-70,-200,-200,-200,-62,-200,-89,-200,-200,-200,-200,-200,-64,-75,-56,-200,-200,-80,-84,-88,-89,-87
