,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:3c:99,0c:73:eb:d0:11:f0,0c:73:eb:d0:11:e8,0c:73:eb:d0:7c:30,74:da:da:c1:3c:dd,74:da:da:c1:3c:f9,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:00,74:da:da:98:74:94,74:da:da:c1:4b:01,74:da:da:c1:4b:05,74:da:da:c1:4b:59,0c:73:eb:d0:7c:18,0c:73:eb:d0:7c:10,74:da:da:c0:e2:d9,74:da:da:c0:e0:81,74:da:da:c1:4a:ed,0c:73:eb:d0:7e:f0,74:da:da:c1:3b:9d,74:da:da:c1:3a:81,0c:73:eb:d0:13:d0,74:da:da:c0:e0:69,74:da:da:c0:e0:71,0c:73:eb:d0:7c:48,0c:73:eb:d0:7f:18,74:da:da:98:7a:50,74:da:da:98:8d:78,74:da:da:98:ea:4c,bc:d1:77:5f:6a:b4,74:da:da:c0:f3:01,74:da:da:c1:4a:f5,74:da:da:98:7a:68,0c:73:eb:d0:13:c0,74:da:da:98:7a:60,0c:73:eb:d0:7c:08,74:da:da:98:91:d4,74:da:da:c0:d8:59,0c:73:eb:d0:7a:68,74:da:da:c1:3c:e1,0c:73:eb:d0:7e:e8,74:da:da:c1:56:ed,74:da:da:c0:d7:b9,74:da:da:c0:f4:69,0c:73:eb:d0:2a:48,74:da:da:c1:3b:4d,0c:73:eb:d0:7f:10,74:da:da:c1:3c:8d,74:da:da:c1:3b:49,0c:73:eb:d0:11:b0,0c:73:eb:d0:11:f8,74:da:da:c0:d7:19,0c:73:eb:d0:19:a8,74:da:da:c1:48:bd
1526451405283,-35,-40,-45,-50,-51,-51,-52,-61,-61,-63,-64,-65,-66,-67,-68,-68,-68,-72,-72,-74,-74,-74,-75,-76,-76,-76,-77,-77,-78,-79,-81,-81,-82,-84,-84,-86,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451408314,-31,-40,-48,-50,-51,-50,-52,-61,-77,-65,-64,-66,-66,-67,-68,-76,-68,-76,-72,-200,-74,-78,-75,-76,-76,-76,-77,-77,-74,-79,-81,-81,-85,-81,-90,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451411334,-31,-40,-48,-50,-51,-50,-52,-61,-77,-65,-64,-66,-66,-67,-68,-76,-68,-76,-72,-200,-74,-78,-75,-76,-76,-76,-77,-77,-74,-79,-81,-81,-85,-81,-90,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451414353,-31,-40,-48,-50,-51,-50,-52,-61,-77,-65,-64,-66,-66,-67,-68,-76,-68,-76,-72,-200,-74,-78,-75,-76,-76,-76,-77,-77,-74,-79,-81,-81,-85,-81,-90,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451417373,-29,-41,-48,-52,-63,-50,-62,-60,-77,-77,-66,-67,-63,-75,-72,-76,-71,-76,-200,-78,-200,-79,-80,-74,-82,-200,-200,-200,-75,-200,-78,-200,-85,-82,-90,-200,-200,-200,-77,-80,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451420382,-29,-41,-48,-50,-56,-50,-63,-61,-77,-72,-66,-67,-62,-71,-72,-70,-66,-70,-200,-78,-71,-79,-79,-75,-78,-74,-200,-200,-77,-200,-78,-200,-85,-82,-90,-200,-200,-200,-75,-80,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451423419,-29,-41,-48,-50,-56,-50,-63,-61,-77,-72,-66,-67,-62,-71,-72,-70,-66,-70,-200,-78,-71,-79,-79,-75,-78,-74,-200,-200,-77,-200,-78,-200,-85,-82,-90,-200,-200,-200,-75,-80,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451426467,-29,-41,-48,-50,-56,-50,-63,-61,-77,-72,-66,-67,-62,-71,-72,-70,-66,-70,-200,-78,-71,-79,-79,-75,-78,-74,-200,-200,-77,-200,-78,-200,-85,-82,-90,-200,-200,-200,-75,-80,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451429516,-29,-39,-47,-50,-53,-48,-61,-60,-200,-74,-64,-65,-62,-69,-70,-71,-68,-70,-74,-73,-74,-78,-79,-72,-78,-78,-200,-200,-76,-200,-200,-77,-200,-81,-200,-200,-200,-200,-75,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
