,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:3c:f5,0c:73:eb:d0:11:f0,74:da:da:c1:3c:dd,74:da:da:c1:3c:f9,74:da:da:c1:3c:99,74:da:da:c1:4b:01,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:e8,0c:73:eb:d0:7c:00,0c:73:eb:d0:7c:18,74:da:da:c1:3a:81,0c:73:eb:d0:11:f8,74:da:da:c1:4b:05,0c:73:eb:d0:7f:18,0c:73:eb:d0:13:d0,74:da:da:c1:4b:59,74:da:da:c0:e2:d9,0c:73:eb:d0:7c:10,0c:73:eb:d0:7e:f0,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:08,0c:73:eb:d0:7c:48,74:da:da:98:74:94,74:da:da:98:8d:78,74:da:da:c0:e0:71,74:da:da:c1:4a:ed,0c:73:eb:d0:13:c0,74:da:da:c0:e0:69,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7c:40,74:da:da:c0:f3:01,0c:73:eb:d0:7e:f8,74:da:da:c0:e0:81,0c:73:eb:d0:7a:68,74:da:da:c1:56:ed,0c:73:eb:d0:7f:08,74:da:da:98:7a:60,74:da:da:c0:d7:b9,74:da:da:98:7a:68,0c:73:eb:d0:7f:10,74:da:da:98:85:60,0c:73:eb:d0:7c:28,74:da:da:c1:03:2d,0c:73:eb:d0:76:58,74:da:da:98:91:d4,74:da:da:98:ea:4c,74:da:da:c0:d7:19,74:da:da:c1:3b:49,74:da:da:98:92:14,74:da:da:c1:3c:51,0c:73:eb:d0:11:d8,74:da:da:c1:48:bd,74:da:da:c1:3c:e1,d8:15:0d:6c:13:98,74:da:da:c0:f4:69,0c:73:eb:d0:11:e0
1526451813555,-43,-36,-49,-44,-46,-56,-48,-48,-44,-56,-51,-56,-51,-53,-71,-58,-71,-59,-200,-66,-68,-71,-200,-68,-75,-200,-74,-86,-74,-75,-200,-200,-80,-77,-200,-83,-81,-77,-80,-88,-82,-200,-200,-200,-74,-200,-62,-200,-200,-200,-74,-80,-74,-91,-200,-200
1526451816599,-43,-36,-49,-44,-46,-56,-48,-48,-44,-56,-51,-56,-51,-53,-71,-58,-71,-59,-200,-66,-68,-71,-200,-68,-75,-200,-74,-86,-74,-75,-200,-200,-80,-77,-200,-83,-81,-77,-80,-88,-82,-200,-200,-200,-74,-200,-62,-200,-200,-200,-74,-80,-74,-91,-200,-200
1526451819641,-43,-36,-46,-44,-50,-52,-54,-48,-48,-56,-51,-56,-55,-55,-77,-58,-67,-66,-200,-66,-72,-67,-70,-200,-200,-200,-200,-200,-76,-75,-70,-76,-79,-74,-200,-78,-81,-200,-82,-80,-81,-80,-200,-200,-200,-200,-68,-200,-200,-200,-74,-80,-200,-91,-80,-86
1526451822686,-43,-36,-48,-45,-53,-52,-49,-48,-44,-50,-51,-57,-54,-60,-77,-58,-67,-63,-200,-67,-68,-67,-70,-70,-200,-200,-71,-200,-76,-75,-71,-76,-81,-73,-200,-80,-81,-200,-82,-80,-82,-79,-200,-200,-200,-200,-66,-200,-200,-200,-74,-80,-200,-91,-80,-86
1526451825699,-43,-36,-48,-45,-53,-52,-49,-48,-44,-50,-51,-57,-54,-60,-77,-58,-67,-63,-200,-67,-68,-67,-70,-70,-200,-200,-71,-200,-76,-75,-71,-76,-81,-73,-200,-80,-81,-200,-82,-80,-82,-79,-200,-200,-200,-200,-66,-200,-200,-200,-74,-80,-200,-91,-80,-86
1526451828747,-43,-36,-48,-45,-53,-52,-49,-48,-44,-50,-51,-57,-54,-60,-77,-58,-67,-63,-200,-67,-68,-67,-70,-70,-200,-200,-71,-200,-76,-75,-71,-76,-81,-73,-200,-80,-81,-200,-82,-80,-82,-79,-200,-200,-200,-200,-66,-200,-200,-200,-74,-80,-200,-91,-80,-86
1526451831792,-41,-37,-48,-43,-51,-52,-52,-48,-45,-51,-52,-68,-54,-55,-69,-60,-68,-59,-200,-68,-68,-70,-200,-70,-71,-200,-71,-200,-78,-70,-71,-80,-77,-73,-200,-81,-200,-200,-200,-200,-82,-79,-200,-200,-75,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451834837,-41,-37,-52,-44,-51,-55,-49,-55,-49,-51,-51,-60,-56,-55,-69,-60,-68,-57,-200,-68,-67,-70,-200,-70,-69,-200,-71,-200,-77,-70,-71,-80,-77,-73,-200,-83,-200,-200,-200,-200,-82,-80,-200,-200,-74,-200,-63,-200,-200,-200,-75,-81,-200,-200,-200,-200
1526451837882,-41,-37,-52,-44,-51,-55,-49,-55,-49,-51,-51,-60,-56,-55,-69,-60,-68,-57,-200,-68,-67,-70,-200,-70,-69,-200,-71,-200,-77,-70,-71,-80,-77,-73,-200,-83,-200,-200,-200,-200,-82,-80,-200,-200,-74,-200,-63,-200,-200,-200,-75,-81,-200,-200,-200,-200
1526451840926,-41,-37,-52,-44,-51,-55,-49,-55,-49,-51,-51,-60,-56,-55,-69,-60,-68,-57,-200,-68,-67,-70,-200,-70,-69,-200,-71,-200,-77,-70,-71,-80,-77,-73,-200,-83,-200,-200,-200,-200,-82,-80,-200,-200,-74,-200,-63,-200,-200,-200,-75,-81,-200,-200,-200,-200
1526451843969,-41,-36,-51,-45,-54,-56,-48,-48,-49,-51,-51,-55,-56,-56,-69,-60,-68,-59,-200,-66,-67,-68,-200,-200,-71,-200,-200,-200,-77,-70,-200,-200,-200,-74,-200,-84,-200,-200,-81,-200,-200,-80,-200,-200,-74,-200,-63,-200,-200,-200,-75,-81,-76,-200,-200,-200
