,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whjx-gaofeng-13,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,74:da:da:98:90:94,0c:73:eb:d0:13:c8,74:da:da:c1:3c:45,0c:73:eb:d0:76:18,50:3a:a0:ea:01:66,74:da:da:98:ea:54,0c:73:eb:d0:19:90,74:da:da:c1:3c:11,0c:73:eb:d0:19:c8,0c:73:eb:d0:13:90,74:da:da:98:90:95,0c:73:eb:d0:19:c0,74:da:da:c1:3c:55,74:da:da:98:66:cc,0c:73:eb:d0:13:b0,74:da:da:c1:3c:46,74:da:da:c1:3c:4d,74:da:da:c0:d7:11,74:da:da:98:74:80,0c:73:eb:d0:76:10,74:da:da:98:90:2c,74:da:da:98:85:4c,0c:73:eb:d0:11:c8,74:da:da:98:74:34,74:da:da:98:8f:30,0c:73:eb:d0:11:d8,74:da:da:c0:d6:ed,c0:61:18:93:35:28,74:da:da:98:66:cd,74:da:da:c1:3c:12,0c:73:eb:d0:76:28,74:da:da:c1:3c:86,74:da:da:c1:3c:56,58:6a:b1:be:ee:b0,74:da:da:98:90:2d,74:da:da:c1:3c:85,74:da:da:98:ea:64,74:da:da:98:ea:5c,74:da:da:c1:3d:2d,0c:73:eb:d0:2a:90,74:da:da:c0:d6:f5,c0:61:18:93:3e:54,74:da:da:c0:d9:39,0c:73:eb:d0:19:80,0c:73:eb:d0:7f:08,74:da:da:98:85:60,74:da:da:98:74:74,0c:73:eb:d0:19:a0,0c:73:eb:d0:2a:50,0c:73:eb:d0:13:98,74:da:da:98:ea:50
1526458239420,-34,-39,-41,-46,-46,-47,-49,-49,-52,-52,-52,-55,-55,-55,-60,-60,-60,-63,-66,-66,-66,-67,-68,-70,-74,-80,-80,-81,-83,-83,-83,-85,-89,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458242294,-37,-39,-44,-51,-46,-47,-56,-45,-49,-58,-56,-57,-51,-57,-65,-53,-60,-72,-66,-66,-65,-76,-58,-67,-74,-80,-80,-81,-86,-86,-83,-85,-87,-90,-90,-57,-66,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458242435,-37,-39,-44,-51,-46,-47,-56,-45,-49,-58,-56,-57,-51,-57,-65,-53,-200,-72,-66,-66,-65,-76,-58,-67,-200,-80,-80,-200,-86,-86,-83,-85,-87,-200,-90,-57,-66,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458245311,-37,-39,-44,-51,-46,-47,-56,-45,-49,-58,-56,-57,-51,-57,-65,-53,-200,-72,-66,-66,-65,-76,-58,-67,-200,-80,-80,-200,-86,-86,-83,-85,-87,-200,-90,-57,-66,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458245447,-37,-39,-44,-51,-46,-47,-56,-45,-49,-58,-56,-57,-51,-57,-65,-53,-200,-72,-66,-66,-65,-76,-58,-67,-200,-80,-80,-200,-86,-86,-83,-85,-87,-200,-90,-57,-66,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458248323,-40,-31,-48,-45,-45,-47,-60,-47,-51,-57,-62,-57,-55,-57,-65,-53,-60,-62,-72,-66,-57,-76,-56,-70,-76,-80,-80,-87,-86,-80,-83,-85,-83,-200,-86,-56,-65,-73,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458248470,-40,-31,-48,-45,-45,-47,-60,-47,-51,-57,-62,-57,-55,-57,-65,-53,-60,-62,-72,-66,-57,-76,-56,-70,-76,-80,-80,-87,-86,-80,-83,-85,-83,-200,-86,-56,-65,-73,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458251334,-40,-31,-48,-45,-45,-47,-60,-47,-51,-57,-62,-57,-55,-57,-65,-53,-60,-62,-72,-66,-57,-76,-56,-70,-76,-80,-80,-87,-86,-80,-83,-85,-83,-200,-86,-56,-65,-73,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458251482,-40,-31,-48,-45,-45,-47,-60,-47,-51,-57,-62,-57,-55,-57,-65,-53,-60,-62,-72,-66,-57,-76,-56,-70,-76,-80,-80,-87,-86,-80,-83,-85,-83,-200,-86,-56,-65,-73,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
