,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314
,0c:73:eb:d0:13:c8,74:da:da:98:90:94,74:da:da:c1:3c:45,74:da:da:c1:3c:11,0c:73:eb:d0:76:18,0c:73:eb:d0:13:90,74:da:da:c1:3c:46,0c:73:eb:d0:19:c8,0c:73:eb:d0:19:90,74:da:da:98:90:95,74:da:da:c1:3c:55,50:3a:a0:ea:01:66,0c:73:eb:d0:19:c0,74:da:da:98:66:cc,0c:73:eb:d0:11:c8,74:da:da:c0:d7:11,0c:73:eb:d0:13:b0,74:da:da:c1:3c:4d,74:da:da:98:90:2c,74:da:da:c1:3c:12,74:da:da:98:74:34,74:da:da:98:85:4c,0c:73:eb:d0:2a:50,0c:73:eb:d0:19:80,74:da:da:c1:3c:86,74:da:da:98:74:80,74:da:da:c1:3c:56,74:da:da:98:66:cd,0c:73:eb:d0:13:98,0c:73:eb:d0:2a:90,74:da:da:98:85:60,74:da:da:98:ea:64,74:da:da:98:ea:54,0c:73:eb:d0:19:a0,74:da:da:c0:d7:9d,0c:73:eb:d0:76:28,74:da:da:98:90:2d,74:da:da:c0:d9:39,74:da:da:c1:3c:85,0c:73:eb:d0:76:30,74:da:da:98:8f:30,74:da:da:98:ea:5c,0c:73:eb:d0:76:10,0c:73:eb:d0:13:b8,74:da:da:c0:d6:f5,c0:61:18:93:35:28
1526458679241,-30,-38,-44,-45,-46,-50,-50,-53,-54,-55,-56,-56,-58,-59,-60,-62,-63,-66,-71,-73,-75,-75,-78,-78,-79,-79,-80,-84,-85,-87,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458682252,-35,-38,-44,-45,-46,-52,-52,-61,-55,-63,-56,-48,-58,-59,-60,-62,-64,-66,-63,-78,-75,-75,-78,-78,-78,-64,-81,-81,-85,-87,-93,-61,-62,-72,-77,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458685272,-35,-38,-44,-45,-46,-52,-52,-61,-55,-63,-56,-48,-58,-59,-60,-62,-64,-66,-63,-78,-75,-75,-200,-78,-78,-64,-81,-81,-85,-87,-93,-61,-62,-72,-77,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458688290,-33,-38,-39,-45,-46,-49,-52,-61,-57,-63,-55,-55,-58,-59,-60,-63,-64,-66,-63,-79,-71,-72,-200,-78,-84,-62,-82,-78,-85,-87,-93,-61,-62,-72,-77,-85,-89,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526458691296,-33,-38,-39,-45,-46,-49,-52,-61,-57,-63,-55,-55,-58,-59,-60,-63,-64,-66,-63,-79,-71,-72,-200,-78,-84,-62,-82,-78,-85,-87,-93,-61,-62,-72,-77,-85,-89,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526458694314,-33,-38,-37,-42,-46,-53,-58,-57,-53,-63,-56,-47,-58,-59,-66,-66,-61,-68,-58,-82,-68,-69,-200,-78,-84,-62,-79,-78,-80,-87,-93,-61,-62,-72,-77,-85,-89,-84,-50,-72,-72,-200,-200,-200,-200,-200
1526458697327,-33,-38,-37,-42,-46,-53,-58,-57,-53,-63,-56,-47,-58,-59,-66,-66,-61,-68,-58,-82,-68,-69,-200,-78,-84,-62,-79,-78,-80,-200,-93,-61,-62,-72,-77,-85,-89,-84,-50,-72,-72,-200,-200,-200,-200,-200
1526458700341,-24,-38,-36,-41,-46,-56,-51,-58,-54,-61,-56,-47,-58,-62,-63,-66,-60,-68,-58,-82,-68,-69,-84,-78,-85,-66,-83,-76,-80,-87,-93,-61,-62,-75,-77,-85,-91,-84,-51,-72,-72,-200,-200,-200,-200,-200
1526458703349,-24,-38,-36,-41,-46,-56,-51,-58,-54,-61,-56,-47,-58,-62,-63,-66,-60,-68,-58,-82,-68,-69,-84,-200,-85,-66,-83,-76,-80,-87,-93,-61,-62,-75,-77,-85,-91,-84,-51,-72,-72,-200,-200,-200,-200,-200
