,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,DQKJ,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:13:d0,74:da:da:c0:e2:d9,74:da:da:c0:d7:19,0c:73:eb:d0:11:e8,0c:73:eb:d0:7c:00,0c:73:eb:d0:7f:18,74:da:da:c1:3c:f5,0c:73:eb:d0:11:e0,0c:73:eb:d0:7f:10,0c:73:eb:d0:7f:08,74:da:da:98:85:00,74:da:da:c1:56:a1,74:da:da:98:91:d4,74:da:da:c1:48:bd,74:da:da:c1:3c:99,74:da:da:c0:f4:69,74:da:da:c0:f3:01,74:da:da:98:85:60,0c:73:eb:d0:7c:08,0c:73:eb:d0:13:a8,74:da:da:c1:6b:4d,0c:73:eb:d0:7c:38,0c:73:eb:d0:11:f8,74:da:da:c0:d7:b9,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7a:68,74:da:da:98:92:14,74:da:da:c1:3a:dd,74:da:da:c1:3a:81,74:da:da:c1:3c:f9,0c:73:eb:d0:11:f0,0c:73:eb:d0:19:b8,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:51,74:da:da:c1:56:ed,0c:73:eb:d0:7c:18,74:da:da:c0:e0:69,c0:61:18:93:35:28,74:da:da:c1:3c:dd,ec:26:ca:0b:d4:1e,0c:73:eb:d0:7c:28,0c:73:eb:d0:7c:30,0c:73:eb:d0:76:30,74:da:da:c0:d7:0d,74:da:da:c1:3c:8d,0c:73:eb:d0:2a:10,0c:73:eb:d0:76:48,74:da:da:c1:4b:59,74:da:da:c1:3c:cd
1526457863010,-36,-39,-48,-57,-58,-58,-62,-67,-67,-68,-68,-68,-68,-69,-69,-70,-72,-72,-73,-73,-73,-76,-76,-76,-77,-78,-79,-79,-81,-84,-88,-88,-90,-92,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457866047,-36,-39,-48,-57,-58,-58,-62,-67,-67,-68,-68,-68,-68,-69,-69,-70,-72,-72,-73,-73,-73,-76,-76,-76,-77,-78,-79,-79,-81,-84,-88,-88,-90,-92,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457869088,-30,-39,-58,-54,-50,-53,-59,-58,-57,-200,-69,-68,-64,-69,-73,-65,-72,-200,-70,-71,-200,-76,-76,-59,-66,-73,-82,-80,-77,-84,-200,-79,-84,-92,-92,-93,-73,-77,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457872127,-30,-39,-58,-54,-50,-53,-59,-58,-57,-200,-69,-68,-64,-69,-73,-65,-72,-200,-70,-71,-200,-76,-76,-59,-66,-73,-82,-80,-77,-84,-200,-79,-84,-92,-92,-93,-73,-77,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457875171,-34,-37,-56,-54,-52,-54,-58,-56,-64,-200,-69,-200,-63,-58,-72,-63,-57,-200,-64,-72,-82,-68,-80,-65,-75,-69,-82,-81,-77,-73,-86,-76,-84,-200,-200,-200,-80,-77,-83,-78,-83,-85,-86,-200,-200,-200,-200,-200,-200,-200
1526457878211,-34,-41,-55,-53,-55,-54,-58,-57,-64,-200,-70,-200,-63,-58,-71,-63,-57,-200,-65,-76,-82,-69,-80,-64,-70,-69,-82,-79,-77,-73,-86,-76,-82,-200,-200,-74,-80,-77,-83,-78,-83,-91,-86,-88,-200,-200,-200,-200,-200,-200
1526457881256,-34,-41,-55,-53,-55,-54,-58,-57,-64,-200,-70,-200,-63,-58,-71,-63,-57,-200,-65,-76,-82,-69,-80,-64,-70,-69,-82,-79,-77,-73,-86,-76,-82,-200,-200,-74,-80,-77,-83,-78,-83,-91,-86,-88,-200,-200,-200,-200,-200,-200
1526457884304,-34,-41,-55,-53,-55,-54,-58,-57,-64,-200,-70,-200,-63,-58,-71,-63,-57,-200,-65,-76,-82,-69,-80,-64,-70,-69,-82,-79,-77,-73,-86,-76,-82,-200,-200,-74,-80,-77,-83,-78,-83,-91,-86,-88,-200,-200,-200,-200,-200,-200
1526457887354,-30,-39,-55,-53,-47,-53,-57,-57,-61,-74,-69,-72,-63,-60,-71,-64,-56,-71,-73,-76,-80,-68,-70,-65,-75,-69,-74,-79,-77,-75,-200,-75,-81,-83,-81,-77,-70,-200,-200,-81,-84,-91,-84,-88,-79,-83,-200,-200,-200,-200
1526457890408,-31,-41,-55,-53,-45,-53,-57,-59,-61,-72,-69,-70,-65,-60,-72,-65,-55,-71,-71,-74,-80,-68,-72,-65,-74,-69,-72,-78,-79,-75,-200,-75,-82,-83,-81,-77,-73,-200,-200,-81,-84,-91,-84,-88,-79,-83,-91,-92,-200,-200
1526457893453,-31,-41,-55,-53,-45,-53,-57,-59,-61,-72,-69,-70,-65,-60,-72,-65,-55,-71,-71,-74,-80,-68,-72,-65,-74,-69,-72,-78,-79,-75,-200,-75,-82,-83,-81,-77,-73,-200,-200,-81,-84,-91,-84,-88,-79,-83,-91,-92,-200,-200
1526457896499,-31,-41,-55,-53,-45,-53,-57,-59,-61,-72,-69,-70,-65,-60,-72,-65,-55,-71,-71,-74,-80,-68,-72,-65,-74,-69,-72,-78,-79,-75,-200,-75,-82,-83,-81,-77,-73,-200,-200,-81,-84,-91,-84,-88,-79,-83,-91,-92,-200,-200
1526457899548,-45,-37,-61,-54,-47,-55,-63,-59,-75,-72,-73,-70,-66,-61,-72,-69,-58,-74,-68,-74,-82,-73,-80,-63,-71,-79,-73,-78,-79,-73,-200,-79,-83,-200,-81,-67,-75,-76,-200,-200,-82,-87,-79,-200,-82,-84,-91,-87,-86,-91
1526457902596,-38,-36,-57,-54,-50,-54,-63,-57,-65,-76,-72,-70,-66,-68,-72,-67,-59,-69,-66,-72,-82,-66,-80,-63,-67,-77,-73,-78,-80,-73,-200,-75,-83,-200,-81,-67,-75,-76,-200,-200,-82,-87,-85,-200,-82,-84,-91,-87,-86,-91
1526457905635,-38,-36,-57,-54,-50,-54,-63,-57,-65,-76,-72,-70,-66,-68,-72,-67,-59,-69,-66,-72,-82,-66,-80,-63,-67,-77,-73,-78,-80,-73,-200,-75,-83,-200,-81,-67,-75,-76,-200,-200,-82,-87,-85,-200,-82,-84,-91,-87,-86,-91
