,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018
,0c:73:eb:d0:13:d0,0c:73:eb:d0:11:e8,74:da:da:c0:e2:d9,0c:73:eb:d0:7c:00,74:da:da:c1:3c:f5,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:f0,0c:73:eb:d0:7f:10,0c:73:eb:d0:7c:08,74:da:da:c0:f4:69,74:da:da:c1:3c:99,0c:73:eb:d0:11:e0,74:da:da:c0:d7:b9,74:da:da:98:91:d4,74:da:da:c0:d7:19,74:da:da:98:85:00,74:da:da:c0:f3:01,0c:73:eb:d0:7e:e8,74:da:da:c1:48:bd,0c:73:eb:d0:13:a8,74:da:da:c0:e0:69,0c:73:eb:d0:7c:18,74:da:da:98:85:60,74:da:da:c1:3a:81,0c:73:eb:d0:11:f8,74:da:da:c1:3c:dd,0c:73:eb:d0:7f:08,0c:73:eb:d0:7c:30,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7c:38,74:da:da:c1:56:ed,74:da:da:98:92:14,74:da:da:c1:3a:dd,74:da:da:c1:56:a1,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:10,0c:73:eb:d0:7a:68,74:da:da:c0:d7:0d,74:da:da:98:ea:4c,74:da:da:c1:3c:51,74:da:da:98:74:94,74:da:da:c1:4b:05,74:da:da:c1:6b:4d,74:da:da:c1:4b:01,ec:26:ca:0b:d4:1e,74:da:da:98:85:4c,0c:73:eb:d0:7c:28,c0:61:18:93:35:28,0c:73:eb:d0:76:48
1526458089552,-35,-41,-51,-59,-59,-61,-64,-65,-65,-66,-66,-67,-67,-68,-69,-69,-69,-70,-71,-72,-72,-74,-75,-75,-77,-78,-79,-79,-80,-82,-82,-82,-83,-84,-84,-85,-86,-86,-87,-88,-88,-89,-200,-200,-200,-200,-200,-200,-200
1526458092589,-36,-39,-50,-57,-55,-57,-64,-65,-67,-65,-58,-69,-70,-68,-60,-71,-67,-70,-73,-74,-72,-74,-75,-79,-81,-78,-79,-79,-80,-81,-82,-82,-82,-69,-80,-84,-76,-86,-87,-200,-88,-88,-80,-200,-200,-200,-200,-200,-200
1526458095637,-36,-39,-50,-57,-55,-57,-64,-65,-67,-65,-58,-69,-70,-68,-60,-71,-67,-70,-73,-74,-72,-74,-75,-79,-81,-78,-79,-79,-80,-81,-82,-82,-82,-69,-80,-84,-76,-86,-87,-200,-88,-88,-80,-200,-200,-200,-200,-200,-200
1526458098670,-36,-39,-50,-57,-55,-57,-64,-65,-67,-65,-58,-69,-70,-68,-60,-71,-67,-70,-73,-74,-72,-74,-75,-79,-81,-78,-79,-79,-80,-81,-82,-82,-82,-69,-80,-84,-76,-86,-87,-200,-88,-88,-80,-200,-200,-200,-200,-200,-200
1526458101700,-36,-36,-53,-62,-54,-56,-66,-65,-67,-68,-54,-64,-73,-200,-53,-75,-66,-73,-73,-75,-200,-73,-200,-76,-81,-74,-78,-79,-78,-81,-78,-200,-82,-68,-80,-84,-76,-200,-200,-200,-200,-88,-83,-80,-88,-91,-200,-200,-200
1526458104744,-58,-39,-53,-68,-54,-55,-66,-67,-67,-68,-53,-68,-73,-200,-52,-75,-68,-74,-73,-75,-200,-73,-200,-74,-81,-74,-72,-76,-79,-81,-78,-200,-82,-68,-76,-84,-76,-200,-200,-200,-200,-88,-83,-82,-88,-91,-200,-200,-200
1526458107776,-58,-39,-53,-68,-54,-55,-66,-67,-67,-68,-53,-68,-73,-200,-52,-75,-68,-74,-73,-75,-200,-73,-200,-74,-81,-74,-72,-76,-79,-81,-78,-200,-82,-68,-76,-84,-76,-200,-200,-200,-200,-88,-83,-82,-88,-91,-200,-200,-200
1526458110812,-58,-39,-53,-68,-54,-55,-66,-67,-67,-68,-53,-68,-73,-200,-52,-75,-68,-74,-73,-75,-200,-73,-200,-74,-81,-74,-72,-76,-79,-81,-78,-200,-82,-68,-76,-84,-76,-200,-200,-200,-200,-88,-83,-82,-88,-91,-200,-200,-200
1526458113824,-32,-39,-46,-64,-54,-55,-64,-69,-74,-64,-54,-65,-72,-200,-54,-200,-68,-74,-68,-200,-200,-71,-72,-76,-200,-200,-71,-76,-78,-200,-75,-88,-85,-200,-76,-200,-78,-200,-200,-200,-200,-200,-200,-80,-200,-200,-89,-200,-200
1526458116850,-36,-39,-46,-62,-55,-56,-62,-69,-67,-66,-54,-58,-72,-200,-53,-200,-69,-71,-68,-75,-73,-71,-72,-76,-200,-77,-71,-81,-80,-75,-74,-87,-85,-70,-76,-200,-78,-200,-200,-200,-200,-200,-200,-80,-200,-200,-89,-91,-200
1526458119892,-36,-39,-46,-62,-55,-56,-62,-69,-67,-66,-54,-58,-72,-200,-53,-200,-69,-71,-68,-75,-73,-71,-72,-76,-200,-77,-71,-81,-80,-75,-74,-87,-85,-70,-76,-200,-78,-200,-200,-200,-200,-200,-200,-80,-200,-200,-89,-91,-200
1526458122929,-36,-39,-46,-62,-55,-56,-62,-69,-67,-66,-54,-58,-72,-200,-53,-200,-69,-71,-68,-75,-73,-71,-72,-76,-200,-77,-71,-81,-80,-75,-74,-87,-85,-70,-76,-200,-78,-200,-200,-200,-200,-200,-200,-80,-200,-200,-89,-91,-200
1526458125945,-36,-33,-39,-56,-53,-53,-68,-64,-66,-65,-57,-62,-72,-76,-57,-200,-66,-71,-83,-74,-73,-78,-79,-79,-82,-77,-72,-80,-73,-77,-74,-87,-200,-64,-80,-86,-76,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-85
1526458128982,-37,-34,-46,-51,-53,-53,-67,-69,-66,-65,-55,-62,-71,-75,-57,-200,-65,-71,-72,-74,-73,-78,-79,-83,-80,-78,-72,-81,-73,-81,-74,-87,-200,-65,-80,-86,-73,-84,-200,-82,-200,-200,-200,-81,-200,-200,-200,-91,-85
