,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:17,78:A5:04:41:E5:68,78:A5:04:41:EB:97,78:A5:04:41:E9:A0,78:A5:04:41:EE:06,78:A5:04:41:EB:C3,78:A5:04:41:EE:17,78:A5:04:41:E9:B3,78:A5:04:41:EB:F1,78:A5:04:41:EB:BA,78:A5:04:41:E9:98,78:A5:04:41:E9:CC,78:A5:04:41:EB:A5,BC:6A:29:BE:2F:54,78:A5:04:41:E9:AB,78:A5:04:41:EB:AD,78:A5:04:41:E9:D5,78:A5:04:41:E5:6B,78:A5:04:41:E7:D4
1526451330862,-99,-79,-92,-93,-66,-85,-63,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451330977,-99,-78,-200,-200,-200,-87,-200,-200,-81,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451331082,-200,-79,-93,-90,-67,-87,-63,-200,-83,-200,-66,-69,-88,-200,-200,-200,-200,-200,-200
1526451331237,-99,-74,-92,-200,-200,-200,-200,-200,-200,-200,-66,-67,-84,-97,-66,-200,-200,-200,-200
1526451335708,-101,-200,-200,-200,-200,-200,-200,-200,-90,-200,-68,-67,-85,-200,-66,-88,-200,-200,-200
1526451335828,-200,-200,-200,-200,-200,-200,-74,-200,-90,-200,-200,-67,-200,-200,-66,-88,-93,-200,-200
1526451335951,-99,-200,-200,-200,-65,-85,-200,-200,-200,-200,-68,-200,-83,-200,-66,-79,-200,-200,-200
1526451345572,-200,-82,-200,-200,-66,-85,-200,-200,-200,-82,-79,-80,-83,-200,-76,-200,-200,-87,-200
1526451345683,-200,-82,-200,-200,-66,-85,-69,-200,-200,-82,-79,-200,-200,-200,-76,-200,-200,-86,-200
1526451345792,-200,-82,-200,-200,-66,-200,-69,-200,-200,-82,-79,-200,-83,-200,-76,-79,-200,-86,-200
1526451345927,-200,-81,-200,-200,-200,-200,-200,-200,-200,-82,-78,-80,-200,-200,-200,-78,-200,-200,-200
1526451350557,-200,-200,-200,-200,-200,-86,-64,-200,-200,-88,-68,-81,-83,-99,-67,-200,-200,-200,-200
1526451350692,-200,-200,-200,-200,-75,-200,-65,-200,-84,-200,-200,-70,-84,-200,-68,-200,-200,-200,-200
1526451350791,-97,-200,-200,-200,-200,-200,-65,-200,-84,-88,-68,-200,-84,-200,-68,-200,-200,-200,-200
1526451350926,-94,-200,-200,-200,-63,-200,-200,-200,-84,-88,-200,-69,-200,-200,-200,-200,-200,-200,-200
1526451355599,-95,-200,-200,-200,-63,-200,-64,-200,-200,-87,-200,-200,-90,-200,-200,-82,-200,-200,-89
1526451355772,-95,-79,-200,-200,-63,-200,-64,-200,-200,-200,-200,-200,-200,-99,-68,-200,-92,-200,-200
1526451355874,-97,-200,-200,-200,-63,-200,-64,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200
1526451355981,-96,-78,-200,-200,-63,-84,-65,-200,-200,-200,-74,-200,-200,-200,-80,-200,-200,-200,-200
1526451360692,-200,-200,-200,-200,-63,-84,-200,-200,-200,-200,-74,-200,-200,-200,-81,-88,-200,-200,-91
1526451360815,-200,-200,-200,-200,-63,-200,-200,-200,-200,-88,-200,-200,-200,-200,-82,-200,-200,-200,-200
1526451360902,-200,-78,-200,-200,-62,-84,-200,-200,-200,-200,-74,-200,-200,-200,-85,-200,-200,-200,-200
1526451365763,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451365854,-100,-78,-200,-200,-66,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
1526451365968,-200,-200,-200,-200,-67,-200,-64,-200,-200,-200,-68,-75,-200,-200,-200,-88,-200,-200,-200
1526451366087,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-68,-200,-81,-200,-66,-200,-200,-91,-200
1526451370607,-200,-76,-200,-200,-63,-200,-200,-200,-200,-200,-75,-76,-200,-200,-74,-200,-200,-200,-200
1526451370745,-200,-76,-200,-200,-63,-200,-68,-200,-200,-86,-75,-200,-200,-200,-75,-200,-200,-200,-200
1526451370843,-200,-76,-200,-200,-63,-200,-200,-200,-200,-85,-75,-76,-83,-200,-75,-200,-200,-200,-200
1526451370945,-200,-76,-200,-200,-74,-89,-200,-200,-200,-86,-76,-76,-200,-200,-75,-200,-200,-200,-90
1526451375596,-200,-200,-200,-200,-82,-200,-200,-200,-87,-200,-69,-200,-200,-200,-200,-200,-200,-200,-91
1526451375692,-200,-200,-200,-200,-75,-200,-200,-200,-87,-200,-69,-200,-84,-200,-68,-200,-200,-200,-200
1526451375793,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200
1526451375895,-97,-200,-200,-200,-70,-200,-200,-200,-87,-200,-69,-69,-200,-200,-68,-200,-200,-200,-200
1526451375991,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-69,-74,-81,-200,-66,-200,-200,-200,-200
1526451380627,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-81,-200,-66,-200,-200,-200,-200
1526451380735,-99,-80,-200,-200,-68,-200,-69,-200,-200,-200,-69,-200,-80,-200,-66,-89,-200,-200,-200
1526451380863,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-66,-200,-200,-200,-200
1526451381008,-200,-73,-200,-200,-200,-88,-69,-200,-200,-200,-76,-200,-84,-200,-66,-200,-200,-200,-200
1526451385620,-200,-74,-200,-200,-65,-200,-69,-200,-91,-88,-76,-200,-83,-200,-73,-200,-200,-200,-90
1526451385749,-200,-74,-200,-200,-65,-200,-200,-200,-90,-200,-77,-78,-200,-200,-73,-200,-200,-200,-200
1526451385858,-200,-200,-200,-200,-65,-200,-69,-200,-91,-200,-200,-78,-83,-200,-200,-200,-200,-200,-200
1526451385965,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451390579,-96,-81,-200,-200,-68,-200,-68,-200,-85,-200,-200,-70,-82,-200,-69,-200,-200,-200,-200
1526451390665,-200,-80,-200,-200,-68,-200,-68,-200,-85,-200,-200,-200,-82,-200,-69,-200,-200,-200,-92
1526451390765,-94,-80,-200,-200,-68,-86,-200,-200,-86,-91,-200,-200,-82,-200,-68,-200,-200,-200,-200
1526451390864,-200,-80,-200,-200,-68,-87,-200,-200,-200,-200,-200,-74,-82,-200,-68,-200,-200,-200,-200
1526451390977,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
