,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:2F:54,78:A5:04:41:EB:C3,78:A5:04:41:E9:CC,78:A5:04:41:EB:AD,78:A5:04:41:E9:98,78:A5:04:41:EE:06,78:A5:04:41:EB:F1,78:A5:04:41:EE:17,78:A5:04:41:EB:A5,78:A5:04:41:E5:68,BC:6A:29:BE:31:17,78:A5:04:41:E9:AB,78:A5:04:41:E9:D5,78:A5:04:41:EB:BA,78:A5:04:41:E7:D4
1526452160724,-94,-86,-81,-87,-91,-61,-76,-67,-86,-200,-200,-200,-200,-200,-200
1526452160863,-97,-86,-82,-87,-200,-61,-75,-68,-85,-200,-200,-200,-200,-200,-200
1526452165646,-200,-200,-78,-200,-200,-62,-92,-60,-88,-66,-200,-200,-200,-200,-200
1526452165753,-200,-200,-200,-200,-87,-62,-92,-60,-87,-200,-200,-200,-200,-200,-200
1526452165854,-94,-200,-78,-90,-87,-200,-93,-200,-88,-67,-200,-200,-200,-200,-200
1526452165975,-200,-200,-78,-90,-87,-200,-91,-200,-200,-67,-200,-200,-200,-200,-200
1526452170556,-200,-200,-77,-200,-83,-61,-200,-60,-200,-74,-95,-200,-200,-200,-200
1526452170656,-200,-200,-200,-200,-200,-61,-86,-200,-200,-74,-200,-78,-200,-200,-200
1526452170766,-200,-200,-78,-83,-82,-62,-86,-61,-200,-74,-96,-78,-200,-200,-200
1526452170932,-200,-200,-80,-83,-200,-61,-86,-61,-200,-74,-200,-200,-200,-200,-200
1526452175562,-200,-85,-200,-87,-200,-60,-200,-67,-200,-68,-200,-84,-200,-200,-200
1526452175718,-95,-85,-80,-200,-86,-60,-200,-68,-86,-67,-200,-84,-200,-200,-200
1526452175859,-94,-200,-80,-200,-200,-60,-76,-68,-200,-67,-200,-200,-200,-200,-200
1526452180570,-200,-200,-82,-92,-85,-61,-92,-60,-86,-66,-200,-80,-200,-200,-200
1526452180671,-101,-200,-83,-92,-85,-61,-200,-60,-87,-66,-100,-200,-200,-200,-200
1526452180786,-100,-200,-200,-200,-85,-61,-200,-60,-200,-66,-200,-200,-94,-200,-200
1526452180894,-99,-200,-82,-200,-200,-61,-200,-60,-86,-74,-200,-200,-200,-200,-200
1526452185574,-200,-200,-77,-200,-200,-200,-85,-200,-200,-200,-97,-200,-200,-86,-200
1526452185695,-200,-200,-200,-200,-200,-60,-85,-60,-200,-200,-99,-200,-200,-86,-93
1526452185795,-200,-200,-77,-200,-83,-60,-200,-200,-200,-200,-96,-77,-200,-87,-200
1526452185962,-200,-200,-200,-200,-84,-200,-85,-200,-200,-200,-200,-200,-200,-86,-200
1526452190569,-95,-85,-76,-86,-85,-200,-77,-200,-84,-200,-200,-90,-200,-200,-200
1526452190655,-200,-86,-76,-86,-85,-60,-76,-69,-84,-200,-200,-89,-200,-200,-200
1526452190757,-200,-200,-77,-200,-85,-60,-77,-68,-84,-67,-200,-89,-200,-200,-200
1526452190871,-95,-86,-200,-200,-85,-60,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526452190970,-200,-200,-200,-200,-85,-200,-200,-60,-87,-200,-200,-80,-200,-200,-200
1526452195658,-200,-200,-200,-200,-86,-60,-200,-60,-87,-200,-200,-81,-200,-200,-200
1526452195812,-200,-200,-200,-92,-200,-60,-92,-200,-87,-200,-96,-200,-200,-86,-200
1526452200620,-200,-200,-200,-200,-83,-60,-200,-61,-200,-74,-200,-77,-200,-200,-200
1526452200737,-200,-200,-77,-84,-83,-60,-200,-61,-200,-74,-98,-200,-200,-87,-200
1526452200842,-200,-200,-200,-84,-200,-60,-85,-61,-200,-74,-97,-200,-200,-87,-200
1526452205558,-96,-85,-78,-88,-200,-60,-200,-68,-85,-68,-200,-86,-200,-200,-200
1526452205641,-200,-85,-78,-88,-87,-60,-77,-67,-200,-67,-200,-200,-200,-200,-200
1526452205747,-200,-85,-78,-87,-200,-60,-200,-68,-85,-68,-98,-200,-200,-200,-200
1526452205852,-94,-200,-78,-200,-200,-60,-77,-67,-85,-67,-200,-85,-200,-200,-200
1526452205957,-200,-200,-200,-200,-86,-60,-200,-67,-200,-200,-100,-79,-200,-200,-200
1526452210580,-200,-200,-200,-200,-86,-61,-90,-60,-88,-65,-100,-79,-200,-200,-200
1526452210700,-200,-200,-200,-200,-87,-61,-91,-200,-88,-66,-200,-79,-200,-200,-200
1526452210867,-200,-200,-200,-200,-89,-200,-93,-200,-200,-200,-99,-200,-200,-200,-200
1526452211092,-200,-200,-78,-200,-89,-65,-84,-60,-87,-66,-200,-77,-200,-200,-200
1526452215638,-200,-200,-78,-84,-200,-60,-83,-60,-200,-74,-96,-77,-200,-200,-200
1526452215735,-200,-200,-200,-84,-200,-60,-83,-61,-200,-200,-200,-200,-200,-200,-200
1526452215842,-200,-200,-78,-200,-83,-60,-84,-200,-200,-74,-97,-200,-200,-200,-200
1526452215954,-200,-200,-200,-200,-200,-60,-200,-200,-200,-200,-200,-77,-200,-200,-200
1526452220559,-95,-200,-200,-86,-86,-60,-200,-200,-200,-67,-200,-86,-200,-200,-200
1526452220665,-96,-85,-200,-86,-87,-200,-77,-67,-200,-200,-200,-200,-200,-200,-200
1526452220780,-95,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452220977,-95,-200,-87,-87,-200,-200,-85,-200,-84,-200,-200,-200,-200,-200,-200
1526452221336,-95,-200,-200,-200,-87,-60,-80,-200,-200,-66,-100,-200,-200,-200,-200
1526452221489,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-99,-200,-200,-200,-200
