,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:17,78:A5:04:41:E5:68,78:A5:04:41:E7:D4,BC:6A:29:BE:31:17,78:A5:04:41:EB:AD,78:A5:04:41:EB:F1,78:A5:04:41:E9:CC,78:A5:04:41:E9:AB,78:A5:04:41:EB:C3,78:A5:04:41:EB:A5,78:A5:04:41:EB:9C,78:A5:04:41:E9:98,78:A5:04:41:EE:06,BC:6A:29:BE:2F:54,78:A5:04:41:E5:6B,78:A5:04:41:EB:BA,78:A5:04:41:E5:4E
1526451630727,-68,-70,-89,-87,-80,-79,-64,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451630806,-68,-69,-200,-88,-79,-200,-64,-77,-79,-82,-90,-77,-76,-200,-200,-200,-200
1526451630913,-68,-81,-200,-88,-200,-80,-64,-77,-200,-82,-200,-77,-76,-98,-92,-200,-200
1526451635580,-200,-73,-200,-90,-200,-84,-200,-200,-80,-200,-200,-78,-76,-200,-200,-200,-200
1526451635724,-86,-75,-200,-200,-200,-84,-200,-200,-80,-200,-200,-200,-77,-200,-200,-200,-200
1526451635846,-200,-200,-200,-90,-85,-83,-65,-83,-82,-92,-200,-77,-76,-200,-92,-200,-200
1526451635948,-200,-200,-95,-90,-85,-85,-200,-200,-81,-200,-200,-77,-200,-200,-200,-200,-200
1526451640629,-66,-200,-200,-200,-80,-85,-83,-200,-200,-88,-200,-78,-200,-200,-200,-200,-200
1526451640736,-67,-200,-200,-96,-80,-84,-84,-78,-200,-200,-200,-78,-84,-101,-200,-200,-200
1526451640951,-67,-77,-200,-94,-200,-85,-83,-75,-200,-200,-200,-78,-78,-200,-200,-87,-200
1526451645589,-66,-71,-200,-86,-76,-79,-65,-75,-200,-82,-200,-80,-78,-200,-200,-200,-200
1526451645677,-67,-200,-200,-200,-76,-200,-65,-75,-80,-200,-200,-80,-78,-200,-200,-200,-200
1526451645774,-66,-200,-200,-200,-76,-81,-65,-75,-200,-200,-91,-80,-78,-200,-200,-200,-200
1526451645949,-66,-200,-200,-200,-76,-200,-65,-75,-200,-200,-200,-200,-78,-200,-200,-200,-200
1526451650558,-200,-200,-200,-90,-83,-85,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200
1526451650699,-78,-200,-200,-90,-200,-200,-66,-200,-200,-200,-200,-78,-200,-100,-91,-200,-200
1526451650857,-200,-200,-200,-90,-200,-200,-68,-200,-90,-200,-200,-77,-77,-100,-200,-200,-200
1526451655574,-70,-200,-200,-200,-200,-200,-200,-81,-90,-200,-200,-77,-200,-200,-200,-200,-200
1526451655684,-69,-200,-200,-97,-200,-88,-200,-80,-200,-87,-200,-200,-82,-200,-200,-200,-200
1526451655778,-69,-200,-200,-200,-200,-88,-78,-200,-91,-200,-200,-200,-82,-100,-200,-200,-91
1526451655912,-67,-200,-200,-88,-76,-88,-200,-200,-91,-83,-200,-80,-79,-200,-200,-200,-200
1526451660658,-200,-200,-90,-88,-200,-200,-67,-77,-200,-82,-200,-80,-79,-200,-200,-200,-200
1526451660766,-200,-72,-90,-200,-75,-200,-67,-200,-80,-200,-200,-80,-79,-200,-200,-200,-200
1526451660889,-66,-73,-90,-200,-76,-85,-67,-76,-79,-82,-91,-200,-80,-100,-200,-200,-200
1526451665580,-75,-69,-92,-89,-82,-84,-200,-200,-83,-200,-200,-77,-76,-99,-90,-200,-200
1526451665691,-76,-73,-200,-92,-200,-84,-68,-200,-83,-200,-200,-77,-76,-200,-89,-200,-200
1526451665782,-200,-200,-92,-90,-200,-84,-67,-200,-83,-200,-200,-76,-76,-100,-89,-200,-200
1526451665896,-200,-69,-200,-92,-82,-200,-68,-200,-200,-93,-200,-77,-76,-200,-200,-200,-200
1526451670555,-66,-81,-200,-200,-200,-84,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200
1526451670652,-66,-80,-200,-200,-200,-85,-200,-200,-89,-86,-200,-76,-82,-200,-200,-200,-200
1526451670775,-66,-200,-200,-200,-78,-84,-80,-81,-88,-200,-200,-78,-84,-200,-200,-200,-200
1526451670872,-66,-200,-92,-200,-78,-200,-200,-200,-89,-86,-200,-200,-85,-98,-200,-200,-200
1526451675573,-200,-74,-89,-200,-200,-83,-68,-77,-79,-200,-200,-200,-80,-200,-200,-200,-200
1526451675686,-67,-200,-200,-88,-200,-200,-68,-76,-79,-83,-200,-200,-200,-200,-200,-200,-200
1526451675795,-200,-200,-89,-200,-76,-82,-200,-76,-78,-82,-200,-80,-80,-200,-200,-200,-200
1526451675904,-200,-200,-89,-89,-200,-200,-68,-76,-200,-83,-200,-80,-200,-200,-200,-200,-200
1526451680550,-75,-200,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-89,-200
1526451685664,-66,-200,-89,-96,-80,-82,-79,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451685808,-200,-200,-200,-95,-78,-200,-77,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526451685906,-66,-200,-200,-94,-200,-82,-78,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451686021,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451690560,-200,-79,-88,-93,-200,-86,-70,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526451690921,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451691025,-200,-200,-200,-94,-76,-200,-69,-77,-200,-200,-200,-200,-86,-200,-200,-200,-200
1526451691239,-200,-82,-200,-99,-200,-200,-75,-200,-200,-200,-200,-81,-87,-200,-200,-200,-200
