,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c0:d7:0d,0c:73:eb:d0:7a:68,74:da:da:c1:3a:dd,ec:26:ca:0b:d4:1e,74:da:da:c1:3a:81,0c:73:eb:d0:7c:28,74:da:da:c1:6b:4d,0c:73:eb:d0:7c:08,74:da:da:c0:d7:19,74:da:da:c0:f3:01,0c:73:eb:d0:7f:08,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:e0,74:da:da:98:85:00,0c:73:eb:d0:7f:10,74:da:da:c1:48:bd,0c:73:eb:d0:11:f8,0c:73:eb:d0:13:d0,0c:73:eb:d0:13:a8,0c:73:eb:d0:7c:38,74:da:da:c0:d7:b9,74:da:da:98:85:60,0c:73:eb:d0:7c:40,74:da:da:c1:56:a1,74:da:da:c0:f4:69,0c:73:eb:d0:13:d8,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7e:e8,d8:15:0d:6c:13:98,74:da:da:98:ea:50,74:da:da:c0:f6:15,74:da:da:c0:e2:d9,0c:73:eb:d0:7c:00,74:da:da:98:92:14,74:da:da:c1:56:ed,74:da:da:c0:d8:1d,74:da:da:c1:3a:8d,74:da:da:c1:3c:51,74:da:da:c1:3c:4d,74:da:da:98:85:4c,0c:73:eb:d0:19:a0,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:f5,74:da:da:c1:25:e5,74:da:da:c1:02:8d,0c:73:eb:d0:13:a0,0c:73:eb:d0:19:b8,74:da:da:c0:e0:69,74:da:da:98:91:d4,0c:73:eb:d0:11:d8,74:da:da:c1:3c:55,0c:73:eb:d0:13:b8
1526448615375,-31,-45,-47,-51,-57,-60,-60,-61,-64,-66,-68,-71,-71,-71,-72,-72,-75,-75,-75,-76,-77,-77,-77,-77,-79,-79,-80,-81,-82,-84,-84,-84,-85,-86,-88,-89,-89,-90,-90,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448618410,-30,-41,-53,-52,-57,-60,-59,-61,-66,-70,-62,-69,-67,-71,-73,-79,-71,-75,-75,-70,-70,-77,-76,-77,-79,-79,-80,-81,-82,-200,-200,-83,-85,-86,-88,-200,-200,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448621435,-30,-41,-53,-52,-57,-60,-59,-61,-66,-70,-62,-69,-67,-71,-73,-79,-71,-75,-75,-70,-70,-77,-76,-77,-79,-79,-80,-81,-82,-200,-200,-83,-85,-86,-88,-200,-200,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448624471,-30,-41,-53,-52,-57,-60,-59,-61,-66,-70,-62,-69,-67,-71,-73,-79,-71,-75,-75,-70,-70,-77,-76,-77,-79,-79,-80,-81,-82,-200,-200,-83,-85,-86,-88,-200,-200,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448627498,-29,-41,-53,-52,-57,-60,-59,-61,-66,-70,-62,-69,-67,-200,-73,-79,-71,-200,-200,-70,-70,-200,-78,-77,-200,-200,-200,-200,-82,-200,-200,-83,-200,-200,-200,-200,-200,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448630531,-31,-48,-48,-53,-56,-61,-59,-59,-65,-70,-67,-68,-67,-200,-73,-79,-70,-200,-200,-74,-73,-79,-78,-77,-82,-200,-200,-200,-82,-200,-200,-83,-78,-200,-200,-91,-200,-88,-85,-200,-85,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448633566,-31,-48,-48,-53,-56,-61,-59,-59,-65,-70,-67,-68,-67,-200,-73,-79,-70,-200,-200,-74,-73,-79,-78,-77,-82,-200,-200,-200,-82,-200,-200,-83,-78,-200,-200,-91,-200,-88,-85,-200,-85,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448636604,-31,-48,-48,-53,-56,-61,-59,-59,-65,-70,-67,-68,-67,-200,-73,-79,-70,-200,-200,-74,-73,-79,-78,-77,-82,-200,-200,-200,-82,-200,-200,-83,-78,-200,-200,-91,-200,-88,-85,-200,-85,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448639650,-29,-43,-47,-55,-57,-63,-61,-59,-62,-72,-67,-68,-64,-68,-70,-200,-72,-200,-200,-74,-75,-78,-75,-79,-76,-77,-200,-200,-83,-200,-200,-200,-78,-200,-87,-91,-78,-200,-88,-200,-85,-86,-86,-82,-89,-200,-200,-200,-200,-200,-200,-200
