,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,ec:26:ca:0b:d4:1e,0c:73:eb:d0:7a:68,0c:73:eb:d0:7c:28,74:da:da:c0:d7:0d,74:da:da:c1:3a:dd,74:da:da:c1:3a:81,0c:73:eb:d0:11:e0,0c:73:eb:d0:11:f8,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:08,74:da:da:c1:6b:4d,0c:73:eb:d0:7f:10,0c:73:eb:d0:13:a8,74:da:da:c0:d7:19,74:da:da:c0:e2:d9,74:da:da:c1:56:a1,74:da:da:c0:f4:69,0c:73:eb:d0:7c:40,0c:73:eb:d0:13:d8,0c:73:eb:d0:13:d0,0c:73:eb:d0:7c:38,0c:73:eb:d0:7e:f8,74:da:da:98:92:14,0c:73:eb:d0:7c:00,74:da:da:c0:d7:b9,74:da:da:c1:48:bd,d8:15:0d:6c:13:98,74:da:da:98:91:d4,0c:73:eb:d0:19:b8,74:da:da:98:85:00,0c:73:eb:d0:7f:08,74:da:da:c1:56:ed,0c:73:eb:d0:7e:e0,74:da:da:c1:3a:8d,74:da:da:c1:03:2d,0c:73:eb:d0:11:d8,74:da:da:c0:e0:69,74:da:da:c0:f3:01,74:da:da:c1:3c:f5,74:da:da:c1:3c:51,0c:73:eb:d0:76:38,0c:73:eb:d0:7e:e8,74:da:da:c1:3b:cd,0c:73:eb:d0:11:e8,74:da:da:98:85:60,74:da:da:c1:3c:cd,c0:61:18:93:3e:54,74:da:da:c1:02:8d,0c:73:eb:d0:13:a0,74:da:da:c0:e0:71,74:da:da:c0:f6:15
1526448763685,-32,-42,-52,-52,-53,-59,-59,-60,-64,-64,-64,-64,-66,-66,-68,-70,-71,-73,-73,-73,-74,-76,-76,-77,-77,-79,-79,-81,-81,-82,-83,-83,-83,-84,-85,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448766712,-28,-30,-62,-43,-42,-70,-64,-68,-59,-68,-46,-64,-65,-55,-200,-70,-65,-70,-77,-200,-200,-80,-75,-69,-73,-66,-79,-76,-200,-79,-75,-200,-200,-84,-200,-85,-83,-66,-76,-78,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448769736,-28,-30,-62,-43,-42,-70,-64,-68,-59,-68,-46,-64,-65,-55,-200,-70,-65,-70,-77,-200,-200,-80,-75,-69,-73,-66,-79,-76,-200,-79,-75,-200,-200,-84,-200,-85,-83,-66,-76,-78,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448772771,-28,-30,-62,-43,-42,-70,-64,-68,-59,-68,-46,-64,-65,-55,-200,-70,-65,-70,-77,-200,-200,-80,-75,-69,-73,-66,-79,-76,-200,-79,-75,-200,-200,-84,-200,-85,-83,-66,-76,-78,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448775781,-28,-30,-55,-45,-42,-71,-68,-68,-59,-72,-46,-67,-72,-55,-70,-200,-65,-70,-77,-75,-69,-81,-75,-72,-73,-63,-200,-79,-200,-81,-75,-76,-200,-200,-200,-200,-82,-68,-76,-78,-90,-77,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526448778821,-28,-28,-57,-42,-42,-68,-68,-69,-56,-72,-46,-64,-72,-53,-70,-79,-65,-70,-77,-81,-68,-81,-74,-70,-70,-63,-78,-76,-200,-81,-75,-75,-200,-76,-200,-200,-82,-67,-73,-75,-90,-77,-90,-82,-88,-200,-200,-200,-200,-200,-200
1526448781856,-28,-28,-57,-42,-42,-68,-68,-69,-56,-72,-46,-64,-72,-53,-70,-79,-65,-70,-77,-81,-68,-81,-74,-70,-70,-63,-78,-76,-200,-81,-75,-75,-200,-76,-200,-200,-82,-67,-73,-75,-90,-77,-90,-82,-88,-200,-200,-200,-200,-200,-200
1526448784907,-28,-28,-57,-42,-42,-68,-68,-69,-56,-72,-46,-64,-72,-53,-70,-79,-65,-70,-77,-81,-68,-81,-74,-70,-70,-63,-78,-76,-200,-81,-75,-75,-200,-76,-200,-200,-82,-67,-73,-75,-90,-77,-90,-82,-88,-200,-200,-200,-200,-200,-200
1526448787955,-27,-28,-56,-49,-39,-62,-71,-72,-56,-67,-46,-64,-62,-53,-68,-79,-64,-68,-78,-81,-68,-80,-75,-70,-71,-63,-78,-76,-200,-200,-77,-75,-200,-77,-200,-84,-81,-67,-73,-80,-200,-200,-200,-85,-89,-88,-200,-200,-200,-200,-200
1526448791001,-27,-28,-56,-45,-40,-66,-67,-68,-56,-67,-46,-64,-63,-53,-66,-77,-65,-68,-76,-76,-69,-78,-75,-69,-71,-63,-78,-75,-200,-79,-76,-75,-200,-77,-200,-92,-81,-67,-73,-80,-200,-82,-200,-85,-89,-88,-200,-200,-200,-200,-200
1526448794036,-27,-28,-56,-45,-40,-66,-67,-68,-56,-67,-46,-64,-63,-53,-66,-77,-65,-68,-76,-76,-69,-78,-75,-69,-71,-63,-78,-75,-200,-79,-76,-75,-200,-77,-200,-92,-81,-67,-73,-80,-200,-82,-200,-85,-89,-88,-200,-200,-200,-200,-200
1526448797082,-27,-28,-56,-45,-40,-66,-67,-68,-56,-67,-46,-64,-63,-53,-66,-77,-65,-68,-76,-76,-69,-78,-75,-69,-71,-63,-78,-75,-200,-79,-76,-75,-200,-77,-200,-92,-81,-67,-73,-80,-200,-82,-200,-85,-89,-88,-200,-200,-200,-200,-200
1526448800114,-28,-28,-60,-44,-41,-68,-70,-70,-58,-73,-45,-65,-63,-53,-67,-77,-65,-68,-75,-75,-67,-78,-77,-72,-70,-200,-78,-75,-200,-79,-78,-73,-200,-77,-200,-92,-200,-68,-83,-200,-200,-82,-200,-86,-200,-86,-87,-89,-91,-200,-200
1526448803161,-28,-28,-58,-42,-44,-69,-71,-74,-57,-73,-45,-65,-67,-53,-67,-79,-65,-76,-75,-76,-72,-78,-77,-72,-70,-66,-78,-76,-200,-79,-76,-71,-200,-77,-200,-92,-200,-68,-83,-82,-200,-82,-200,-86,-200,-86,-85,-89,-91,-200,-200
1526448806187,-28,-28,-58,-42,-44,-69,-71,-74,-57,-73,-45,-65,-67,-53,-67,-79,-65,-76,-75,-76,-72,-78,-77,-72,-70,-66,-78,-76,-200,-79,-76,-71,-200,-77,-200,-92,-200,-68,-83,-82,-200,-82,-200,-86,-200,-86,-85,-89,-91,-200,-200
1526448809227,-28,-28,-58,-42,-44,-69,-71,-74,-57,-73,-45,-65,-67,-53,-67,-79,-65,-76,-75,-76,-72,-78,-77,-72,-70,-66,-78,-76,-200,-79,-76,-71,-200,-77,-200,-92,-200,-68,-83,-82,-200,-82,-200,-86,-200,-86,-85,-89,-91,-200,-200
1526448812272,-29,-28,-56,-43,-43,-69,-64,-74,-57,-71,-47,-64,-66,-52,-68,-78,-64,-75,-76,-76,-69,-79,-77,-74,-70,-65,-76,-76,-200,-200,-75,-71,-200,-200,-200,-83,-79,-66,-78,-82,-200,-76,-200,-200,-200,-200,-85,-200,-200,-93,-200
1526448815315,-28,-28,-56,-47,-44,-66,-66,-74,-56,-67,-45,-62,-66,-52,-68,-78,-64,-69,-81,-75,-72,-79,-75,-72,-70,-63,-76,-74,-200,-81,-77,-71,-200,-77,-200,-83,-78,-66,-77,-82,-200,-76,-200,-84,-200,-200,-85,-200,-200,-93,-200
1526448818361,-28,-28,-56,-47,-44,-66,-66,-74,-56,-67,-45,-62,-66,-52,-68,-78,-64,-69,-81,-75,-72,-79,-75,-72,-70,-63,-76,-74,-200,-81,-77,-71,-200,-77,-200,-83,-78,-66,-77,-82,-200,-76,-200,-84,-200,-200,-85,-200,-200,-93,-200
1526448821408,-28,-28,-56,-47,-44,-66,-66,-74,-56,-67,-45,-62,-66,-52,-68,-78,-64,-69,-81,-75,-72,-79,-75,-72,-70,-63,-76,-74,-200,-81,-77,-71,-200,-77,-200,-83,-78,-66,-77,-82,-200,-76,-200,-84,-200,-200,-85,-200,-200,-93,-200
1526448824444,-27,-28,-57,-44,-42,-64,-67,-71,-58,-68,-45,-64,-65,-52,-68,-200,-66,-69,-78,-74,-70,-76,-79,-72,-75,-62,-76,-74,-200,-74,-77,-72,-200,-78,-200,-200,-78,-63,-77,-81,-200,-79,-200,-84,-89,-87,-200,-200,-200,-200,-91
