,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7a:68,74:da:da:c0:d7:0d,74:da:da:c0:f3:01,ec:26:ca:0b:d4:1e,74:da:da:c0:d7:19,74:da:da:c1:3a:dd,74:da:da:c1:6b:4d,0c:73:eb:d0:11:e0,74:da:da:c1:48:bd,0c:73:eb:d0:7c:28,74:da:da:c1:3c:f5,0c:73:eb:d0:7f:10,0c:73:eb:d0:7c:08,74:da:da:c0:d7:b9,74:da:da:c0:e2:d9,0c:73:eb:d0:13:d0,74:da:da:98:85:00,0c:73:eb:d0:7f:18,74:da:da:c1:3a:81,0c:73:eb:d0:13:a8,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7c:38,74:da:da:c1:56:ed,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7c:40,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:f8,74:da:da:98:85:60,74:da:da:98:91:d4,0c:73:eb:d0:7f:08,74:da:da:c0:f4:69,74:da:da:c1:56:a1,0c:73:eb:d0:11:f0,74:da:da:c1:3c:51,74:da:da:c1:25:e5,74:da:da:c0:e0:71,0c:73:eb:d0:7e:f0,74:da:da:98:92:14,0c:73:eb:d0:13:d8,74:da:da:c1:3c:cd,0c:73:eb:d0:11:e8,0c:73:eb:d0:7c:30,74:da:da:c1:3c:99,74:da:da:c1:3a:8d,d8:15:0d:6c:13:98,74:da:da:c0:f6:15,0c:73:eb:d0:11:d8,c0:61:18:93:3e:54,0c:73:eb:d0:7e:e0,0c:73:eb:d0:19:b8,74:da:da:c0:e0:69
1526448923605,-29,-39,-46,-51,-51,-52,-56,-57,-57,-58,-62,-63,-65,-67,-67,-68,-68,-69,-69,-69,-69,-70,-70,-71,-73,-73,-74,-74,-74,-78,-78,-79,-81,-85,-87,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448926628,-34,-44,-44,-51,-55,-47,-59,-56,-57,-58,-68,-66,-53,-65,-69,-70,-68,-61,-67,-65,-73,-69,-77,-71,-77,-73,-85,-82,-74,-200,-59,-73,-81,-200,-87,-200,-92,-77,-84,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448929661,-34,-44,-44,-51,-55,-47,-59,-56,-57,-58,-68,-66,-53,-65,-69,-70,-68,-61,-67,-65,-73,-69,-77,-71,-77,-73,-85,-82,-74,-200,-59,-73,-81,-200,-87,-200,-92,-77,-84,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448932700,-34,-44,-44,-51,-55,-47,-59,-56,-57,-58,-68,-66,-53,-65,-69,-70,-68,-61,-67,-65,-73,-69,-77,-71,-77,-73,-85,-82,-74,-200,-59,-73,-81,-200,-87,-200,-92,-77,-84,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448935742,-32,-47,-41,-54,-53,-47,-64,-54,-58,-58,-69,-64,-52,-62,-71,-67,-200,-59,-66,-65,-71,-68,-77,-200,-79,-71,-85,-78,-73,-72,-58,-73,-81,-200,-200,-200,-200,-78,-84,-92,-86,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526448938778,-34,-47,-43,-54,-53,-44,-63,-56,-58,-58,-69,-61,-53,-63,-71,-67,-200,-59,-68,-65,-72,-68,-77,-200,-79,-70,-74,-78,-72,-72,-58,-73,-81,-200,-200,-200,-200,-78,-84,-92,-86,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526448941825,-34,-47,-43,-54,-53,-44,-63,-56,-58,-58,-69,-61,-53,-63,-71,-67,-200,-59,-68,-65,-72,-68,-77,-200,-79,-70,-74,-78,-72,-72,-58,-73,-81,-200,-200,-200,-200,-78,-84,-92,-86,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526448944863,-34,-47,-43,-54,-53,-44,-63,-56,-58,-58,-69,-61,-53,-63,-71,-67,-200,-59,-68,-65,-72,-68,-77,-200,-79,-70,-74,-78,-72,-72,-58,-73,-81,-200,-200,-200,-200,-78,-84,-92,-86,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526448947901,-34,-45,-44,-55,-54,-45,-63,-57,-58,-59,-200,-61,-52,-65,-200,-200,-200,-60,-68,-66,-68,-200,-78,-74,-78,-70,-68,-78,-72,-70,-59,-72,-79,-83,-200,-200,-200,-79,-82,-200,-200,-200,-200,-80,-84,-87,-87,-89,-200,-200,-200
