,0120.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0125.0012-vlucci.com A1.4.0.1,011a.0012-vlucci.com A1.4.0.1
,F4:B8:5E:AA:7A:38,78:A5:04:41:E5:62,F4:B8:5E:AA:79:21,F4:B8:5E:AA:77:7E
1526459731668,-79,-97,-91,-92
1526459731769,-80,-98,-92,-90
1526459731889,-81,-100,-92,-92
1526459732012,-80,-99,-92,-92
1526459736831,-79,-200,-200,-200
1526459736942,-79,-200,-200,-200
1526459741577,-78,-200,-200,-200
1526459741681,-78,-200,-200,-200
1526459741775,-77,-200,-200,-94
1526459741884,-77,-200,-89,-95
1526459742004,-77,-96,-89,-96
1526459746667,-200,-97,-200,-93
1526459746776,-80,-97,-95,-92
1526459746877,-80,-98,-94,-95
1526459747001,-80,-98,-93,-94
1526459751607,-78,-200,-91,-200
1526459752068,-78,-200,-92,-200
1526459756970,-77,-200,-89,-200
1526459757084,-77,-96,-90,-93
1526459761608,-80,-200,-94,-91
1526459761762,-80,-99,-94,-91
1526459761860,-80,-200,-92,-200
1526459761966,-80,-98,-93,-92
1526459762069,-200,-200,-91,-91
1526459766586,-81,-200,-93,-91
1526459766679,-80,-200,-93,-200
1526459766784,-80,-200,-93,-93
1526459766894,-80,-200,-91,-200
1526459766992,-80,-200,-94,-200
1526459767104,-79,-200,-93,-200
1526459771628,-80,-200,-90,-200
1526459771736,-80,-200,-91,-200
1526459771987,-80,-200,-200,-200
1526459776591,-81,-200,-92,-92
1526459776738,-81,-200,-93,-92
1526459776887,-80,-200,-94,-93
1526459781604,-78,-200,-93,-89
1526459781711,-78,-200,-94,-90
1526459781858,-78,-200,-88,-88
1526459786726,-77,-200,-89,-200
1526459786833,-78,-92,-89,-200
1526459786966,-79,-200,-200,-200
1526459787069,-77,-200,-200,-200
1526459791677,-78,-200,-200,-91
1526459791857,-78,-200,-96,-92
1526459791959,-79,-200,-95,-89
1526459792058,-200,-96,-96,-90
