,vlucci.com AC-V1.4.0.0,0123.0012-vlucci.com A1.4.0.1,0124.0012-vlucci.com A1.4.0.1,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:BF,F4:B8:5E:AA:77:5C,F4:B8:5E:AA:79:07,F4:B8:5E:AA:7A:97,78:A5:04:41:E9:D5,78:A5:04:41:E5:4E,78:A5:04:41:E9:D3,78:A5:04:41:EB:91
1526461652429,-97,-80,-200,-200,-200,-200,-200,-200
1526461657083,-200,-80,-200,-200,-200,-200,-200,-200
1526461657183,-200,-80,-200,-200,-200,-200,-200,-200
1526461657288,-200,-79,-200,-200,-200,-200,-200,-200
1526461657398,-200,-81,-200,-200,-200,-200,-200,-200
1526461662147,-200,-78,-200,-200,-200,-200,-200,-200
1526461662243,-200,-78,-94,-200,-200,-200,-200,-200
1526461662438,-200,-79,-200,-200,-200,-200,-200,-200
1526461666953,-94,-80,-200,-200,-200,-200,-200,-200
1526461667054,-200,-79,-95,-200,-200,-200,-200,-200
1526461667162,-200,-79,-96,-200,-200,-200,-200,-200
1526461667265,-200,-79,-200,-200,-200,-200,-200,-200
1526461667365,-102,-79,-91,-99,-200,-200,-200,-200
1526461672005,-101,-79,-200,-103,-200,-200,-200,-200
1526461672098,-100,-79,-200,-103,-200,-200,-200,-200
1526461672200,-200,-79,-200,-200,-200,-200,-200,-200
1526461672309,-200,-79,-200,-200,-200,-200,-200,-200
1526461672414,-200,-79,-90,-200,-200,-200,-200,-200
1526461673146,-200,-84,-90,-200,-200,-200,-200,-200
1526461673249,-200,-81,-200,-200,-200,-200,-200,-200
1526461673360,-200,-83,-200,-200,-200,-200,-200,-200
1526461673470,-200,-85,-95,-200,-200,-200,-200,-200
1526461673578,-200,-84,-200,-200,-92,-200,-200,-200
1526461673793,-200,-87,-99,-200,-95,-94,-200,-200
1526461674111,-200,-85,-200,-200,-93,-200,-200,-200
1526461674346,-200,-88,-97,-200,-94,-98,-200,-200
1526461674447,-200,-86,-98,-200,-93,-200,-200,-200
1526461674570,-200,-87,-97,-200,-200,-200,-200,-200
1526461674664,-200,-83,-94,-200,-200,-200,-200,-200
1526461674775,-200,-200,-92,-200,-200,-200,-200,-200
1526461674980,-200,-84,-89,-200,-94,-200,-200,-200
1526461675188,-200,-200,-90,-200,-95,-200,-200,-200
1526461675369,-200,-200,-92,-200,-93,-200,-200,-200
1526461675588,-200,-200,-200,-200,-92,-200,-200,-200
1526461675686,-200,-83,-92,-200,-92,-200,-200,-200
1526461675809,-200,-80,-200,-200,-94,-200,-200,-200
1526461675913,-200,-82,-200,-200,-95,-200,-200,-200
1526461676034,-200,-82,-89,-200,-93,-200,-200,-200
1526461676134,-200,-80,-200,-200,-200,-200,-200,-200
1526461676232,-200,-81,-89,-200,-200,-200,-200,-200
1526461676334,-200,-80,-89,-200,-95,-200,-200,-200
1526461676445,-200,-81,-91,-200,-200,-200,-200,-200
1526461676555,-200,-79,-91,-200,-94,-200,-200,-200
1526461676650,-200,-78,-200,-200,-94,-200,-200,-200
1526461676759,-200,-81,-92,-200,-95,-200,-200,-200
1526461676860,-200,-78,-88,-200,-94,-200,-92,-200
1526461677063,-93,-82,-91,-200,-200,-200,-200,-200
1526461677171,-94,-80,-90,-200,-200,-200,-200,-200
1526461677282,-200,-80,-200,-200,-200,-200,-200,-200
1526461677387,-200,-78,-200,-200,-200,-200,-200,-200
1526461677491,-91,-80,-200,-200,-200,-200,-200,-200
1526461677698,-92,-78,-200,-200,-200,-200,-200,-200
1526461677801,-93,-77,-200,-200,-200,-200,-200,-200
1526461677903,-91,-77,-200,-200,-200,-200,-200,-95
1526461678218,-200,-78,-200,-200,-200,-200,-200,-94
1526461678324,-200,-78,-200,-200,-200,-200,-200,-92
1526461678433,-200,-78,-91,-200,-200,-200,-200,-93
1526461678608,-200,-79,-87,-200,-200,-200,-200,-91
1526461678841,-200,-78,-88,-200,-200,-200,-200,-96
1526461678960,-92,-80,-200,-200,-200,-200,-200,-200
1526461679054,-95,-80,-200,-200,-200,-200,-200,-200
1526461679164,-200,-76,-95,-200,-200,-200,-200,-200
1526461679444,-200,-76,-95,-200,-200,-93,-200,-200
1526461682125,-200,-74,-93,-96,-200,-93,-200,-200
1526461682209,-200,-74,-93,-200,-200,-90,-200,-200
1526461687032,-200,-80,-89,-200,-200,-200,-200,-200
1526461687131,-200,-80,-89,-200,-200,-200,-97,-200
1526461687244,-200,-80,-89,-200,-200,-200,-96,-200
