,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:11:f0,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:10,74:da:da:c1:3c:dd,74:da:da:c1:4b:59,0c:73:eb:d0:7c:00,0c:73:eb:d0:7c:18,74:da:da:c1:3c:99,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:e8,74:da:da:c1:3c:f9,0c:73:eb:d0:11:f8,74:da:da:c1:3a:81,74:da:da:c1:4b:05,0c:73:eb:d0:7f:18,74:da:da:c1:4b:01,0c:73:eb:d0:7c:08,0c:73:eb:d0:13:d0,0c:73:eb:d0:7e:f0,74:da:da:c0:e2:d9,74:da:da:c0:d7:b9,bc:d1:77:5f:6a:b4,74:da:da:c0:e0:81,0c:73:eb:d0:7c:48,74:da:da:c0:e0:71,74:da:da:c1:4a:f5,74:da:da:c0:f3:01,74:da:da:c1:3b:49,0c:73:eb:d0:7e:f8,74:da:da:98:91:d4,0c:73:eb:d0:7a:68,74:da:da:98:7a:60,74:da:da:98:74:94,74:da:da:c1:48:bd,74:da:da:98:7a:68,0c:73:eb:d0:76:58,74:da:da:98:8d:78,0c:73:eb:d0:13:c0,0c:73:eb:d0:7c:38,74:da:da:c0:d7:19,74:da:da:c0:f4:69,74:da:da:98:85:60
1526451177697,-40,-48,-49,-50,-54,-57,-58,-59,-59,-60,-62,-63,-67,-67,-69,-70,-73,-75,-75,-76,-77,-78,-79,-80,-81,-82,-82,-82,-83,-83,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451180724,-44,-55,-66,-52,-68,-65,-66,-60,-57,-68,-60,-63,-67,-65,-77,-54,-73,-75,-75,-80,-77,-79,-79,-77,-200,-69,-81,-200,-83,-83,-85,-200,-83,-86,-87,-200,-200,-200,-200,-200,-200,-200
1526451183752,-44,-55,-66,-52,-68,-65,-66,-60,-57,-68,-60,-63,-67,-65,-77,-54,-73,-75,-75,-80,-77,-79,-79,-77,-200,-69,-81,-200,-83,-83,-85,-200,-83,-86,-87,-200,-200,-200,-200,-200,-200,-200
1526451186788,-44,-55,-66,-52,-68,-65,-66,-60,-57,-68,-60,-63,-67,-65,-77,-54,-73,-75,-75,-80,-77,-79,-79,-77,-200,-69,-81,-200,-83,-83,-85,-200,-83,-86,-87,-200,-200,-200,-200,-200,-200,-200
1526451189825,-50,-57,-70,-53,-72,-70,-63,-62,-64,-65,-65,-81,-85,-65,-75,-51,-86,-84,-77,-82,-200,-80,-85,-77,-80,-68,-83,-200,-200,-200,-200,-200,-83,-90,-87,-91,-200,-200,-200,-200,-200,-200
1526451192868,-47,-57,-70,-53,-68,-71,-63,-62,-67,-65,-66,-81,-85,-61,-77,-51,-86,-84,-77,-82,-200,-79,-88,-76,-78,-69,-81,-200,-200,-200,-200,-200,-83,-90,-83,-91,-80,-89,-90,-200,-200,-200
1526451195906,-47,-57,-70,-53,-68,-71,-63,-62,-67,-65,-66,-81,-85,-61,-77,-51,-86,-84,-77,-82,-200,-79,-88,-76,-78,-69,-81,-200,-200,-200,-200,-200,-83,-90,-83,-91,-80,-89,-90,-200,-200,-200
1526451198946,-47,-57,-70,-53,-68,-71,-63,-62,-67,-65,-66,-81,-85,-61,-77,-51,-86,-84,-77,-82,-200,-79,-88,-76,-78,-69,-81,-200,-200,-200,-200,-200,-83,-90,-83,-91,-80,-89,-90,-200,-200,-200
1526451201993,-48,-56,-70,-53,-71,-68,-64,-61,-63,-69,-58,-200,-200,-68,-77,-51,-200,-200,-200,-82,-93,-79,-85,-76,-78,-69,-81,-200,-200,-200,-200,-86,-200,-200,-83,-200,-77,-85,-90,-200,-200,-200
