,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:11:c8,74:da:da:98:74:34,0c:73:eb:d0:13:90,0c:73:eb:d0:13:c8,74:da:da:c1:3d:2d,74:da:da:98:74:35,74:da:da:98:90:94,74:da:da:98:74:80,74:da:da:c1:03:21,74:da:da:98:85:4c,0c:73:eb:d0:13:98,74:da:da:c1:3c:11,0c:73:eb:d0:7f:00,74:da:da:98:74:74,74:da:da:c1:3c:45,74:da:da:98:85:1c,0c:73:eb:d0:11:c0,74:da:da:c1:02:8d,0c:73:eb:d0:7e:d0,0c:73:eb:d0:7f:10,74:da:da:c1:02:91,74:da:da:c1:03:2d,74:da:da:c0:d7:11,74:da:da:c1:56:a1,74:da:da:98:74:81,0c:73:eb:d0:11:d8,74:da:da:98:ea:54,0c:73:eb:d0:76:18,50:3a:a0:ea:01:66,74:da:da:98:74:75,74:da:da:c1:3c:55,0c:73:eb:d0:19:c8,0c:73:eb:d0:7c:40,74:da:da:c0:d6:f5,74:da:da:98:85:60,74:da:da:c1:3c:4d,0c:73:eb:d0:19:c0,0c:73:eb:d0:13:b0,0c:73:eb:d0:7f:08,74:da:da:98:85:00,74:da:da:c0:d6:ed,74:da:da:c1:25:d9,74:da:da:c0:d8:1d,0c:73:eb:d0:13:b8,74:da:da:98:90:2c,74:da:da:98:66:cc,74:da:da:c1:6b:4d,0c:73:eb:d0:11:e0,74:da:da:c1:03:1d,0c:73:eb:d0:13:a8,74:da:da:c0:e0:71,0c:73:eb:d0:19:90,74:da:da:c1:3a:8d,74:da:da:98:92:14,0c:73:eb:d0:76:10,74:da:da:c1:3c:85
1526460686891,-15,-39,-45,-51,-53,-54,-60,-61,-62,-62,-64,-65,-67,-68,-68,-70,-71,-76,-76,-76,-77,-77,-77,-77,-78,-78,-79,-81,-82,-83,-84,-84,-84,-86,-86,-86,-87,-88,-88,-89,-89,-89,-89,-90,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460689920,-15,-45,-51,-68,-62,-55,-71,-55,-61,-65,-70,-76,-54,-69,-74,-84,-73,-85,-87,-71,-85,-78,-200,-80,-200,-81,-89,-79,-85,-200,-86,-82,-200,-92,-84,-200,-87,-88,-88,-86,-89,-89,-89,-82,-80,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460692939,-30,-45,-52,-67,-63,-55,-69,-56,-59,-66,-68,-75,-54,-67,-79,-84,-79,-77,-88,-79,-85,-78,-83,-80,-200,-80,-89,-77,-77,-200,-89,-81,-200,-92,-86,-88,-86,-85,-88,-86,-91,-89,-89,-74,-77,-92,-90,-78,-84,-86,-200,-200,-200,-200,-200,-200
1526460695968,-29,-46,-53,-71,-63,-56,-68,-55,-63,-66,-68,-76,-55,-68,-77,-85,-79,-78,-91,-75,-81,-79,-84,-78,-200,-79,-89,-78,-78,-200,-85,-79,-91,-90,-83,-88,-88,-88,-88,-86,-91,-200,-200,-80,-78,-90,-90,-76,-84,-86,-89,-90,-91,-200,-200,-200
1526460698992,-29,-47,-52,-70,-63,-56,-68,-57,-65,-64,-67,-76,-55,-68,-78,-85,-73,-79,-87,-80,-81,-76,-81,-79,-200,-76,-89,-83,-77,-200,-85,-81,-91,-90,-86,-88,-88,-86,-90,-86,-91,-200,-200,-82,-78,-90,-90,-76,-84,-85,-89,-90,-91,-200,-200,-200
1526460702015,-30,-47,-53,-67,-70,-55,-67,-64,-60,-74,-73,-76,-56,-66,-78,-85,-74,-77,-87,-71,-84,-78,-84,-79,-200,-77,-200,-79,-77,-200,-85,-83,-91,-90,-86,-88,-88,-85,-87,-86,-91,-200,-200,-73,-77,-92,-90,-76,-84,-85,-89,-90,-91,-200,-200,-200
1526460705038,-29,-46,-53,-70,-61,-55,-68,-56,-62,-64,-70,-77,-54,-67,-78,-86,-72,-77,-89,-79,-86,-80,-79,-79,-200,-76,-200,-82,-77,-200,-85,-80,-91,-90,-86,-200,-87,-87,-88,-83,-91,-200,-200,-71,-77,-92,-89,-79,-200,-87,-89,-90,-91,-92,-200,-200
1526460708064,-31,-45,-50,-68,-62,-55,-68,-53,-60,-65,-68,-76,-54,-68,-74,-85,-75,-77,-86,-73,-85,-78,-85,-79,-200,-80,-200,-82,-77,-200,-85,-81,-92,-90,-86,-200,-86,-89,-88,-88,-200,-200,-200,-81,-78,-92,-89,-77,-200,-87,-200,-91,-89,-92,-200,-200
1526460711096,-31,-46,-52,-66,-63,-55,-65,-56,-61,-64,-67,-77,-55,-69,-78,-85,-74,-77,-86,-79,-86,-79,-82,-81,-200,-76,-200,-83,-75,-200,-88,-83,-91,-90,-88,-200,-88,-88,-89,-88,-200,-200,-200,-71,-76,-92,-89,-76,-200,-87,-200,-91,-89,-92,-92,-200
