TimeStamp,cc:d5:39:a0:cd:b4,cc:d5:39:e9:5c:a1,24:01:c7:08:b3:f1,24:01:c7:08:b3:fa,cc:d5:39:a0:cd:b0,cc:d5:39:e9:5c:a0,cc:d5:39:a0:cd:be,34:a8:4e:c6:22:00,24:01:c7:08:b3:fc,34:a8:4e:c6:22:04,cc:d5:39:89:6c:b1,cc:d5:39:e9:5c:a2,24:01:c7:6c:fc:52,cc:d5:39:e9:5c:a4,cc:d5:39:a0:cd:b5,24:01:c7:6c:fc:54,24:01:c7:08:b3:f2,34:a8:4e:c6:22:05,24:01:c7:08:b3:fe,24:01:c7:6c:fc:50,24:01:c7:33:7f:a5,24:01:c7:33:7f:a0,cc:d5:39:89:6c:b2,cc:d5:39:a0:cd:bd,cc:d5:39:a0:cd:b1,cc:d5:39:e9:5c:a5,24:01:c7:08:b3:f5,24:01:c7:08:b3:f0,24:01:c7:33:7f:aa,cc:d5:39:a0:cd:bf,cc:d5:39:a0:cd:ba,24:01:c7:6c:fc:55,34:a8:4e:c6:22:01,cc:d5:39:89:6c:b4,cc:d5:39:a0:cd:b2,24:01:c7:33:7f:a4,24:01:c7:33:7f:ac,24:01:c7:08:b3:fb,24:01:c7:08:b3:ff,24:01:c7:6c:fc:51,24:01:c7:08:b3:fd,34:a8:4e:c6:22:02,24:01:c7:33:7f:ae,24:01:c7:6c:fc:5f,24:01:c7:6c:fc:5b,cc:d5:39:a0:cd:bc,cc:d5:39:89:6c:b5,24:01:c7:33:7f:a1,24:01:c7:6c:fc:5d,24:01:c7:6c:fc:5a,24:01:c7:33:7f:a2,24:01:c7:6c:fc:5c,24:01:c7:33:7f:ab,cc:d5:39:e5:b3:85,24:01:c7:33:7f:ad,24:01:c7:08:b3:f4,cc:d5:39:a0:cd:bb,24:01:c7:33:7f:af,24:01:c7:6c:fc:5e,cc:d5:39:e5:b3:81,88:75:56:44:c6:e0,58:97:1e:f7:73:b5,cc:d5:39:e5:b3:82,cc:d5:39:e5:b3:80,cc:d5:39:e5:b3:84,58:97:1e:f7:73:b1,24:01:c7:77:3e:a0,24:01:c7:77:3e:a4,24:01:c7:77:3e:a5,24:01:c7:b0:92:21,24:01:c7:b0:92:22,cc:d5:39:e5:b3:8e,24:01:c7:77:3e:a2,cc:d5:39:e5:b3:8c,cc:d5:39:e5:b3:8a,e0:d1:73:ff:ee:55,88:75:56:44:c6:e4,88:75:56:44:c6:e5,58:97:1e:f7:73:b2,cc:d5:39:e5:b3:8d,e0:d1:73:ff:ee:51,58:97:1e:f7:73:b4,e0:d1:73:ff:ee:52,cc:d5:39:e5:b3:8f,cc:d5:39:e5:b3:8b,e0:d1:73:ff:ee:54,58:97:1e:f7:73:b0,88:75:56:44:c6:e1,e0:d1:73:ff:ee:50,88:75:56:44:c6:e2,cc:d5:39:25:b4:34,cc:d5:39:25:b4:30,cc:d5:39:25:b4:35,88:75:56:44:c6:ea,58:97:1e:f7:73:bb,58:97:1e:f7:73:bd,58:97:1e:f7:73:bf,88:75:56:44:c6:ef,58:97:1e:f7:73:be,24:01:c7:ca:81:00,88:75:56:44:c6:ed,24:01:c7:ca:81:04,24:01:c7:ca:81:02,88:75:56:44:c6:eb,24:01:c7:ca:81:0c,00:19:a9:a3:78:e0,88:75:56:44:c6:ec,cc:d5:39:25:b4:31,24:01:c7:ca:81:0d,58:97:1e:f7:73:ba,88:75:56:44:c6:ee,cc:d5:39:25:b4:32,58:97:1e:f7:73:bc,24:01:c7:ca:81:0f,24:01:c7:ca:81:05,24:01:c7:ca:81:0e,24:01:c7:ca:81:01,24:01:c7:ca:81:0a,24:01:c7:ca:81:0b,34:a8:4e:a2:a3:96,34:a8:4e:a2:a3:91,34:a8:4e:a2:a3:9b,34:a8:4e:a2:a3:95,34:a8:4e:a2:a3:9d,34:a8:4e:a2:a3:93,34:a8:4e:a2:a3:9e,34:a8:4e:a2:a3:9c,34:a8:4e:a2:a3:99,88:75:56:4b:3a:51,34:a8:4e:e9:e0:f1,88:75:56:4b:3a:56,34:a8:4e:a2:a3:92,34:a8:4e:e9:e0:f2,34:a8:4e:a2:a3:9f,34:a8:4e:a2:a3:9a,88:75:56:4b:3a:50,88:75:56:4b:3a:55,34:a8:4e:b0:4f:c6,88:75:56:4b:3a:53,34:a8:4e:b0:4f:c2,34:a8:4e:b0:4f:c1,34:a8:4e:e9:e0:f5,34:a8:4e:e9:e0:f0,34:a8:4e:e9:e0:f3,c0:62:6b:0a:26:d5
1453855915728,-72,-72,-79,-89,-72,-78,-89,-85,-89,-86,-84,-77,-85,-77,-72,-85,-80,-84,-89,-86,-88,-88,-84,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855916659,,,,-89,-72,-77,-89,-85,-89,-86,-84,-76,-85,-77,-72,-85,,-84,-89,-86,-88,-88,-84,-89,-70,-76,-77,-78,-87,-87,-88,-86,-86,-88,-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855917557,-76,-74,-77,-89,-76,-74,-89,-89,-89,-86,-84,-73,-86,-75,-76,-86,-77,-84,-89,-86,-88,-88,-84,-89,-70,-76,-77,-78,-87,-87,-88,-86,-86,-88,-70,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855918462,-76,-70,-77,-89,-76,-70,-89,-89,-89,-86,-84,-70,-86,-75,-76,-86,-77,-84,-89,-86,-88,-88,-84,-89,-71,-71,-73,-78,-86,-90,-90,-86,-86,-88,-70,-87,-86,-87,-88,-87,-87,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855919388,-69,-73,-75,-85,-76,-72,-89,-89,-89,-84,-84,-71,-86,-75,-76,-86,-77,-84,-89,-86,-88,-88,-84,-89,-71,-71,-79,-78,-86,-90,-86,-86,-86,-88,-70,-87,-86,-84,-88,-82,-87,-87,-84,-88,-89,-90,-89,-89,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855920343,-65,-67,-66,-82,-66,-72,-81,-89,-83,-84,,-68,-82,-75,-76,-86,-77,,,,,,,-79,-71,-71,-79,-78,-86,-79,-86,-86,-86,-88,-65,-83,-86,-84,-83,-82,-83,-89,-82,-84,-89,-81,-89,-89,-87,-88,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855921246,-65,-69,-70,-84,-66,-72,-81,-89,-83,-84,,-68,-79,-75,-76,-86,-77,,,-80,,,,-82,-71,-71,-68,,-86,-82,-86,,,,-66,-83,-79,-82,-84,-80,-84,-89,-81,-83,-82,-81,-89,-85,-85,-88,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855922168,-65,-69,-64,-82,-62,-72,-78,,-80,-84,,-67,-79,-68,-62,-79,-67,,-81,-79,-81,-81,,-78,-71,-71,-68,,-86,-78,-86,,,,-66,-80,-79,-82,-79,-80,-80,-89,-80,-83,-82,-81,-89,-85,-85,-79,-85,-79,-81,-88,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855923097,-65,-69,-64,-82,-62,-66,-78,,-82,-84,,-68,-79,-67,-63,-80,-67,,-79,-81,-83,-83,,-73,,,-68,-63,,-74,-86,-81,,,-66,-80,-79,-82,-81,-80,-81,-89,-80,-83,-82,-81,-89,-85,-85,-83,-85,-82,-79,-87,-83,-64,-77,-80,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855924024,-65,-69,-64,-82,-62,-62,-78,,-82,,,-68,-79,-62,-63,-80,-67,,-81,-78,-83,-83,,-77,-59,-62,-68,-65,-82,-77,,-78,,,-66,-80,-79,-82,-78,-80,-79,-89,-80,-83,-82,-81,,-85,-85,-83,-85,-82,-76,-87,-83,-65,-77,-80,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
