TimeStamp,e0:d1:73:a1:20:e0,cc:d5:39:24:a7:70,e0:d1:73:a1:20:e2,e0:d1:73:95:71:42,e0:d1:73:a1:20:e4,54:78:1a:24:67:c1,e0:d1:73:a1:20:ee,e0:d1:73:a1:20:eb,e0:d1:73:95:71:44,cc:d5:39:24:a7:75,e0:d1:73:95:71:40,cc:d5:39:9a:e4:81,84:78:ac:dc:d4:a5,e0:d1:73:a1:20:ed,54:78:1a:24:67:c0,54:78:1a:24:67:c5,cc:d5:39:24:a7:74,84:78:ac:dc:d4:a0,84:78:ac:dc:d4:a4,cc:d5:39:24:a7:72,e0:d1:73:a1:20:e5,54:78:1a:24:67:c4,84:78:ac:dc:d4:a1,e0:d1:73:95:71:45,54:78:1a:24:67:c2,e0:d1:73:a1:20:e1,cc:d5:39:24:a7:71,cc:d5:39:9a:e4:80,e0:d1:73:95:71:41,84:78:ac:dc:d4:a2,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:71,cc:d5:39:9a:e4:85,e0:d1:73:a1:20:ef,e0:d1:73:a1:20:ec,e0:d1:73:a1:20:ea,34:a8:4e:29:3d:90,84:78:ac:dc:d4:aa,cc:d5:39:9a:e4:84,cc:d5:39:9a:e4:82,e0:d1:73:d8:74:91,e0:d1:73:d8:74:90,e0:d1:73:d8:74:95,e0:d1:73:d8:74:94,20:3a:07:aa:41:34,20:3a:07:aa:41:35,20:3a:07:aa:41:30,20:3a:07:aa:41:31,e0:d1:73:d8:74:92,cc:d5:39:6a:49:e4,cc:d5:39:6a:49:e0,20:3a:07:aa:41:32,cc:d5:39:6a:49:e2,20:3a:07:aa:41:3e,20:3a:07:aa:41:3f,20:3a:07:aa:41:3b,20:3a:07:aa:41:3d,20:3a:07:aa:41:3c,cc:d5:39:6a:49:e5,20:3a:07:aa:41:3a,e0:d1:73:d8:74:9c,e0:d1:73:de:ac:11,e0:d1:73:de:ac:10,e0:d1:73:de:ac:14,e0:d1:73:de:ac:12,e0:d1:73:d8:74:9a,e0:d1:73:d8:74:9f,e0:d1:73:d8:74:9d,e0:d1:73:d8:74:9b,e0:d1:73:d8:74:9e,e0:d1:73:0f:2f:75,e0:d1:73:de:ac:15,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:ab,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:aa,e0:d1:73:bd:c9:ae,20:3a:07:cd:9c:72,34:a8:4e:29:3d:91,34:a8:4e:29:3d:92,34:a8:4e:29:3d:95,20:3a:07:cd:9c:71,34:a8:4e:29:3d:94,cc:d5:39:51:6c:e4,cc:d5:39:51:6c:e5,cc:d5:39:51:6c:e1,cc:d5:39:7f:3c:45,cc:d5:39:7f:3c:44
1454081773687,-73,-85,-75,-86,-74,-81,-87,-87,-84,-83,-88,-87,-87,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081774602,-74,-84,-74,-86,-74,-81,,,,-83,-88,-87,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081775485,-74,-84,-74,-86,-74,-81,,,,-83,-88,-87,-87,,-82,-82,-83,-84,-87,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081776387,-74,-84,-74,-86,-74,-81,,,,-85,-87,-87,-87,,-82,-82,-83,-84,-87,-85,-75,-82,-85,-86,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081777295,-74,-84,-74,-86,-74,-81,,,,-85,-87,-87,-87,,-79,-81,-83,-84,-85,-83,-75,-82,-85,-86,-81,-74,-83,-87,-87,-87,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081778198,-74,-83,-73,-87,-74,-80,,,-87,-85,-87,-87,-87,,-79,-80,-83,-88,-85,-83,-75,-82,-85,-86,-81,-74,-83,-87,-87,-87,-88,-86,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081779096,-73,-83,-74,-87,-74,-80,,,-87,-84,-87,-87,,,-79,-80,-83,-88,-85,-83,-74,-81,-85,-87,-79,-74,-84,-87,-87,-87,-88,-86,-87,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081780010,-74,-83,-74,-87,-74,-80,,,-87,-84,-87,-87,,,-81,-80,-84,-88,-85,-84,-74,-81,-85,-87,-79,-74,-84,-87,-86,-87,-88,-86,-87,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081780916,-74,-83,-74,-86,-74,-81,,,-87,-84,-87,-87,-87,,-81,-81,-84,-88,-85,-84,-74,-81,-85,-87,-79,-74,-84,-87,-86,-87,-88,-86,-86,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081781861,-74,-83,-74,-86,-74,-81,,,-87,-85,-86,-87,-87,,-81,-81,-84,-88,,-84,-75,-81,-85,-86,-83,-74,-84,,-86,-87,,-86,-86,-87,-86,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081782779,-68,-83,-68,-86,-68,-80,,,-87,-85,-86,,-87,,-81,-81,-84,,,-84,-68,-81,-85,-86,-81,-74,-84,,-86,-87,,-86,-86,-87,-86,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081783716,-74,-87,-73,-86,-74,-83,-86,,-87,-85,-86,,-88,-87,-81,-81,-84,,,-84,-68,,,-86,-81,-74,,,-86,-87,,-86,-86,,-86,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081784603,-71,-87,-70,-86,-74,-83,-86,,-87,-85,-86,,-88,-87,-84,-81,-84,,,,-71,-86,,-86,-84,,-85,,,,,-86,-86,,,-88,-86,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081785483,-72,-87,-73,,-73,-84,-88,,,-85,-86,,-88,-88,-84,,-86,,,,-71,-86,,-86,-84,,-85,,,,,,,,,-88,-86,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081786387,-72,-87,-73,,-73,-84,-88,,,-85,,,-88,-88,-80,,-86,,,-86,-71,-81,,,-84,,-85,,,,,,,,,,-86,-87,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081787290,-74,-87,-74,,-75,-84,-88,,,,,,-81,-88,-80,-82,-86,-82,,-86,-71,-81,,,-84,-74,-85,,,,,,,,,,-86,-87,-87,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081788198,-78,,-78,,-79,-75,-88,,,-85,,,-81,-88,-80,-82,-86,-82,,-86,-78,-81,-85,,-73,-74,-85,,,,,,,,,,-86,-87,-87,-90,-87,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081789109,-80,,-80,,-79,-75,-88,,,-85,,,-81,-88,-80,-82,-86,-82,,-86,-78,-81,-85,,-73,-79,,,,,,,,,,,,,-87,-90,-87,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081790035,-75,,-75,,-79,-75,,,,-85,,,-81,,-80,-82,,-86,-86,-86,-78,-81,-85,,-73,-76,,,,,,,,,,,,,-87,-90,-87,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
