,null,null,0116.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null
,BC:6A:29:BE:31:61,7C:66:9D:7B:47:3D,7C:66:9D:7B:2B:DE,F4:B8:5E:AA:77:73,78:A5:04:41:E5:56,BC:6A:29:BE:2F:12,78:A5:04:41:E7:CC,7C:66:9D:7B:2E:16,78:A5:04:41:EB:C9,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:E4,7C:66:9D:7B:2B:D3,78:A5:04:41:EB:C7,78:A5:04:41:EE:07,78:A5:04:41:E9:E0,78:A5:04:41:E5:77,78:A5:04:41:E5:5F,78:A5:04:41:E7:81,7C:66:9D:7B:2B:CB,78:A5:04:41:E7:91,7C:66:9D:7B:46:8C
1526459852145,-89,-94,-70,-60,-89,-97,-89,-68,-84,-72,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459852245,-200,-96,-71,-60,-200,-99,-88,-67,-85,-70,-71,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459852423,-90,-200,-200,-60,-200,-200,-90,-69,-85,-200,-70,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459852558,-200,-200,-200,-59,-200,-200,-200,-200,-200,-200,-69,-72,-96,-97,-200,-200,-200,-200,-200,-200,-200
1526459857070,-200,-200,-200,-66,-200,-200,-200,-71,-94,-74,-200,-70,-96,-97,-92,-200,-200,-200,-200,-200,-200
1526459857173,-200,-200,-87,-200,-96,-104,-200,-71,-93,-74,-73,-70,-97,-97,-93,-92,-94,-200,-200,-200,-200
1526459857278,-200,-200,-200,-200,-98,-103,-200,-70,-200,-200,-73,-69,-97,-99,-200,-92,-200,-200,-200,-200,-200
1526459857380,-200,-200,-200,-66,-96,-200,-92,-71,-94,-200,-73,-200,-200,-200,-92,-200,-93,-200,-200,-200,-200
1526459857499,-200,-200,-200,-66,-200,-200,-200,-200,-94,-74,-73,-70,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526459857615,-200,-200,-200,-66,-200,-200,-200,-200,-89,-74,-73,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459862046,-200,-200,-71,-61,-200,-200,-200,-200,-200,-73,-79,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200
