,0115.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2B:E4,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2B:D3,78:A5:04:41:E7:91,F4:B8:5E:AA:77:73,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2E:16,78:A5:04:41:EB:C7,78:A5:04:41:E7:81,78:A5:04:41:EB:C9,78:A5:04:41:E5:77,7C:66:9D:7B:2B:CB,BC:6A:29:BE:2F:12,78:A5:04:41:E5:5F,78:A5:04:41:E5:56,78:A5:04:41:EE:07
1526459440535,-74,-70,-72,-90,-74,-72,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459440634,-75,-69,-70,-92,-74,-72,-200,-87,-88,-200,-200,-200,-200,-200,-200,-200
1526459440740,-78,-70,-72,-200,-74,-200,-200,-88,-87,-200,-200,-200,-200,-200,-200,-200
1526459440863,-78,-70,-200,-200,-200,-72,-200,-87,-87,-93,-200,-200,-200,-200,-200,-200
1526459440951,-73,-71,-71,-91,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526459441076,-74,-200,-72,-89,-77,-71,-89,-87,-90,-200,-89,-200,-200,-200,-200,-200
1526459441183,-74,-72,-200,-90,-77,-71,-77,-88,-92,-200,-200,-200,-200,-200,-200,-200
1526459441283,-74,-71,-71,-89,-77,-70,-76,-88,-93,-200,-90,-200,-200,-200,-200,-200
1526459441392,-200,-70,-200,-89,-78,-72,-75,-87,-92,-200,-200,-200,-200,-200,-200,-200
1526459441527,-74,-71,-72,-90,-78,-71,-75,-200,-89,-200,-200,-200,-200,-200,-200,-200
