,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,null
,78:A5:04:41:E5:5F,7C:66:9D:7B:2B:DE,78:A5:04:41:E7:91,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2E:16,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:77:73,78:A5:04:41:E5:77,78:A5:04:41:EB:C7,7C:66:9D:7B:46:8C,7C:66:9D:7B:47:3D,78:A5:04:41:EE:07,7C:66:9D:7B:2B:CB,78:A5:04:41:E5:56,BC:6A:29:BE:31:61,BC:6A:29:BE:2F:12
1526459282127,-98,-71,-94,-73,-70,-72,-69,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459282252,-200,-72,-200,-72,-70,-72,-69,-75,-98,-200,-200,-200,-200,-200,-200,-200,-200
1526459282357,-200,-72,-200,-72,-71,-73,-69,-75,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526459282464,-97,-71,-200,-71,-69,-72,-69,-74,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526459287049,-200,-75,-84,-71,-75,-79,-64,-74,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526459287143,-88,-74,-84,-71,-74,-80,-200,-74,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526459287244,-87,-200,-83,-200,-75,-80,-64,-74,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526459287346,-88,-75,-83,-70,-74,-79,-64,-74,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526459287446,-200,-74,-84,-69,-73,-80,-63,-76,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526459287564,-87,-75,-83,-69,-73,-88,-63,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526459292026,-200,-73,-200,-72,-66,-200,-61,-200,-200,-200,-96,-98,-87,-200,-200,-200,-200
1526459292136,-92,-72,-200,-200,-66,-71,-61,-75,-200,-84,-100,-200,-87,-97,-97,-200,-200
1526459292239,-92,-72,-200,-200,-200,-71,-200,-74,-200,-200,-200,-101,-89,-200,-200,-200,-200
1526459292346,-200,-72,-84,-72,-200,-71,-61,-75,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526459292448,-200,-72,-200,-72,-66,-200,-200,-200,-200,-84,-200,-200,-86,-94,-200,-200,-200
1526459292565,-200,-71,-200,-72,-200,-71,-200,-79,-200,-88,-100,-200,-200,-200,-200,-200,-200
1526459297054,-200,-71,-91,-73,-71,-72,-67,-78,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526459297144,-98,-72,-90,-74,-71,-72,-67,-79,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526459297244,-200,-72,-200,-73,-71,-200,-68,-78,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526459297354,-95,-72,-90,-73,-71,-72,-67,-78,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526459297455,-97,-73,-91,-200,-71,-72,-67,-78,-200,-89,-200,-200,-99,-200,-200,-200,-200
1526459297561,-200,-73,-200,-73,-71,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459302047,-200,-83,-200,-68,-80,-88,-63,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459302138,-200,-85,-200,-69,-80,-84,-200,-76,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526459302241,-87,-200,-89,-69,-80,-83,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459302350,-89,-86,-88,-69,-80,-84,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526459302459,-200,-200,-200,-69,-81,-85,-63,-76,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526459302575,-200,-200,-88,-69,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-94,-200
1526459307029,-200,-73,-83,-71,-200,-71,-61,-200,-200,-200,-200,-99,-200,-200,-200,-200,-99
1526459307143,-97,-73,-200,-71,-65,-200,-61,-200,-200,-84,-200,-200,-87,-200,-200,-200,-200
1526459307324,-95,-200,-85,-71,-63,-200,-200,-72,-200,-200,-96,-100,-86,-200,-200,-200,-200
1526459307431,-200,-200,-200,-71,-65,-70,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459307533,-200,-200,-200,-71,-64,-200,-59,-77,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526459312036,-200,-200,-92,-73,-200,-73,-68,-77,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526459312174,-200,-200,-93,-200,-71,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459312278,-95,-72,-92,-73,-200,-73,-67,-77,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526459312386,-93,-71,-91,-73,-200,-72,-67,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459312499,-200,-72,-92,-200,-200,-72,-67,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459312627,-200,-72,-85,-200,-200,-73,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459317046,-87,-90,-200,-69,-78,-85,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
