,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,0115.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:16,78:A5:04:41:EB:C7,7C:66:9D:7B:46:8C,7C:66:9D:7B:2B:E4,7C:66:9D:7B:2B:D3,7C:66:9D:7B:47:3D,78:A5:04:41:E7:91,78:A5:04:41:E5:5F,7C:66:9D:7B:2B:DE,F4:B8:5E:AA:77:73,78:A5:04:41:E5:77,F4:B8:5E:AA:79:4E,78:A5:04:41:E7:81
1526459697144,-72,-100,-95,-82,-85,-92,-81,-92,-67,-78,-200,-200,-200
1526459697227,-71,-200,-96,-83,-81,-200,-83,-200,-68,-74,-200,-200,-200
1526459697326,-72,-98,-95,-83,-80,-92,-83,-200,-68,-74,-200,-200,-200
1526459697469,-72,-95,-200,-81,-79,-200,-83,-200,-69,-200,-200,-200,-200
1526459697627,-65,-200,-200,-200,-82,-200,-82,-90,-75,-72,-91,-200,-200
1526459702136,-66,-91,-200,-78,-81,-91,-200,-200,-74,-71,-92,-88,-200
1526459702303,-200,-200,-200,-77,-77,-200,-82,-200,-73,-73,-200,-82,-200
1526459702392,-69,-200,-200,-200,-80,-90,-84,-200,-71,-200,-200,-83,-200
1526459702507,-200,-92,-200,-79,-80,-200,-83,-91,-71,-200,-200,-200,-200
1526459702623,-79,-92,-99,-77,-84,-93,-200,-200,-72,-87,-200,-200,-200
1526459707137,-200,-91,-102,-77,-83,-98,-83,-200,-68,-86,-200,-200,-200
1526459707250,-79,-92,-200,-77,-83,-96,-200,-200,-69,-87,-200,-80,-200
1526459707332,-82,-92,-102,-77,-87,-93,-83,-200,-69,-88,-200,-82,-200
1526459707448,-79,-200,-99,-78,-84,-94,-84,-200,-69,-86,-200,-80,-200
1526459707542,-69,-200,-200,-77,-79,-99,-84,-200,-69,-87,-96,-78,-200
1526459712073,-200,-200,-200,-200,-79,-200,-87,-200,-68,-73,-200,-78,-200
1526459712178,-68,-93,-94,-88,-79,-200,-88,-200,-69,-73,-200,-78,-200
1526459712289,-68,-200,-200,-200,-200,-200,-88,-200,-69,-73,-200,-79,-200
1526459712388,-68,-200,-93,-88,-200,-200,-88,-200,-69,-72,-200,-78,-200
1526459712489,-68,-200,-95,-88,-79,-200,-86,-200,-69,-73,-200,-78,-200
1526459712590,-200,-200,-200,-88,-200,-200,-200,-200,-69,-73,-200,-200,-200
1526459717019,-68,-91,-200,-81,-200,-88,-82,-93,-74,-71,-200,-86,-200
1526459717121,-68,-92,-200,-82,-200,-90,-82,-200,-74,-70,-92,-200,-200
1526459717239,-200,-91,-200,-81,-200,-90,-82,-200,-74,-200,-200,-200,-200
1526459717369,-67,-200,-200,-200,-81,-200,-200,-200,-74,-70,-200,-87,-200
1526459717481,-200,-200,-200,-81,-200,-90,-200,-200,-74,-71,-92,-87,-200
1526459717587,-75,-200,-200,-78,-82,-96,-82,-200,-71,-90,-95,-86,-200
1526459722145,-76,-200,-99,-200,-82,-94,-83,-200,-200,-88,-96,-78,-200
1526459722275,-78,-200,-101,-77,-81,-95,-82,-200,-69,-89,-200,-78,-200
1526459722338,-80,-200,-97,-77,-80,-96,-83,-200,-70,-200,-95,-77,-200
1526459722439,-200,-91,-98,-78,-81,-200,-84,-200,-70,-200,-95,-78,-200
1526459722585,-69,-200,-200,-77,-200,-96,-200,-200,-200,-200,-96,-80,-200
1526459727058,-68,-200,-95,-200,-75,-200,-91,-200,-70,-76,-93,-78,-200
1526459727172,-69,-200,-94,-200,-75,-200,-92,-200,-70,-200,-200,-78,-200
1526459727268,-200,-200,-200,-200,-75,-94,-90,-200,-70,-200,-200,-78,-200
1526459727375,-68,-200,-200,-200,-75,-93,-90,-200,-200,-200,-200,-78,-200
1526459727494,-69,-97,-94,-86,-76,-94,-93,-200,-69,-78,-200,-79,-200
1526459727590,-66,-200,-200,-83,-75,-87,-92,-200,-70,-200,-200,-94,-200
1526459732206,-66,-200,-200,-200,-200,-88,-86,-200,-71,-81,-200,-96,-95
1526459732302,-200,-200,-200,-200,-82,-89,-200,-200,-71,-82,-200,-200,-200
1526459732415,-66,-200,-200,-200,-200,-87,-86,-95,-72,-200,-90,-200,-98
1526459732560,-74,-93,-200,-78,-200,-88,-85,-200,-73,-82,-92,-95,-200
1526459737092,-200,-200,-200,-200,-78,-200,-200,-200,-71,-96,-200,-78,-200
1526459737187,-200,-200,-200,-200,-78,-200,-86,-200,-200,-200,-94,-80,-200
1526459737278,-74,-200,-200,-200,-78,-96,-86,-200,-72,-200,-93,-80,-200
1526459737384,-74,-200,-99,-78,-200,-94,-200,-200,-71,-200,-200,-80,-200
1526459737492,-200,-200,-100,-77,-78,-93,-86,-200,-71,-200,-200,-200,-200
1526459737597,-200,-200,-101,-82,-77,-94,-200,-200,-200,-78,-200,-78,-200
1526459742077,-200,-200,-96,-82,-75,-93,-200,-200,-68,-78,-200,-200,-200
1526459742193,-67,-200,-200,-83,-75,-200,-91,-200,-68,-79,-200,-77,-200
1526459742360,-200,-200,-200,-200,-75,-200,-200,-200,-69,-79,-200,-78,-200
1526459742465,-71,-200,-95,-200,-75,-200,-92,-200,-68,-79,-200,-78,-94
1526459742561,-68,-200,-95,-83,-75,-200,-200,-200,-68,-79,-200,-200,-200
1526459747046,-67,-200,-200,-85,-200,-89,-86,-200,-200,-81,-200,-92,-200
1526459747154,-67,-200,-200,-84,-85,-200,-86,-200,-72,-200,-200,-91,-200
1526459747242,-67,-200,-200,-84,-85,-200,-86,-96,-70,-200,-200,-200,-200
1526459747345,-66,-94,-200,-200,-200,-200,-85,-97,-200,-200,-200,-200,-200
