,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,0115.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,F4:B8:5E:AA:77:73,78:A5:04:41:E5:5F,78:A5:04:41:EB:C7,7C:66:9D:7B:46:8C,7C:66:9D:7B:2B:E4,7C:66:9D:7B:2E:16,78:A5:04:41:E7:91,F4:B8:5E:AA:79:4E,78:A5:04:41:EE:07,78:A5:04:41:E7:81,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2B:DE,78:A5:04:41:E5:56,78:A5:04:41:EB:C9,78:A5:04:41:E5:77
1526459607165,-61,-90,-90,-95,-90,-63,-85,-76,-98,-96,-200,-200,-200,-200,-200
1526459607273,-61,-91,-90,-97,-90,-200,-84,-76,-200,-96,-200,-200,-200,-200,-200
1526459607383,-62,-200,-89,-96,-92,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
1526459607473,-61,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459607580,-61,-93,-89,-200,-200,-58,-200,-200,-200,-200,-77,-200,-200,-200,-200
1526459612088,-60,-93,-200,-94,-78,-58,-200,-200,-200,-200,-77,-200,-200,-200,-200
1526459612176,-60,-200,-200,-96,-200,-58,-84,-73,-200,-200,-78,-70,-96,-200,-200
1526459612309,-60,-200,-200,-200,-200,-58,-84,-200,-200,-200,-78,-69,-96,-200,-200
1526459612394,-60,-96,-200,-96,-200,-200,-84,-73,-95,-200,-78,-69,-200,-97,-200
1526459612564,-59,-200,-200,-200,-200,-58,-85,-200,-200,-200,-200,-200,-95,-200,-200
1526459617035,-67,-200,-200,-200,-200,-65,-85,-86,-200,-200,-79,-79,-200,-200,-200
1526459617128,-200,-200,-200,-200,-200,-200,-85,-87,-200,-200,-200,-80,-200,-200,-200
1526459617222,-67,-200,-97,-200,-200,-64,-85,-200,-200,-200,-79,-80,-200,-200,-96
1526459617343,-67,-200,-200,-200,-200,-64,-200,-200,-200,-200,-200,-79,-200,-200,-200
1526459617445,-67,-200,-200,-200,-200,-64,-86,-200,-200,-200,-78,-80,-200,-200,-200
1526459617554,-67,-200,-90,-200,-200,-64,-89,-87,-200,-200,-78,-78,-200,-200,-97
1526459622076,-62,-200,-91,-200,-200,-63,-88,-74,-200,-200,-200,-74,-200,-200,-200
1526459622157,-62,-200,-90,-200,-200,-64,-90,-75,-200,-200,-82,-72,-200,-200,-200
1526459622263,-62,-200,-90,-200,-200,-64,-88,-75,-200,-200,-200,-71,-200,-200,-200
1526459622374,-61,-200,-91,-98,-200,-63,-88,-75,-200,-200,-83,-71,-200,-200,-200
1526459622480,-61,-90,-92,-95,-92,-63,-88,-75,-200,-200,-81,-73,-200,-200,-200
1526459622595,-61,-200,-200,-200,-200,-200,-200,-74,-200,-200,-81,-200,-200,-200,-200
1526459627031,-59,-200,-200,-95,-78,-58,-84,-73,-95,-200,-78,-200,-200,-200,-200
1526459627137,-60,-200,-200,-94,-78,-58,-200,-73,-200,-200,-200,-200,-200,-200,-200
1526459627230,-59,-95,-200,-96,-78,-200,-200,-74,-200,-200,-200,-69,-200,-200,-200
