,0115.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null
,7C:66:9D:7B:2B:E4,7C:66:9D:7B:2E:16,78:A5:04:41:E7:81,7C:66:9D:7B:2B:DE,F4:B8:5E:AA:79:4E,F4:B8:5E:AA:77:73,78:A5:04:41:EB:C7,78:A5:04:41:E7:CC,7C:66:9D:7B:2B:D3,78:A5:04:41:E7:91,78:A5:04:41:E5:77,78:A5:04:41:E5:56,78:A5:04:41:EB:C9,7C:66:9D:7B:46:8C,BC:6A:29:BE:31:61,78:A5:04:41:E5:5F,BC:6A:29:BE:2F:12,78:A5:04:41:EE:07,7C:66:9D:7B:47:3D
1526459522147,-74,-71,-88,-67,-83,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459522260,-73,-72,-89,-66,-200,-66,-92,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459522361,-75,-72,-89,-68,-82,-74,-91,-200,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459522506,-200,-71,-88,-200,-80,-68,-200,-200,-84,-91,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526459522610,-79,-76,-200,-200,-75,-72,-200,-200,-79,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459527124,-79,-200,-200,-200,-75,-71,-200,-200,-77,-92,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526459527230,-200,-200,-200,-71,-200,-71,-200,-200,-78,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459527333,-77,-76,-200,-70,-75,-71,-200,-200,-77,-93,-96,-200,-98,-200,-200,-200,-200,-200,-200
1526459527474,-77,-77,-200,-200,-75,-72,-200,-200,-77,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459527576,-77,-70,-200,-71,-200,-200,-200,-200,-83,-94,-200,-200,-200,-99,-200,-200,-200,-200,-200
1526459532097,-76,-71,-200,-75,-77,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459532193,-200,-71,-92,-75,-77,-200,-200,-200,-84,-88,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526459532332,-76,-71,-200,-75,-76,-72,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459532398,-76,-70,-92,-75,-77,-200,-200,-200,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459532498,-77,-71,-200,-76,-200,-72,-200,-200,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459532605,-200,-200,-92,-74,-77,-72,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459537040,-73,-73,-91,-71,-85,-200,-97,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459537150,-74,-71,-92,-71,-200,-74,-95,-200,-85,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200
1526459537253,-74,-72,-200,-71,-85,-74,-94,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526459537352,-73,-72,-200,-71,-84,-74,-200,-200,-200,-200,-200,-200,-200,-96,-200,-98,-200,-200,-200
1526459537463,-73,-200,-200,-71,-200,-75,-200,-200,-200,-94,-200,-200,-200,-97,-200,-200,-101,-200,-200
1526459537572,-74,-200,-91,-71,-200,-74,-94,-200,-86,-94,-200,-200,-200,-97,-200,-200,-100,-200,-200
1526459542052,-76,-81,-200,-71,-77,-77,-200,-101,-80,-89,-200,-96,-200,-200,-200,-200,-200,-98,-200
1526459542256,-75,-81,-200,-72,-77,-200,-200,-200,-80,-89,-200,-97,-200,-200,-200,-200,-200,-99,-200
1526459542369,-200,-81,-200,-71,-77,-77,-200,-200,-79,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526459542503,-77,-80,-200,-72,-77,-76,-200,-200,-80,-89,-94,-97,-200,-200,-200,-200,-200,-200,-200
1526459542587,-200,-200,-200,-200,-77,-200,-200,-200,-80,-88,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526459547036,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459547136,-77,-70,-200,-76,-77,-73,-200,-200,-83,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459547237,-200,-70,-200,-75,-78,-72,-200,-200,-82,-90,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526459547344,-77,-71,-200,-74,-78,-73,-200,-200,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459547440,-76,-72,-88,-200,-78,-73,-93,-200,-83,-88,-200,-200,-200,-96,-200,-200,-200,-200,-200
1526459552065,-200,-71,-200,-66,-200,-71,-94,-200,-200,-96,-200,-200,-200,-95,-200,-96,-200,-200,-200
1526459552163,-77,-71,-200,-66,-200,-71,-92,-200,-200,-96,-200,-96,-200,-96,-200,-200,-200,-200,-200
1526459552264,-200,-70,-200,-66,-200,-71,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459552369,-200,-70,-200,-65,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459552474,-77,-71,-200,-66,-200,-70,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459552585,-200,-70,-200,-200,-77,-70,-200,-200,-200,-94,-94,-96,-200,-200,-200,-200,-200,-99,-200
1526459557110,-79,-71,-200,-200,-77,-70,-200,-200,-200,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526459557275,-79,-73,-200,-200,-200,-71,-200,-200,-77,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526459557420,-200,-73,-200,-200,-76,-200,-200,-200,-77,-200,-93,-200,-200,-100,-200,-200,-200,-200,-200
1526459557532,-200,-73,-92,-72,-74,-200,-200,-200,-78,-87,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526459562142,-200,-200,-200,-72,-73,-73,-200,-200,-83,-85,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526459562239,-200,-74,-200,-72,-200,-200,-200,-200,-85,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200
1526459562343,-200,-73,-93,-73,-74,-73,-200,-200,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459562433,-80,-72,-91,-200,-73,-73,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459562543,-200,-72,-200,-200,-73,-76,-200,-200,-82,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526459567030,-200,-72,-200,-68,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459567132,-200,-72,-89,-68,-86,-69,-200,-200,-200,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200
1526459567287,-200,-71,-200,-200,-86,-69,-200,-96,-89,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526459567489,-200,-72,-200,-200,-86,-69,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-102
1526459572018,-79,-73,-200,-72,-76,-70,-200,-200,-78,-91,-200,-98,-200,-200,-200,-200,-200,-200,-200
1526459572179,-79,-200,-200,-72,-200,-70,-200,-200,-79,-200,-92,-200,-200,-200,-200,-200,-200,-98,-200
1526459572285,-79,-200,-200,-72,-200,-70,-200,-200,-78,-91,-94,-96,-200,-200,-200,-200,-200,-200,-200
1526459572474,-79,-200,-200,-71,-76,-70,-200,-200,-78,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459572528,-200,-200,-200,-71,-200,-70,-200,-200,-200,-92,-200,-97,-200,-200,-200,-200,-200,-200,-200
1526459572630,-200,-200,-200,-200,-200,-75,-200,-200,-79,-91,-200,-97,-200,-200,-200,-200,-200,-200,-200
1526459577068,-74,-87,-200,-76,-76,-80,-200,-200,-76,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459577150,-75,-200,-92,-76,-76,-79,-200,-200,-78,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459577348,-75,-200,-92,-200,-75,-77,-200,-200,-78,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459577489,-78,-200,-90,-200,-73,-75,-200,-200,-80,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459577580,-200,-78,-88,-73,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459582119,-200,-70,-200,-65,-80,-72,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459582217,-74,-69,-87,-65,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459582439,-200,-70,-200,-64,-80,-72,-200,-200,-82,-92,-200,-96,-200,-100,-200,-200,-200,-200,-200
1526459582532,-200,-71,-200,-200,-79,-72,-200,-200,-81,-200,-200,-200,-200,-97,-200,-200,-200,-98,-200
