,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,null,0116.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:77,7C:66:9D:7B:2E:16,BC:6A:29:BE:2F:12,7C:66:9D:7B:2B:DE,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:77:73,78:A5:04:41:EB:C9,7C:66:9D:7B:2B:D3,78:A5:04:41:E7:91,78:A5:04:41:EB:C7,78:A5:04:41:E7:81,7C:66:9D:7B:2B:CB,7C:66:9D:7B:46:8C,78:A5:04:41:E5:56
1526459777128,-87,-64,-95,-68,-73,-71,-66,-95,-200,-200,-200,-200,-200,-200,-200
1526459777263,-200,-65,-200,-70,-200,-72,-67,-200,-71,-81,-200,-200,-200,-200,-200
1526459777364,-200,-64,-94,-70,-200,-72,-67,-200,-71,-80,-200,-200,-200,-200,-200
1526459777482,-88,-65,-93,-69,-73,-200,-67,-200,-71,-80,-200,-200,-200,-200,-200
1526459777575,-200,-70,-103,-69,-77,-84,-200,-200,-71,-83,-200,-200,-200,-200,-200
1526459782108,-200,-200,-200,-70,-79,-200,-200,-200,-76,-83,-200,-200,-200,-200,-200
1526459782229,-200,-70,-200,-70,-200,-85,-200,-200,-75,-83,-100,-200,-200,-200,-200
1526459782325,-200,-69,-200,-71,-81,-200,-77,-200,-77,-200,-200,-200,-200,-200,-200
1526459782435,-94,-69,-200,-70,-81,-200,-78,-200,-75,-83,-200,-200,-200,-200,-200
1526459782534,-200,-70,-200,-200,-80,-200,-67,-200,-77,-200,-200,-200,-200,-200,-200
1526459787069,-200,-63,-200,-71,-200,-200,-68,-200,-75,-85,-200,-200,-200,-200,-200
1526459787146,-200,-64,-200,-71,-81,-200,-200,-200,-76,-85,-200,-200,-200,-200,-200
1526459787246,-200,-63,-200,-74,-82,-71,-69,-200,-81,-200,-200,-200,-200,-200,-200
1526459787375,-200,-63,-200,-72,-84,-72,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526459787505,-200,-63,-200,-72,-85,-74,-68,-200,-75,-86,-200,-200,-200,-200,-200
1526459792029,-200,-65,-200,-70,-200,-75,-67,-200,-77,-74,-200,-200,-200,-200,-200
1526459792165,-200,-65,-200,-71,-200,-72,-200,-200,-77,-200,-200,-100,-200,-200,-200
1526459792312,-91,-64,-200,-71,-85,-72,-200,-200,-200,-74,-200,-200,-200,-200,-200
1526459792486,-200,-200,-97,-71,-84,-72,-67,-200,-77,-74,-200,-200,-200,-200,-200
1526459792594,-200,-200,-200,-71,-200,-200,-65,-98,-200,-74,-200,-200,-200,-200,-200
1526459797044,-200,-200,-200,-70,-81,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526459797151,-94,-200,-200,-70,-80,-200,-75,-200,-80,-80,-200,-200,-200,-200,-200
1526459797232,-200,-68,-200,-200,-80,-79,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526459797345,-93,-200,-200,-70,-79,-79,-74,-200,-80,-81,-200,-200,-200,-200,-200
1526459797443,-94,-68,-200,-70,-79,-200,-74,-200,-80,-200,-200,-200,-200,-200,-200
1526459797558,-200,-68,-200,-72,-79,-80,-74,-200,-77,-80,-200,-200,-200,-200,-200
1526459802104,-200,-62,-200,-73,-89,-76,-69,-200,-77,-80,-200,-200,-200,-200,-200
1526459802213,-200,-64,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459802324,-200,-63,-200,-72,-89,-76,-68,-200,-75,-79,-200,-200,-200,-200,-200
1526459802425,-200,-63,-200,-200,-200,-200,-69,-200,-78,-80,-200,-200,-200,-200,-200
