,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,74:da:da:98:8d:78,74:da:da:c1:4a:ed,74:da:da:c1:3c:dd,74:da:da:c1:4b:01,74:da:da:98:74:94,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:05,74:da:da:c1:4b:59,0c:73:eb:d0:7c:18,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:10,0c:73:eb:d0:11:b8,0c:73:eb:d0:11:b0,74:da:da:98:7a:60,74:da:da:98:7a:6c,74:da:da:c1:3c:d1,74:da:da:98:7a:4c,74:da:da:c1:3c:99,74:da:da:c1:3c:f5,0c:73:eb:d0:11:e8,74:da:da:98:7a:50,0c:73:eb:d0:7e:e0
1526460638023,-36,-48,-49,-52,-52,-54,-59,-61,-61,-64,-64,-65,-68,-69,-72,-79,-81,-84,-84,-84,-85,-85,-87,-87,-91
1526460641038,-61,-72,-69,-66,-79,-72,-73,-81,-77,-90,-89,-91,-85,-82,-200,-79,-200,-200,-84,-84,-200,-85,-200,-200,-200
1526460644056,-61,-72,-69,-66,-79,-72,-73,-81,-77,-90,-89,-91,-85,-82,-200,-79,-200,-200,-84,-84,-200,-85,-200,-200,-200
1526460647073,-61,-72,-69,-66,-79,-72,-73,-81,-77,-90,-89,-91,-85,-82,-200,-79,-200,-200,-84,-84,-200,-85,-200,-200,-200
1526460650111,-61,-79,-67,-68,-79,-69,-77,-80,-75,-83,-89,-91,-83,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460653135,-61,-81,-67,-70,-79,-69,-77,-80,-75,-79,-89,-91,-87,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460656159,-61,-81,-67,-70,-79,-69,-77,-80,-75,-79,-89,-91,-87,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460659182,-61,-81,-67,-70,-79,-69,-77,-80,-75,-79,-89,-91,-87,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460662205,-57,-79,-68,-68,-79,-68,-73,-80,-76,-82,-200,-88,-86,-77,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526460665234,-63,-79,-69,-68,-81,-69,-72,-84,-76,-82,-200,-88,-86,-77,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526460668263,-63,-79,-69,-68,-81,-69,-72,-84,-76,-82,-200,-88,-86,-77,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526460671288,-63,-79,-69,-68,-81,-69,-72,-84,-76,-82,-200,-88,-86,-77,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526460674314,-62,-75,-71,-78,-77,-73,-72,-80,-78,-83,-200,-86,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460677343,-62,-77,-71,-68,-77,-73,-71,-81,-79,-83,-200,-86,-85,-81,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460680367,-63,-81,-67,-68,-77,-67,-71,-80,-77,-85,-200,-86,-85,-73,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460683391,-63,-81,-67,-68,-77,-67,-71,-80,-77,-85,-200,-86,-85,-73,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460686415,-59,-78,-68,-68,-77,-67,-74,-79,-76,-81,-82,-87,-200,-73,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460689447,-64,-80,-68,-68,-80,-68,-77,-80,-76,-84,-86,-87,-200,-77,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460692475,-64,-80,-68,-68,-80,-68,-77,-80,-76,-84,-86,-87,-200,-77,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460695499,-64,-80,-68,-68,-80,-68,-77,-80,-76,-84,-86,-87,-200,-77,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460698533,-64,-72,-70,-67,-81,-71,-87,-81,-78,-89,-86,-80,-82,-83,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
