start_tamp,end_tamp,time,distance
1454962721767,1454962725997,4230,0.712485
1454962737317,1454962740907,3590,0.442053
1454962780747,1454962783597,2850,0.742392
1454962791497,1454962793687,2190,0.759104
1454962832107,1454962834447,2340,0.526492
1454962876257,1454962878007,1750,0.806438
1454962939627,1454962940237,610,0.306065
1454962959237,1454962963517,4280,1.488670
1454962964127,1454962970267,6140,1.370469
1454963016087,1454963018357,2270,0.710245
1454963027897,1454963028667,770,0.386911
1454963077277,1454963082307,5030,0.875877
1454963084757,1454963085437,680,0.340309
1454963113047,1454963113557,510,0.256298
1454963123437,1454963124097,660,0.330829
1454963156097,1454963158067,1970,0.873810
1454963166117,1454963166937,820,0.410989
1454963167137,1454963168037,900,0.450973
1454963180957,1454963181547,590,0.299031
1454963191367,1454963192967,1600,0.800948
1454963202137,1454963203727,1590,0.797034
1454963247137,1454963250627,3490,0.781583
1454963267597,1454963268327,730,0.367462
1454963268537,1454963269607,1070,0.535191
1454963294917,1454963297747,2830,0.621476
1454963301217,1454963304997,3780,0.764956
1454963314357,1454963316427,2070,1.035503
1454963321637,1454963323877,2240,1.078649
1454963377497,1454963379417,1920,0.787993
1454963399887,1454963400447,560,0.280825
1454963412617,1454963415517,2900,1.101748
1454963436347,1454963440927,4580,1.070161
1454963445217,1454963446207,990,0.495592
1454963458027,1454963460417,2390,0.511109
1454963482187,1454963501997,19810,1.124059
1454963532387,1454963534167,1780,0.733709
1454963535907,1454963537467,1560,0.582005
1454963586357,1454963586897,540,0.270641
1454963628687,1454963630997,2310,0.750741
1454963676927,1454963677867,940,0.472261
1454963677867,1454963680427,2560,1.240716
1454963680787,1454963692667,11880,0.554692
1454963697547,1454963699117,1570,0.613445
1454963741457,1454963743007,1550,0.711480
1454963760727,1454963762607,1880,0.859358
1454963773017,1454963778287,5270,0.581480
1454963867167,1454963870107,2940,0.980504
1454963879517,1454963880497,980,0.491442
1454963907347,1454963908807,1460,0.533431
1454963913457,1454963916387,2930,0.307624
1454963958807,1454963959467,660,0.330170
1454963962067,1454963963147,1080,0.542694
1454963987947,1454963990887,2940,1.117198
1454963991087,1454963994457,3370,1.158682
1454963994687,1454964004367,9680,0.962047
1454964006397,1454964013277,6880,0.529748
1454964027387,1454964028657,1270,0.636013
1454964030257,1454964031217,960,0.480921
1454964031357,1454964031977,620,0.310631
1454964033387,1454964034257,870,0.436003
1454964034397,1454964034957,560,0.282852
1454964042417,1454964044347,1930,0.646638
1454964049977,1454964050827,850,0.427290
1454964052977,1454964053857,880,0.440590
1454964056737,1454964058587,1850,0.925150
1454964059647,1454964065037,5390,1.278689
1454964069057,1454964070987,1930,0.474445
1454964075577,1454964078337,2760,1.373287
1454964083117,1454964084327,1210,0.605639
1454964084447,1454964085037,590,0.295228
1454964085117,1454964087347,2230,0.505668
1454964090507,1454964092717,2210,1.105106
1454964102247,1454964104217,1970,0.816494
1454964110857,1454964111637,780,0.391355
1454964121537,1454964122507,970,0.487040
1454964127707,1454964130937,3230,1.139543
1454964131807,1454964134127,2320,0.747857
1454964144327,1454964147117,2790,1.390681
1454964150737,1454964152177,1440,0.659534
1454964156347,1454964156917,570,0.287063
1454964157187,1454964164567,7380,1.251263
1454964164727,1454964166207,1480,0.743991
1454964172537,1454964174687,2150,0.783133
1454964201867,1454964207627,5760,0.482827
1454964211957,1454964212497,540,0.270318
1454964240927,1454964247047,6120,1.045397
1454964254557,1454964256917,2360,1.177811
1454964257157,1454964258457,1300,0.650853
1454964293097,1454964293767,670,0.336560
1454964304787,1454964306087,1300,0.596767
1454964312417,1454964314747,2330,0.767122
1454964319227,1454964320557,1330,0.657282
1454964323907,1454964325357,1450,0.663917
1454964432007,1454964439857,7850,1.109050
1454964440227,1454964440767,540,0.271350
1454964451827,1454964457697,5870,1.741266
1454964480647,1454964482657,2010,0.954082
1454964485837,1454964486357,520,0.262123
1454964486667,1454964488427,1760,0.841835
1454964490437,1454964493217,2780,0.708907
1454964494227,1454964494737,510,0.255752
1454964508177,1454964510377,2200,1.061787
1454964533937,1454964534727,790,0.395774
1454964551677,1454964552477,800,0.400292
1454964552767,1454964554447,1680,0.689984
1454964595957,1454964596547,590,0.296267
1454964612937,1454964614247,1310,0.655124
1454964615617,1454964620147,4530,0.505943
1454964720427,1454964726557,6130,0.718861
1454964850067,1454964852017,1950,0.566578
1454964856267,1454964857017,750,0.375512
1454964857077,1454964857797,720,0.360069
1454964865127,1454964869317,4190,1.084615
1454964918447,1454964929707,11260,1.794857
1454964954457,1454964957157,2700,0.611427
1454964959397,1454964961297,1900,0.867094
1454964962217,1454964965197,2980,1.294120
1454964980747,1454964986447,5700,1.124861
1454964987677,1454964989157,1480,0.599139
1454965016097,1454965018157,2060,0.674403
1454965033297,1454965034887,1590,0.721505
1454965039007,1454965040667,1660,0.791647
1454965056517,1454965057187,670,0.335723
