TimeStamp,e0:d1:73:a1:20:e1,e0:d1:73:a1:20:e5,e0:d1:73:a1:20:e0,54:78:1a:24:67:c5,54:78:1a:24:67:c0,54:78:1a:24:67:c4,e0:d1:73:a1:20:ec,e0:d1:73:a1:20:ea,e0:d1:73:a1:20:ef,e0:d1:73:a1:20:eb,54:78:1a:24:67:c2,e0:d1:73:a1:20:ed,e0:d1:73:a1:20:e4,54:78:1a:24:67:c1,e0:d1:73:a1:20:ee,cc:d5:39:24:a7:74,e0:d1:73:a1:20:e2,cc:d5:39:24:a7:72,84:78:ac:dc:d4:a0,84:78:ac:dc:d4:a5,84:78:ac:dc:d4:a1,84:78:ac:dc:d4:a4,20:3a:07:aa:41:30,20:3a:07:aa:41:35,e0:d1:73:d8:74:90,e0:d1:73:d8:74:94,e0:d1:73:d8:74:91,20:3a:07:aa:41:3b,e0:d1:73:d8:74:92,20:3a:07:aa:41:34,e0:d1:73:d8:74:95,20:3a:07:aa:41:31,20:3a:07:aa:41:3e,20:3a:07:aa:41:3f,20:3a:07:aa:41:32,20:3a:07:aa:41:3c,20:3a:07:aa:41:3d,20:3a:07:aa:41:3a,e0:d1:73:de:ac:10,e0:d1:73:de:ac:11,e0:d1:73:d8:74:9f,e0:d1:73:de:ac:15,e0:d1:73:d8:74:9d,e0:d1:73:d8:74:9e,e0:d1:73:d8:74:9b,e0:d1:73:d8:74:9a,e0:d1:73:d8:74:9c,e0:d1:73:de:ac:14,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:de:ac:12,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5,e0:d1:73:de:ac:1a,e0:d1:73:de:ac:1b,e0:d1:73:bd:c9:aa,e0:d1:73:de:ac:1f,e0:d1:73:de:ac:1d,e0:d1:73:de:ac:1e,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ab,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:de:ac:1c,e0:d1:73:bd:c9:ae,54:78:1a:24:67:cf,84:78:ac:dc:d4:a2,cc:d5:39:9a:e4:80,cc:d5:39:9a:e4:85,cc:d5:39:9a:e4:81,cc:d5:39:9a:e4:84,cc:d5:39:9a:e4:82,34:a8:4e:29:3d:9f,34:a8:4e:29:3d:9a
1454081777856,-75,-76,-76,-82,-82,-83,-88,-88,-89,-89,-81,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081781312,-76,-76,-76,-83,-82,-83,-88,-88,-88,-88,-84,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081784701,-77,-76,-77,-83,-84,-83,-92,-91,-89,-88,-84,-89,-78,-83,-91,-87,-77,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081788098,-77,-74,-73,-81,-83,-82,-92,-91,-89,-88,-84,-90,-75,-82,-89,-87,-73,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081791516,-74,-74,-73,-88,-86,-82,-92,-91,-89,,-84,-90,-75,-86,-89,-87,-74,-89,-83,-83,-85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081794926,-74,-74,-73,-88,-86,-82,,-91,,,-84,-90,-75,-86,-89,,-74,,-83,-83,-85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081798373,-74,,-73,-88,-86,,,,,,,,,-86,,,-74,,-83,-83,-85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081801778,,,,,,,,,,,,,,,,,,,,,,,-84,-85,-87,-87,-87,-92,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081805175,,,,,,,,,,,,,,,,,,,,,,,-77,-78,-78,-78,-87,-92,-78,-77,-78,-79,-88,-90,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081808566,,,,,,,,,,,,,,,,,,,,,,,-80,-79,-74,-74,-75,-90,-74,-78,-73,-79,-88,-90,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081811969,,,,,,,,,,,,,,,,,,,,,,,-73,-73,-73,-75,-75,-85,-73,-78,-73,-74,-88,-90,-74,-88,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081815371,,,,,,,,,,,,,,,,,,,,,,,-73,-73,-77,-75,-77,-83,-76,-72,-81,-74,,-80,-72,-81,-79,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081818769,,,,,,,,,,,,,,,,,,,,,,,-66,-67,-75,-74,-70,-83,-73,-72,-71,-65,-76,-76,-66,-79,-76,-78,-86,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
