start_tamp,end_tamp,time,distance
1454081776433,1454081782483,6050,0.246364
1454081880953,1454081881953,1000,0.203855
1454081946083,1454081948403,2320,0.221956
1454081951283,1454081952263,980,0.196662
1454081955053,1454081959943,4890,0.235894
1454082154093,1454082155373,1280,0.235683
1454082344953,1454082345973,1020,0.204201
1454082426873,1454082432243,5370,0.248058
1454082465913,1454082468783,2870,0.216888
1454082556693,1454082558393,1700,0.278090
1454082572353,1454082574613,2260,0.189512
1454082580543,1454082582193,1650,0.325121
1454082620733,1454082622883,2150,0.356465
1454082655093,1454082658773,3680,0.343456
1454082666493,1454082667803,1310,0.262202
1454082868023,1454082869353,1330,0.240117
