wifi_change
6
-1
-1
14
6
19
-1
-1
-1
3
2
4
7
6
0
6
-1
-1
3
2
-1
4
0
3
2
5
-1
5
2
-1
-1
4
-1
0
-1
-1
12
注释:-1表示无法判断;其他数值为wifi相差大于10的个数的累加值
