wifi_change
3
18
29
-1
22
50
-1
47
19
21
-1
19
-1
-1
-1
14
-1
11
27
23
-1
23
-1
10
23
38
31
58
46
-1
7
47
-1
-1
44
-1
-1
-1
5
-1
14
15
-1
-1
32
27
18
-1
22
33
-1
-1
28
29
26
24
24
-1
43
-1
-1
-1
-1
-1
45
40
-1
63
-1
26
-1
23
-1
57
-1
47
-1
-1
26
-1
92
-1
55
33
-1
22
41
-1
-1
-1
23
52
-1
40
-1
42
24
62
-1
11
-1
33
-1
-1
-1
29
-1
66
41
3
-1
8
35
39
34
-1
10
40
-1
16
7
23
-1
注释:-1表示无法判断;其他数值为wifi相差大于10的个数的累加值
