start_tamp,end_tamp,time,distance
1453855915238,1453855916238,1000,0.665456
1453855975598,1453855976138,540,0.270359
1453855976268,1453855977338,1070,0.535386
1453856138618,1453856139848,1230,0.616248
1453856147388,1453856153398,6010,1.450949
1453856310948,1453856312978,2030,0.712410
1453856350358,1453856356128,5770,1.578950
1453856366488,1453856368368,1880,0.853351
1453856401228,1453856402238,1010,0.505314
1453856435718,1453856436348,630,0.315722
1453856438058,1453856438998,940,0.471693
1453856444608,1453856445228,620,0.310452
1453856452628,1453856459238,6610,1.167441
1453856506948,1453856508248,1300,0.650134
1453856613918,1453856616388,2470,0.743757
1453856715088,1453856720238,5150,1.859898
1453856749968,1453856753928,3960,0.710658
