start_tamp,end_tamp,time,distance
1454962721767,1454962725097,3330,0.211114
1454962737597,1454962740337,2740,0.056858
1454962781317,1454962783197,1880,0.245064
1454962832417,1454962833957,1540,0.191731
1454962960747,1454962962917,2170,0.407661
1454962968277,1454962969797,1520,0.256014
1454963016477,1454963017807,1330,0.251632
1454963077247,1454963081397,4150,0.324575
1454963247447,1454963250137,2690,0.355782
1454963295177,1454963297267,2090,0.220689
1454963301617,1454963304617,3000,0.294205
1454963437857,1454963440147,2290,0.278548
1454963482667,1454963483257,590,0.118018
1454963484727,1454963501367,16640,0.094698
1454963628947,1454963630307,1360,0.261310
1454963683297,1454963692307,9010,0.163934
1454963773327,1454963777817,4490,0.297905
1454963867657,1454963868987,1330,0.266801
1454963914187,1454963914897,710,0.142107
1454963915267,1454963915817,550,0.113348
1454963991367,1454963992827,1460,0.292618
1454963995837,1454964003807,7970,0.408004
1454964007297,1454964012457,5160,0.356500
1454964042637,1454964043957,1320,0.240206
1454964060077,1454964061327,1250,0.250824
1454964062327,1454964064657,2330,0.218956
1454964069557,1454964070587,1030,0.204872
1454964085777,1454964086567,790,0.158501
1454964131897,1454964133667,1770,0.346506
1454964160227,1454964161247,1020,0.204453
1454964172587,1454964173467,880,0.176241
1454964201967,1454964204197,2230,0.349289
1454964205077,1454964207137,2060,0.182466
1454964242037,1454964246607,4570,0.316009
1454964304827,1454964305467,640,0.130018
1454964432857,1454964438177,5320,0.226197
1454964490867,1454964492737,1870,0.329758
1454964616227,1454964617607,1380,0.146539
1454964724577,1454964725927,1350,0.210354
1454964850827,1454964851427,600,0.121572
1454964922727,1454964929347,6620,0.197864
1454964955577,1454964956717,1140,0.224887
1454964963697,1454964964387,690,0.139130
1454964983737,1454964984247,510,0.102814
1454965016147,1454965017627,1480,0.255092
1454965066987,1454965067957,970,0.194251
