,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:8B,78:A5:04:41:EB:80,78:A5:04:41:E7:85,78:A5:04:41:E9:DA,78:A5:04:41:E9:CD,78:A5:04:41:E9:B4,78:A5:04:41:EB:BA
1526457245988,-90,-69,-81,-87,-88,-200,-200
1526457246104,-200,-68,-83,-85,-200,-200,-200
1526457250733,-65,-78,-64,-200,-200,-79,-200
1526457250837,-66,-77,-64,-87,-200,-79,-200
1526457250937,-200,-77,-64,-200,-200,-79,-200
1526457251059,-65,-77,-64,-87,-200,-200,-200
1526457251142,-68,-200,-64,-85,-200,-83,-200
1526457255822,-68,-66,-200,-85,-200,-200,-200
1526457255940,-68,-66,-200,-85,-200,-200,-200
1526457256037,-68,-66,-200,-84,-200,-83,-200
1526457256158,-200,-66,-200,-84,-200,-200,-200
1526457260698,-200,-68,-69,-86,-200,-86,-200
1526457260792,-82,-68,-69,-85,-200,-86,-200
1526457260893,-82,-68,-69,-85,-200,-86,-200
1526457260996,-82,-68,-69,-200,-200,-87,-200
1526457261101,-200,-68,-200,-86,-200,-86,-200
1526457265730,-64,-79,-200,-88,-200,-78,-200
1526457265833,-64,-79,-65,-87,-200,-78,-200
1526457265933,-64,-200,-65,-200,-200,-79,-200
1526457266038,-65,-200,-200,-87,-200,-78,-200
1526457266149,-200,-65,-84,-200,-200,-78,-200
1526457270751,-68,-66,-84,-84,-200,-82,-200
1526457270846,-68,-66,-84,-84,-200,-83,-200
1526457270953,-68,-200,-83,-84,-200,-83,-200
1526457271081,-68,-67,-200,-84,-200,-82,-200
1526457275759,-200,-67,-200,-200,-200,-81,-200
1526457275867,-83,-67,-72,-85,-200,-81,-200
1526457275990,-83,-67,-72,-85,-200,-82,-200
1526457276105,-200,-67,-72,-84,-200,-200,-200
1526457280716,-64,-78,-64,-200,-200,-78,-200
1526457280811,-64,-79,-65,-87,-200,-78,-200
1526457280916,-64,-79,-200,-200,-200,-78,-93
1526457281023,-64,-79,-65,-88,-200,-78,-200
1526457281121,-64,-80,-200,-200,-200,-200,-200
1526457285723,-200,-66,-200,-200,-200,-200,-200
1526457285829,-200,-66,-200,-200,-200,-200,-200
1526457285926,-67,-66,-200,-84,-200,-84,-200
1526457286126,-200,-66,-70,-85,-200,-84,-200
1526457290843,-85,-68,-81,-85,-200,-200,-200
1526457290949,-84,-68,-69,-200,-200,-200,-200
1526457291047,-84,-69,-69,-85,-200,-200,-200
1526457291142,-75,-75,-69,-85,-200,-85,-200
1526457296080,-69,-75,-200,-200,-200,-200,-200
1526457296179,-69,-200,-200,-200,-200,-84,-200
1526457296284,-69,-74,-78,-200,-200,-84,-200
1526457300694,-76,-71,-68,-200,-200,-200,-200
1526457300794,-76,-72,-68,-200,-200,-81,-200
1526457300972,-75,-81,-68,-92,-200,-81,-200
1526457301069,-75,-200,-68,-200,-200,-81,-200
1526457301166,-200,-200,-68,-92,-200,-84,-200
1526457306637,-200,-200,-85,-200,-200,-200,-200
