,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7c:48,74:da:da:98:74:94,74:da:da:98:8d:78,74:da:da:c1:4a:f5,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:05,74:da:da:c1:4b:01,74:da:da:c1:4a:a5,74:da:da:c1:4a:ed,74:da:da:c1:3c:f9,74:da:da:c1:3c:91,74:da:da:c1:3c:d1,74:da:da:c1:4b:59,0c:73:eb:d0:7c:10,0c:73:eb:d0:11:d0,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:18,0c:73:eb:d0:7e:d8,74:da:da:c1:3b:e9
1526460381335,-69,-69,-71,-71,-72,-72,-75,-75,-80,-81,-85,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526460384356,-69,-73,-74,-73,-69,-73,-76,-200,-80,-200,-200,-200,-91,-85,-89,-200,-200,-200,-200,-200
1526460387377,-69,-73,-74,-73,-69,-73,-76,-200,-80,-200,-200,-200,-91,-85,-89,-200,-200,-200,-200,-200
1526460390388,-69,-73,-74,-73,-69,-73,-76,-200,-80,-200,-200,-200,-91,-85,-89,-200,-200,-200,-200,-200
1526460393417,-73,-66,-71,-76,-74,-78,-74,-200,-76,-200,-200,-200,-200,-87,-89,-79,-89,-200,-200,-200
1526460396444,-69,-66,-68,-76,-75,-78,-77,-200,-76,-200,-200,-200,-89,-87,-89,-80,-89,-200,-200,-200
1526460399465,-69,-66,-68,-76,-75,-78,-77,-200,-76,-200,-200,-200,-89,-87,-89,-80,-89,-200,-200,-200
1526460402487,-69,-66,-68,-76,-75,-78,-77,-200,-76,-200,-200,-200,-89,-87,-89,-80,-89,-200,-200,-200
1526460405514,-69,-64,-68,-82,-66,-85,-71,-200,-79,-200,-200,-200,-89,-87,-200,-80,-88,-88,-200,-200
1526460408536,-70,-65,-68,-82,-71,-77,-73,-200,-76,-200,-200,-200,-90,-86,-200,-79,-88,-88,-200,-200
1526460411557,-70,-65,-68,-82,-71,-77,-73,-200,-76,-200,-200,-200,-90,-86,-200,-79,-88,-88,-200,-200
1526460414580,-70,-65,-68,-82,-71,-77,-73,-200,-76,-200,-200,-200,-90,-86,-200,-79,-88,-88,-200,-200
1526460417624,-73,-65,-70,-79,-70,-74,-71,-200,-77,-200,-200,-200,-90,-84,-87,-78,-89,-91,-92,-200
1526460420655,-70,-66,-70,-79,-70,-74,-71,-200,-77,-200,-92,-200,-91,-87,-87,-79,-89,-91,-92,-91
1526460423683,-70,-66,-70,-79,-70,-74,-71,-200,-77,-200,-92,-200,-91,-87,-87,-79,-89,-91,-92,-91
1526460426711,-70,-66,-70,-79,-70,-74,-71,-200,-77,-200,-92,-200,-91,-87,-87,-79,-89,-91,-92,-91
1526460429744,-70,-66,-70,-79,-71,-74,-71,-200,-78,-200,-200,-200,-91,-85,-88,-81,-89,-200,-200,-91
1526460432773,-76,-66,-70,-76,-71,-74,-70,-200,-78,-200,-200,-200,-91,-83,-88,-86,-89,-200,-200,-91
1526460435794,-76,-66,-70,-76,-71,-74,-70,-200,-78,-200,-200,-200,-91,-83,-88,-86,-89,-200,-200,-91
1526460438819,-76,-66,-70,-76,-71,-74,-70,-200,-78,-200,-200,-200,-91,-83,-88,-86,-89,-200,-200,-91
1526460441839,-75,-66,-69,-78,-72,-74,-71,-200,-78,-200,-200,-200,-92,-83,-200,-81,-89,-200,-200,-200
